t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.1	-
0.20	7	0	0	23.3	-
0.41	7	1	1	23.9	193.62.193.80:1
0.62	7	1	1	24.5	193.62.193.80:1
0.83	10	0	0	26.8	-
1.04	10	1	1	26.8	193.62.193.165:1
1.25	10	1	1	26.8	193.62.193.165:1
1.45	10	1	1	26.8	193.62.193.165:1
1.66	10	1	1	26.8	193.62.193.165:1
1.87	10	1	1	26.8	193.62.193.165:1
2.08	10	2	1	26.8	193.62.193.165:1
2.28	10	1	1	26.8	193.62.193.165:1
2.49	10	1	1	26.8	193.62.193.165:1
2.70	7	0	0	18.7	-
2.91	7	1	1	18.7	193.62.193.165:1
3.12	7	1	1	18.7	193.62.193.165:1
3.32	7	1	1	18.7	193.62.193.165:1
3.53	7	1	1	18.7	193.62.193.165:1
3.74	7	9	8	18.7	193.62.193.165:8
3.95	7	9	8	18.8	193.62.193.165:8
4.16	7	9	8	18.8	193.62.193.165:8
4.36	7	15	8	18.8	193.62.193.165:8
4.57	7	16	8	19.0	193.62.193.165:8
4.78	7	16	8	19.0	193.62.193.165:8
4.99	7	16	8	19.0	193.62.193.165:8
5.19	7	16	8	19.0	193.62.193.165:8
5.40	7	16	8	19.0	193.62.193.165:8
5.61	7	16	8	19.0	193.62.193.165:8
5.82	7	16	8	19.0	193.62.193.165:8
6.03	7	16	8	19.0	193.62.193.165:8
6.23	7	16	8	19.0	193.62.193.165:8
6.44	7	16	8	19.0	193.62.193.165:8
6.65	7	16	8	19.0	193.62.193.165:8
6.86	7	16	8	19.0	193.62.193.165:8
7.07	7	16	8	19.0	193.62.193.165:8
7.28	7	16	8	19.0	193.62.193.165:8
7.49	7	16	8	19.0	193.62.193.165:8
7.69	7	16	8	19.0	193.62.193.165:8
7.90	7	16	8	19.0	193.62.193.165:8
8.11	7	16	8	19.0	193.62.193.165:8
8.32	7	16	8	19.0	193.62.193.165:8
8.53	7	16	8	19.0	193.62.193.165:8
8.74	7	16	8	19.0	193.62.193.165:8
8.95	7	16	8	19.0	193.62.193.165:8
9.15	7	16	8	19.0	193.62.193.165:8
9.36	7	16	8	19.0	193.62.193.165:8
9.57	7	16	8	19.0	193.62.193.165:8
9.78	7	16	8	19.0	193.62.193.165:8
9.99	7	16	8	19.0	193.62.193.165:8
10.19	7	14	7	19.0	193.62.193.165:7
10.40	7	13	7	19.0	193.62.193.165:7
10.61	7	14	8	19.0	193.62.193.165:8
10.82	7	10	6	19.0	193.62.193.165:6
11.02	7	7	5	19.0	193.62.193.165:5
11.23	7	10	8	19.0	193.62.193.165:8
11.44	7	10	8	19.0	193.62.193.165:8
11.65	7	12	8	19.0	193.62.193.165:8
11.85	7	12	8	19.0	193.62.193.165:8
12.06	7	12	8	19.0	193.62.193.165:8
12.27	7	10	7	19.0	193.62.193.165:7
12.48	7	9	7	19.0	193.62.193.165:7
12.68	7	10	8	19.0	193.62.193.165:8
12.89	7	10	8	19.0	193.62.193.165:8
13.10	7	10	8	19.0	193.62.193.165:8
13.30	7	10	8	19.0	193.62.193.165:8
13.51	7	10	8	19.0	193.62.193.165:8
13.72	7	10	8	19.0	193.62.193.165:8
13.92	7	10	8	19.0	193.62.193.165:8
14.13	7	10	8	19.0	193.62.193.165:8
14.34	7	10	8	19.0	193.62.193.165:8
14.55	7	10	8	19.0	193.62.193.165:8
14.76	7	10	8	19.0	193.62.193.165:8
14.96	7	10	8	19.0	193.62.193.165:8
15.17	7	10	8	19.0	193.62.193.165:8
15.38	7	10	8	19.0	193.62.193.165:8
15.58	7	10	8	19.0	193.62.193.165:8
15.79	7	10	8	19.0	193.62.193.165:8
16.00	7	10	8	19.0	193.62.193.165:8
16.21	7	10	8	19.0	193.62.193.165:8
16.41	7	10	8	19.0	193.62.193.165:8
16.62	7	13	8	19.0	193.62.193.165:8
16.83	7	16	8	19.0	193.62.193.165:8
17.04	7	16	8	19.0	193.62.193.165:8
17.24	7	16	8	19.0	193.62.193.165:8
17.45	7	16	8	19.0	193.62.193.165:8
17.66	7	12	6	19.0	193.62.193.165:6
17.87	7	14	8	19.0	193.62.193.165:8
18.07	7	14	8	19.0	193.62.193.165:8
18.28	7	10	6	19.0	193.62.193.165:6
18.49	7	12	8	19.0	193.62.193.165:8
18.69	7	12	8	19.0	193.62.193.165:8
18.90	7	12	8	19.0	193.62.193.165:8
19.11	7	16	8	19.0	193.62.193.165:8
19.32	7	10	5	19.1	193.62.193.165:5
19.52	7	11	7	19.1	193.62.193.165:7
19.73	7	12	8	19.1	193.62.193.165:8
19.94	7	7	6	19.1	193.62.193.165:6
20.15	7	11	8	19.1	193.62.193.165:8
20.36	7	12	8	19.1	193.62.193.165:8
20.56	7	12	8	19.1	193.62.193.165:8
20.77	7	10	5	19.1	193.62.193.165:5
20.98	7	12	8	19.1	193.62.193.165:8
21.19	7	10	7	19.1	193.62.193.165:7
21.40	7	7	7	19.1	193.62.193.165:7
21.60	7	11	7	19.1	193.62.193.165:7
21.81	7	11	7	19.1	193.62.193.165:7
22.02	7	8	4	19.1	193.62.193.165:4
22.22	7	6	3	19.1	193.62.193.165:3
22.43	10	0	0	26.9	-
22.64	10	1	1	26.9	193.62.193.165:1
22.85	10	1	1	26.9	193.62.193.165:1
23.05	10	1	1	26.9	193.62.193.165:1
23.26	10	1	1	26.9	193.62.193.165:1
23.47	10	1	1	26.9	193.62.193.165:1
23.68	10	1	1	26.9	193.62.193.165:1
23.88	10	1	1	26.9	193.62.193.165:1
24.09	10	1	1	26.9	193.62.193.165:1
24.30	10	1	1	26.9	193.62.193.165:1
24.51	10	1	1	26.9	193.62.193.165:1
24.71	10	1	1	26.9	193.62.193.165:1
24.92	10	1	1	26.9	193.62.193.165:1
25.13	10	1	1	26.9	193.62.193.165:1
25.34	10	1	1	26.9	193.62.193.165:1
25.55	10	1	1	26.9	193.62.193.165:1
25.75	10	1	1	26.9	193.62.193.165:1
25.96	10	1	1	26.9	193.62.193.165:1
26.17	10	1	1	26.9	193.62.193.165:1
26.38	10	1	1	26.9	193.62.193.165:1
26.59	10	1	1	26.9	193.62.193.165:1
26.79	10	1	1	26.9	193.62.193.165:1
27.00	10	1	1	26.9	193.62.193.165:1
27.21	10	1	1	26.9	193.62.193.165:1
27.42	10	1	1	26.9	193.62.193.165:1
27.62	10	1	1	26.9	193.62.193.165:1
27.83	10	2	1	26.9	193.62.193.165:1
28.04	10	2	1	26.9	193.62.193.165:1
28.24	7	0	0	18.5	-
28.45	7	1	1	18.5	193.62.193.165:1
28.66	7	1	1	18.5	193.62.193.165:1
28.87	7	1	1	18.5	193.62.193.165:1
29.07	7	1	1	18.5	193.62.193.165:1
29.28	7	8	8	18.5	193.62.193.165:8
29.49	7	9	8	18.6	193.62.193.165:8
29.69	7	9	8	18.6	193.62.193.165:8
29.90	7	11	8	18.6	193.62.193.165:8
30.11	7	16	8	18.6	193.62.193.165:8
30.32	7	16	8	18.8	193.62.193.165:8
30.52	7	16	8	18.8	193.62.193.165:8
