t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.1	-
0.20	7	0	0	23.5	-
0.41	7	0	0	23.5	-
0.62	7	1	1	24.2	193.62.193.80:1
0.83	7	1	1	24.7	193.62.193.80:1
1.04	10	0	0	27.0	-
1.25	10	1	1	27.0	193.62.193.165:1
1.45	10	1	1	27.0	193.62.193.165:1
1.66	10	1	1	27.0	193.62.193.165:1
1.87	10	1	1	27.0	193.62.193.165:1
2.08	10	1	1	27.0	193.62.193.165:1
2.28	10	1	1	27.0	193.62.193.165:1
2.49	10	1	1	27.0	193.62.193.165:1
2.70	10	2	1	27.0	193.62.193.165:1
2.91	10	2	1	27.0	193.62.193.165:1
3.12	10	1	1	27.0	193.62.193.165:1
3.32	7	1	1	19.3	193.62.193.165:1
3.53	7	1	1	19.3	193.62.193.165:1
3.74	7	1	1	19.3	193.62.193.165:1
3.94	7	1	1	19.3	193.62.193.165:1
4.15	7	1	1	19.3	193.62.193.165:1
4.36	7	2	1	19.3	193.62.193.165:1
4.56	7	2	1	19.3	193.62.193.165:1
4.77	7	2	1	19.3	193.62.193.165:1
4.98	7	2	1	19.3	193.62.193.165:1
5.19	7	2	1	19.3	193.62.193.165:1
5.39	7	2	1	19.3	193.62.193.165:1
5.60	7	2	1	19.3	193.62.193.165:1
5.81	7	2	1	19.3	193.62.193.165:1
6.01	7	2	1	19.3	193.62.193.165:1
6.22	7	2	1	19.3	193.62.193.165:1
6.43	7	2	1	19.3	193.62.193.165:1
6.64	7	2	1	19.3	193.62.193.165:1
6.84	7	2	1	19.3	193.62.193.165:1
7.05	7	2	1	19.3	193.62.193.165:1
7.26	7	2	1	19.3	193.62.193.165:1
7.47	7	2	1	19.3	193.62.193.165:1
7.67	7	2	1	19.3	193.62.193.165:1
7.88	7	2	1	19.3	193.62.193.165:1
8.08	7	2	1	19.3	193.62.193.165:1
8.29	7	2	1	19.3	193.62.193.165:1
8.50	7	2	1	19.3	193.62.193.165:1
8.71	7	2	1	19.3	193.62.193.165:1
8.91	7	2	1	19.3	193.62.193.165:1
9.12	7	2	1	19.3	193.62.193.165:1
9.33	7	2	1	19.3	193.62.193.165:1
9.54	7	2	1	19.3	193.62.193.165:1
9.74	7	2	1	19.3	193.62.193.165:1
9.95	7	2	1	19.3	193.62.193.165:1
10.16	7	2	1	19.3	193.62.193.165:1
10.36	7	2	1	19.3	193.62.193.165:1
10.57	7	2	1	19.3	193.62.193.165:1
10.78	7	2	1	19.3	193.62.193.165:1
10.99	7	2	1	19.3	193.62.193.165:1
11.19	7	2	1	19.3	193.62.193.165:1
11.40	7	2	1	19.3	193.62.193.165:1
11.61	7	2	1	19.3	193.62.193.165:1
11.81	7	2	1	19.3	193.62.193.165:1
12.02	7	2	1	19.3	193.62.193.165:1
12.23	7	2	1	19.3	193.62.193.165:1
12.44	7	2	1	19.3	193.62.193.165:1
12.64	7	2	1	19.3	193.62.193.165:1
12.85	7	2	1	19.3	193.62.193.165:1
13.05	7	2	1	19.3	193.62.193.165:1
13.26	7	2	1	19.3	193.62.193.165:1
13.47	7	2	1	19.3	193.62.193.165:1
13.67	7	2	1	19.3	193.62.193.165:1
13.88	7	2	1	19.3	193.62.193.165:1
14.09	7	2	1	19.3	193.62.193.165:1
14.29	7	2	1	19.3	193.62.193.165:1
14.50	7	2	1	19.3	193.62.193.165:1
14.71	7	2	1	19.3	193.62.193.165:1
14.91	7	2	1	19.3	193.62.193.165:1
15.12	7	2	1	19.3	193.62.193.165:1
15.33	7	2	1	19.3	193.62.193.165:1
15.54	7	2	1	19.3	193.62.193.165:1
15.74	7	2	1	19.3	193.62.193.165:1
15.95	7	2	1	19.3	193.62.193.165:1
16.15	7	2	1	19.3	193.62.193.165:1
16.36	7	2	1	19.3	193.62.193.165:1
16.57	7	2	1	19.3	193.62.193.165:1
16.77	7	2	1	19.3	193.62.193.165:1
16.98	7	2	1	19.3	193.62.193.165:1
17.19	7	2	1	19.3	193.62.193.165:1
17.40	7	2	1	19.3	193.62.193.165:1
17.60	7	2	1	19.3	193.62.193.165:1
17.81	7	2	1	19.3	193.62.193.165:1
18.02	7	2	1	19.3	193.62.193.165:1
18.23	7	2	1	19.3	193.62.193.165:1
18.43	7	2	1	19.3	193.62.193.165:1
18.64	7	2	1	19.3	193.62.193.165:1
18.85	7	2	1	19.3	193.62.193.165:1
19.05	7	2	1	19.3	193.62.193.165:1
19.26	7	2	1	19.3	193.62.193.165:1
19.47	7	2	1	19.3	193.62.193.165:1
19.67	7	2	1	19.3	193.62.193.165:1
19.88	7	2	1	19.3	193.62.193.165:1
20.09	7	2	1	19.3	193.62.193.165:1
20.29	7	2	1	19.3	193.62.193.165:1
20.50	7	2	1	19.3	193.62.193.165:1
20.71	7	2	1	19.3	193.62.193.165:1
20.91	7	2	1	19.3	193.62.193.165:1
21.12	7	2	1	19.3	193.62.193.165:1
21.33	7	2	1	19.3	193.62.193.165:1
21.53	7	2	1	19.3	193.62.193.165:1
21.74	7	2	1	19.3	193.62.193.165:1
21.95	7	2	1	19.3	193.62.193.165:1
22.15	7	2	1	19.3	193.62.193.165:1
22.36	7	2	1	19.3	193.62.193.165:1
22.57	7	2	1	19.3	193.62.193.165:1
22.77	7	2	1	19.3	193.62.193.165:1
22.98	7	2	1	19.3	193.62.193.165:1
23.18	7	2	1	19.3	193.62.193.165:1
23.39	7	2	1	19.3	193.62.193.165:1
23.60	7	2	1	19.3	193.62.193.165:1
23.81	7	2	1	19.3	193.62.193.165:1
24.01	7	2	1	19.3	193.62.193.165:1
24.22	7	2	1	19.3	193.62.193.165:1
24.43	7	2	1	19.3	193.62.193.165:1
24.63	7	2	1	19.3	193.62.193.165:1
24.84	7	2	1	19.3	193.62.193.165:1
25.05	7	2	1	19.3	193.62.193.165:1
25.25	7	2	1	19.3	193.62.193.165:1
25.46	7	2	1	19.3	193.62.193.165:1
25.67	7	2	1	19.3	193.62.193.165:1
25.87	7	2	1	19.3	193.62.193.165:1
26.08	7	2	1	19.3	193.62.193.165:1
26.29	7	2	1	19.3	193.62.193.165:1
26.49	7	2	1	19.3	193.62.193.165:1
26.70	7	2	1	19.3	193.62.193.165:1
26.91	7	2	1	19.3	193.62.193.165:1
27.11	7	2	1	19.3	193.62.193.165:1
27.32	7	2	1	19.3	193.62.193.165:1
27.53	7	2	1	19.3	193.62.193.165:1
27.73	7	2	1	19.3	193.62.193.165:1
27.94	7	2	1	19.3	193.62.193.165:1
28.15	7	2	1	19.3	193.62.193.165:1
28.35	7	2	1	19.3	193.62.193.165:1
28.56	7	2	1	19.3	193.62.193.165:1
28.76	7	2	1	19.3	193.62.193.165:1
28.97	7	2	1	19.3	193.62.193.165:1
29.18	7	2	1	19.3	193.62.193.165:1
29.39	7	2	1	19.3	193.62.193.165:1
29.59	7	2	1	19.3	193.62.193.165:1
29.80	7	2	1	19.3	193.62.193.165:1
30.01	7	2	1	19.3	193.62.193.165:1
30.21	7	2	1	19.3	193.62.193.165:1
30.42	7	2	1	19.3	193.62.193.165:1
30.63	7	2	1	19.3	193.62.193.165:1
30.83	7	2	1	19.3	193.62.193.165:1
31.04	7	2	1	19.3	193.62.193.165:1
31.25	7	2	1	19.3	193.62.193.165:1
31.45	7	2	1	19.3	193.62.193.165:1
31.66	7	2	1	19.3	193.62.193.165:1
31.87	7	2	1	19.3	193.62.193.165:1
32.08	7	2	1	19.3	193.62.193.165:1
32.28	7	2	1	19.3	193.62.193.165:1
32.49	7	2	1	19.3	193.62.193.165:1
32.70	7	2	1	19.3	193.62.193.165:1
32.91	7	2	1	19.3	193.62.193.165:1
33.11	7	2	1	19.3	193.62.193.165:1
33.32	7	2	1	19.3	193.62.193.165:1
33.53	7	2	1	19.3	193.62.193.165:1
33.73	7	2	1	19.3	193.62.193.165:1
33.94	7	2	1	19.3	193.62.193.165:1
34.15	7	2	1	19.3	193.62.193.165:1
34.36	7	2	1	19.3	193.62.193.165:1
34.57	7	2	1	19.3	193.62.193.165:1
34.77	7	2	1	19.3	193.62.193.165:1
34.98	7	2	1	19.3	193.62.193.165:1
35.18	7	2	1	19.3	193.62.193.165:1
35.39	7	2	1	19.3	193.62.193.165:1
35.60	7	2	1	19.3	193.62.193.165:1
35.80	7	2	1	19.3	193.62.193.165:1
36.01	7	2	1	19.3	193.62.193.165:1
36.22	7	2	1	19.3	193.62.193.165:1
36.42	7	2	1	19.3	193.62.193.165:1
36.63	7	2	1	19.3	193.62.193.165:1
36.84	7	2	1	19.3	193.62.193.165:1
37.05	7	2	1	19.3	193.62.193.165:1
37.25	7	2	1	19.3	193.62.193.165:1
37.46	7	2	1	19.3	193.62.193.165:1
37.67	7	2	1	19.3	193.62.193.165:1
37.87	7	2	1	19.3	193.62.193.165:1
38.08	7	2	1	19.3	193.62.193.165:1
38.29	7	2	1	19.3	193.62.193.165:1
38.49	7	2	1	19.3	193.62.193.165:1
38.70	7	2	1	19.3	193.62.193.165:1
38.91	7	2	1	19.3	193.62.193.165:1
39.11	7	2	1	19.3	193.62.193.165:1
