t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.9	-
0.20	4	0	0	100.8	-
0.41	5	0	0	133.1	-
0.61	5	1	1	137.2	193.62.193.80:1
0.82	5	1	1	137.5	193.62.193.80:1
1.03	6	0	0	141.0	-
1.23	6	1	1	141.0	193.62.193.165:1
1.44	6	1	1	141.0	193.62.193.165:1
1.65	6	1	1	141.0	193.62.193.165:1
1.86	6	1	1	141.0	193.62.193.165:1
2.06	6	1	1	141.0	193.62.193.165:1
2.27	6	1	1	141.0	193.62.193.165:1
2.48	6	5	5	141.0	193.62.193.165:5
2.68	6	6	5	141.0	193.62.193.165:5
2.89	6	6	5	141.0	193.62.193.165:5
3.10	6	6	5	141.0	193.62.193.165:5
3.31	6	6	5	141.0	193.62.193.165:5
3.51	6	6	5	141.4	193.62.193.165:5
3.72	6	6	5	142.2	193.62.193.165:5
3.93	6	10	5	142.1	193.62.193.165:5
4.14	6	10	5	142.1	193.62.193.165:5
4.34	6	10	5	142.4	193.62.193.165:5
4.55	6	10	5	142.7	193.62.193.165:5
4.76	6	10	5	144.4	193.62.193.165:5
4.96	6	10	5	145.1	193.62.193.165:5
5.17	6	10	5	144.6	193.62.193.165:5
5.38	6	10	5	145.2	193.62.193.165:5
5.58	6	10	5	145.2	193.62.193.165:5
5.79	6	10	5	145.4	193.62.193.165:5
6.00	6	10	5	145.4	193.62.193.165:5
6.21	6	10	5	145.3	193.62.193.165:5
6.42	6	10	5	145.7	193.62.193.165:5
6.62	6	10	5	145.7	193.62.193.165:5
6.83	6	10	5	145.8	193.62.193.165:5
7.04	6	10	5	145.8	193.62.193.165:5
7.25	6	10	5	145.6	193.62.193.165:5
7.46	6	10	5	145.9	193.62.193.165:5
7.66	6	9	5	145.6	193.62.193.165:5
7.87	6	9	5	145.6	193.62.193.165:5
8.08	6	9	5	145.6	193.62.193.165:5
8.29	6	7	4	145.6	193.62.193.165:4
8.50	6	8	5	145.6	193.62.193.165:5
8.71	6	8	5	145.6	193.62.193.165:5
8.91	6	8	5	145.6	193.62.193.165:5
9.12	6	9	5	145.6	193.62.193.165:5
9.33	6	9	5	145.6	193.62.193.165:5
9.53	6	9	5	145.6	193.62.193.165:5
9.74	6	9	5	145.6	193.62.193.165:5
9.95	6	10	5	145.6	193.62.193.165:5
10.16	6	10	5	145.6	193.62.193.165:5
10.36	6	9	5	145.6	193.62.193.165:5
10.57	6	9	5	145.6	193.62.193.165:5
10.78	6	9	5	145.6	193.62.193.165:5
10.99	6	9	5	145.6	193.62.193.165:5
11.19	6	9	5	145.6	193.62.193.165:5
11.40	6	9	5	145.6	193.62.193.165:5
11.61	6	9	5	145.6	193.62.193.165:5
11.81	6	8	5	145.6	193.62.193.165:5
12.02	6	8	5	145.6	193.62.193.165:5
12.23	6	8	5	145.6	193.62.193.165:5
12.44	6	8	5	145.6	193.62.193.165:5
12.65	6	8	5	145.6	193.62.193.165:5
12.85	6	9	5	145.6	193.62.193.165:5
13.06	6	9	5	145.6	193.62.193.165:5
13.27	6	10	5	145.6	193.62.193.165:5
13.47	6	6	3	145.6	193.62.193.165:3
13.68	6	4	2	145.6	193.62.193.165:2
13.89	6	4	2	145.6	193.62.193.165:2
14.10	6	4	2	145.6	193.62.193.165:2
14.30	6	2	1	145.6	193.62.193.165:1
14.51	6	2	1	145.6	193.62.193.165:1
14.72	6	0	0	145.6	-
14.92	6	0	0	145.6	-
15.13	6	0	0	145.6	-
15.33	6	0	0	145.6	-
15.53	6	0	0	145.6	-
15.74	6	0	0	145.6	-
15.94	6	0	0	145.6	-
16.14	4	0	0	124.4	-
16.35	4	0	0	124.4	-
16.55	4	0	0	124.4	-
16.75	4	0	0	124.4	-
16.96	4	0	0	124.4	-
17.16	4	0	0	124.4	-
17.36	4	0	0	124.4	-
17.57	4	0	0	124.4	-
17.77	4	0	0	124.4	-
17.97	4	0	0	124.4	-
18.18	4	0	0	124.4	-
18.38	4	0	0	124.4	-
18.58	6	0	0	141.3	-
18.79	6	1	1	141.3	193.62.193.165:1
19.00	6	1	1	141.3	193.62.193.165:1
19.20	6	1	1	141.3	193.62.193.165:1
19.41	6	1	1	141.3	193.62.193.165:1
19.61	6	1	1	141.3	193.62.193.165:1
19.82	6	1	1	141.3	193.62.193.165:1
20.03	6	5	5	141.3	193.62.193.165:5
20.23	6	6	5	141.3	193.62.193.165:5
20.44	6	6	5	141.3	193.62.193.165:5
20.65	6	6	5	141.3	193.62.193.165:5
20.86	6	6	5	141.3	193.62.193.165:5
21.06	6	6	5	141.3	193.62.193.165:5
21.27	6	6	5	141.9	193.62.193.165:5
21.48	6	8	5	142.4	193.62.193.165:5
21.68	6	10	5	142.4	193.62.193.165:5
21.89	6	10	5	142.4	193.62.193.165:5
22.10	6	10	5	142.6	193.62.193.165:5
22.30	6	10	5	143.7	193.62.193.165:5
22.51	6	10	5	144.4	193.62.193.165:5
22.72	6	10	5	144.7	193.62.193.165:5
22.93	6	10	5	144.7	193.62.193.165:5
23.14	6	10	5	145.9	193.62.193.165:5
23.35	6	10	5	145.4	193.62.193.165:5
23.56	6	10	5	145.7	193.62.193.165:5
23.77	6	10	5	146.0	193.62.193.165:5
23.97	6	10	5	146.0	193.62.193.165:5
24.18	6	10	5	145.8	193.62.193.165:5
24.39	6	10	5	145.8	193.62.193.165:5
24.60	6	10	5	145.8	193.62.193.165:5
24.80	6	8	4	145.8	193.62.193.165:4
25.01	6	9	5	145.8	193.62.193.165:5
25.22	6	9	5	145.8	193.62.193.165:5
25.43	6	9	5	145.8	193.62.193.165:5
25.63	6	9	5	145.8	193.62.193.165:5
25.84	6	9	5	145.8	193.62.193.165:5
26.05	6	9	5	145.8	193.62.193.165:5
26.25	6	9	5	145.8	193.62.193.165:5
26.46	6	10	5	145.8	193.62.193.165:5
26.67	6	10	5	145.8	193.62.193.165:5
26.87	6	10	5	145.8	193.62.193.165:5
27.08	6	10	5	146.3	193.62.193.165:5
27.29	6	10	5	145.9	193.62.193.165:5
27.49	6	8	4	145.9	193.62.193.165:4
27.70	6	9	5	145.9	193.62.193.165:5
27.91	6	9	5	145.9	193.62.193.165:5
28.11	6	9	5	145.9	193.62.193.165:5
28.32	6	9	5	145.9	193.62.193.165:5
28.53	6	9	5	145.9	193.62.193.165:5
28.74	6	9	5	145.9	193.62.193.165:5
28.94	6	8	4	145.9	193.62.193.165:4
29.15	6	9	5	145.9	193.62.193.165:5
29.36	6	9	5	145.9	193.62.193.165:5
29.57	6	9	5	145.9	193.62.193.165:5
29.78	6	9	5	145.9	193.62.193.165:5
29.98	6	6	3	145.9	193.62.193.165:3
30.19	6	4	2	145.9	193.62.193.165:2
30.40	6	4	2	145.9	193.62.193.165:2
30.60	6	3	2	145.9	193.62.193.165:2
30.81	6	3	2	145.9	193.62.193.165:2
31.02	6	3	2	145.9	193.62.193.165:2
31.23	6	3	2	145.9	193.62.193.165:2
31.43	6	3	2	145.9	193.62.193.165:2
31.64	6	3	2	145.9	193.62.193.165:2
31.85	6	1	1	145.9	193.62.193.165:1
32.05	6	1	1	145.9	193.62.193.165:1
32.26	6	1	1	145.9	193.62.193.165:1
32.47	6	1	1	145.9	193.62.193.165:1
32.67	6	2	1	145.9	193.62.193.165:1
32.88	6	2	1	145.9	193.62.193.165:1
33.09	6	2	1	145.9	193.62.193.165:1
33.30	6	2	1	145.9	193.62.193.165:1
33.50	6	0	0	145.9	-
33.71	6	0	0	145.9	-
33.91	6	0	0	145.9	-
34.11	6	0	0	145.9	-
34.32	6	0	0	145.9	-
34.52	6	0	0	145.9	-
34.73	6	0	0	145.9	-
34.93	4	0	0	124.4	-
35.13	4	0	0	124.4	-
35.33	4	0	0	124.4	-
35.54	4	0	0	124.4	-
35.74	4	0	0	124.4	-
35.94	4	0	0	124.4	-
36.15	4	0	0	124.4	-
36.35	4	0	0	124.4	-
36.55	4	0	0	124.4	-
36.76	4	0	0	124.4	-
36.96	4	0	0	124.4	-
