t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.7	-
0.21	5	0	0	66.5	-
0.41	6	1	1	76.8	193.62.193.80:1
0.62	8	3	3	97.7	193.62.193.80:3
0.85	9	4	4	108.6	193.62.193.80:4
1.07	9	4	4	108.4	193.62.193.80:4
1.30	8	3	3	98.2	193.62.193.80:3
1.52	8	3	3	97.4	193.62.193.80:3
1.74	9	4	4	107.9	193.62.193.80:4
1.96	9	4	4	108.2	193.62.193.80:4
2.19	9	4	4	108.3	193.62.193.80:4
2.41	10	3	3	109.0	193.62.193.80:3
2.64	10	2	2	99.1	193.62.193.80:2
2.86	10	1	1	94.9	193.62.193.80:1
3.09	10	6	6	89.8	169.254.169.254:6
3.32	10	6	6	89.8	169.254.169.254:5,130.14.29.113:1
3.56	9	5	5	84.4	169.254.169.254:5
3.79	9	5	5	84.4	169.254.169.254:5
4.02	9	5	5	84.4	169.254.169.254:5
4.24	9	5	5	84.4	169.254.169.254:5
4.46	8	3	3	79.1	169.254.169.254:3
4.68	7	3	3	73.5	169.254.169.254:2,130.14.29.113:1
4.89	6	2	2	68.2	169.254.169.254:2
5.10	6	2	2	68.2	169.254.169.254:2
5.31	6	2	2	68.2	130.14.29.113:2
5.52	4	0	0	57.5	-
5.73	4	2	2	58.5	193.62.193.165:2
5.94	4	2	2	58.5	193.62.193.165:2
6.15	4	2	2	58.5	193.62.193.165:2
6.36	4	2	2	58.5	193.62.193.165:2
6.56	4	2	2	58.6	193.62.193.165:2
6.77	4	2	2	58.8	193.62.193.165:2
6.98	4	2	2	59.2	193.62.193.165:2
7.19	4	2	2	59.3	193.62.193.165:2
7.40	4	2	2	59.5	193.62.193.165:2
7.60	4	2	2	59.0	193.62.193.165:2
7.81	4	2	2	59.7	193.62.193.165:2
8.02	4	2	2	59.9	193.62.193.165:2
8.23	4	2	2	59.4	193.62.193.165:2
8.44	4	2	2	59.6	193.62.193.165:2
8.65	4	2	2	59.3	193.62.193.165:2
8.86	4	2	2	59.3	193.62.193.165:2
9.06	4	2	2	59.3	193.62.193.165:2
9.27	4	2	2	59.4	193.62.193.165:2
9.48	4	2	2	59.6	193.62.193.165:2
9.69	4	2	2	59.4	193.62.193.165:2
9.89	4	2	2	59.3	193.62.193.165:2
10.10	4	3	3	59.4	193.62.193.165:2,52.217.125.41:1
