t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	20.6	-
0.20	5	0	0	65.9	-
0.41	6	0	0	76.1	-
0.62	8	3	3	97.4	193.62.193.80:3
0.84	10	5	5	119.2	193.62.193.80:5
1.07	8	4	4	98.3	193.62.193.80:4
1.29	8	3	3	98.3	193.62.193.80:3
1.50	9	4	4	108.4	193.62.193.80:4
1.73	9	4	4	108.3	193.62.193.80:4
1.96	9	4	4	108.6	193.62.193.80:4
2.19	9	4	4	108.5	193.62.193.80:4
2.42	10	4	4	109.2	193.62.193.80:3,169.254.169.254:1
2.65	9	4	4	94.7	193.62.193.80:2,169.254.169.254:2
2.88	10	4	4	84.2	169.254.169.254:4
3.12	10	6	6	89.8	169.254.169.254:6
3.36	10	6	6	89.8	169.254.169.254:5,130.14.29.113:1
3.58	9	5	5	84.3	169.254.169.254:4,130.14.29.113:1
3.81	8	4	4	78.8	169.254.169.254:4
4.03	8	4	4	78.8	169.254.169.254:3,130.14.29.113:1
4.26	7	3	3	73.4	169.254.169.254:2,130.14.29.113:1
4.48	6	2	2	67.9	130.14.29.113:1,169.254.169.254:1
4.69	5	1	1	62.5	169.254.169.254:1
4.90	4	0	0	57.6	-
5.11	4	18	18	64.3	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
5.32	4	18	18	65.0	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
5.52	4	18	18	68.4	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
5.73	4	18	18	68.4	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
5.94	4	18	18	68.2	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
6.15	4	18	18	69.1	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
6.36	4	18	18	69.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
6.57	4	18	18	69.1	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
6.78	4	18	18	70.5	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
6.99	4	18	18	70.1	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
7.20	4	18	18	70.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
7.41	4	18	18	70.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
7.62	4	18	18	70.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
7.83	4	18	18	70.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
8.04	4	18	18	71.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
8.24	4	18	18	70.9	193.62.193.165:12,16.15.244.217:1,16.15.252.62:1
