t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	24.3	-
0.20	5	0	0	92.3	-
0.41	5	0	0	134.2	-
0.62	5	0	0	134.2	-
0.82	5	0	0	134.2	-
1.03	5	1	1	134.2	193.62.193.80:1
1.24	5	1	1	135.8	193.62.193.80:1
1.44	6	0	0	141.2	-
1.65	6	0	0	141.2	-
1.86	6	1	1	141.2	193.62.193.165:1
2.07	6	1	1	141.2	193.62.193.165:1
2.27	6	1	1	141.2	193.62.193.165:1
2.48	6	1	1	141.2	193.62.193.165:1
2.69	6	1	1	141.2	193.62.193.165:1
2.89	6	2	1	141.2	193.62.193.165:1
3.10	6	1	1	141.2	193.62.193.165:1
3.31	5	0	0	29.1	-
3.51	5	0	0	94.4	-
3.71	5	0	0	134.1	-
3.92	5	1	1	134.1	193.62.193.80:1
4.13	5	1	1	135.6	193.62.193.80:1
4.33	6	1	1	141.1	193.62.193.165:1
4.54	6	1	1	141.1	193.62.193.165:1
4.75	6	1	1	141.1	193.62.193.165:1
4.95	6	1	1	141.1	193.62.193.165:1
5.16	6	1	1	141.1	193.62.193.165:1
5.37	6	2	1	141.1	193.62.193.165:1
5.57	6	2	1	141.1	193.62.193.165:1
5.78	6	2	1	141.1	193.62.193.165:1
5.99	6	2	1	141.1	193.62.193.165:1
6.20	6	2	1	141.1	193.62.193.165:1
6.40	6	2	1	141.1	193.62.193.165:1
6.61	6	2	1	141.1	193.62.193.165:1
6.82	6	2	1	141.1	193.62.193.165:1
7.03	6	2	1	141.1	193.62.193.165:1
7.24	6	2	1	141.1	193.62.193.165:1
7.45	6	2	1	141.1	193.62.193.165:1
7.66	6	2	1	141.1	193.62.193.165:1
7.86	6	2	1	141.1	193.62.193.165:1
8.07	6	2	1	141.1	193.62.193.165:1
8.28	6	2	1	141.1	193.62.193.165:1
8.48	6	2	1	141.1	193.62.193.165:1
8.69	6	2	1	141.1	193.62.193.165:1
8.90	6	2	1	141.1	193.62.193.165:1
9.10	6	2	1	141.1	193.62.193.165:1
9.31	6	2	1	141.1	193.62.193.165:1
9.52	6	2	1	141.1	193.62.193.165:1
9.73	6	2	1	141.1	193.62.193.165:1
9.93	6	2	1	141.1	193.62.193.165:1
10.14	6	2	1	141.1	193.62.193.165:1
10.35	6	2	1	141.1	193.62.193.165:1
10.56	6	2	1	141.1	193.62.193.165:1
10.76	6	2	1	141.1	193.62.193.165:1
10.97	6	2	1	141.1	193.62.193.165:1
11.18	6	2	1	141.1	193.62.193.165:1
11.39	6	2	1	141.1	193.62.193.165:1
11.59	6	2	1	141.1	193.62.193.165:1
11.80	6	2	1	141.1	193.62.193.165:1
12.01	6	2	1	141.1	193.62.193.165:1
12.21	6	2	1	141.1	193.62.193.165:1
12.42	6	2	1	141.1	193.62.193.165:1
12.63	6	2	1	141.1	193.62.193.165:1
12.84	6	2	1	141.1	193.62.193.165:1
13.04	6	2	1	141.1	193.62.193.165:1
13.25	6	2	1	141.1	193.62.193.165:1
13.46	6	2	1	141.1	193.62.193.165:1
13.66	6	2	1	141.1	193.62.193.165:1
13.87	6	2	1	141.1	193.62.193.165:1
14.08	6	2	1	141.1	193.62.193.165:1
14.29	6	2	1	141.1	193.62.193.165:1
14.49	6	2	1	141.1	193.62.193.165:1
14.70	6	2	1	141.1	193.62.193.165:1
14.91	6	2	1	141.1	193.62.193.165:1
15.12	6	2	1	141.1	193.62.193.165:1
15.32	6	2	1	141.1	193.62.193.165:1
15.53	5	0	0	156.8	-
15.73	5	0	0	156.8	-
15.94	5	0	0	136.2	-
16.14	5	0	0	51.4	-
16.35	5	0	0	109.7	-
16.55	5	0	0	134.8	-
16.76	5	1	1	136.3	193.62.193.80:1
16.96	6	0	0	142.0	-
17.17	6	1	1	142.0	193.62.193.165:1
17.38	6	1	1	142.0	193.62.193.165:1
17.59	6	1	1	142.0	193.62.193.165:1
17.80	6	1	1	142.0	193.62.193.165:1
18.00	6	1	1	142.0	193.62.193.165:1
18.21	6	2	1	142.0	193.62.193.165:1
18.42	6	2	1	142.0	193.62.193.165:1
18.63	5	0	0	137.0	-
18.83	5	0	0	54.2	-
19.03	5	0	0	122.1	-
19.24	5	1	1	134.2	193.62.193.80:1
19.44	5	1	1	135.8	193.62.193.80:1
19.65	6	0	0	141.4	-
19.86	6	1	1	141.4	193.62.193.165:1
20.07	6	1	1	141.4	193.62.193.165:1
20.28	6	1	1	141.4	193.62.193.165:1
20.49	6	1	1	141.4	193.62.193.165:1
20.69	6	1	1	141.4	193.62.193.165:1
20.90	6	2	1	141.4	193.62.193.165:1
21.11	6	2	1	141.4	193.62.193.165:1
21.32	5	0	0	8.2	-
21.52	5	0	0	65.6	-
21.73	5	0	0	129.3	-
21.93	5	1	1	134.2	193.62.193.80:1
22.14	5	1	1	135.7	193.62.193.80:1
22.34	6	0	0	141.5	-
22.55	6	1	1	141.5	193.62.193.165:1
22.76	6	1	1	141.5	193.62.193.165:1
22.96	6	1	1	141.5	193.62.193.165:1
23.17	6	1	1	141.5	193.62.193.165:1
23.38	6	1	1	141.5	193.62.193.165:1
23.58	6	2	1	141.5	193.62.193.165:1
23.79	6	1	1	141.5	193.62.193.165:1
24.00	5	0	0	38.4	-
24.20	5	0	0	107.3	-
24.41	5	0	0	134.4	-
24.61	5	1	1	134.4	193.62.193.80:1
24.82	6	0	0	141.3	-
25.03	6	1	1	141.3	193.62.193.165:1
25.23	6	1	1	141.3	193.62.193.165:1
25.44	6	1	1	141.3	193.62.193.165:1
25.65	6	1	1	141.3	193.62.193.165:1
25.86	6	1	1	141.3	193.62.193.165:1
26.07	6	2	1	141.3	193.62.193.165:1
26.27	6	1	1	141.3	193.62.193.165:1
26.48	5	0	0	29.1	-
26.68	5	0	0	105.5	-
26.89	5	0	0	135.1	-
27.09	5	1	1	135.1	193.62.193.80:1
27.30	5	1	1	136.7	193.62.193.80:1
27.51	6	1	1	142.4	193.62.193.165:1
27.72	6	1	1	142.4	193.62.193.165:1
27.92	6	1	1	142.4	193.62.193.165:1
28.13	6	1	1	142.4	193.62.193.165:1
28.34	6	1	1	142.4	193.62.193.165:1
28.54	6	1	1	142.4	193.62.193.165:1
28.75	6	2	1	142.4	193.62.193.165:1
28.96	6	1	1	142.4	193.62.193.165:1
29.17	5	0	0	37.4	-
29.37	5	0	0	106.9	-
29.57	5	0	0	134.1	-
29.78	5	1	1	135.5	193.62.193.80:1
29.98	6	0	0	141.2	-
30.19	6	1	1	141.2	193.62.193.165:1
30.40	6	1	1	141.2	193.62.193.165:1
30.60	6	1	1	141.2	193.62.193.165:1
30.81	6	1	1	141.2	193.62.193.165:1
31.02	6	1	1	141.2	193.62.193.165:1
31.22	6	2	1	141.2	193.62.193.165:1
31.43	6	2	1	141.2	193.62.193.165:1
31.64	6	2	1	141.2	193.62.193.165:1
31.85	6	2	1	141.2	193.62.193.165:1
32.05	6	2	1	141.2	193.62.193.165:1
32.26	6	2	1	141.2	193.62.193.165:1
32.47	5	0	0	136.1	-
32.67	5	0	0	64.7	-
32.87	5	0	0	126.8	-
33.08	5	1	1	134.4	193.62.193.80:1
33.28	5	1	1	135.9	193.62.193.80:1
33.49	6	0	0	141.4	-
33.70	6	1	1	141.4	193.62.193.165:1
33.91	6	1	1	141.4	193.62.193.165:1
34.11	6	1	1	141.4	193.62.193.165:1
34.32	6	1	1	141.4	193.62.193.165:1
34.53	6	1	1	141.4	193.62.193.165:1
34.73	6	2	1	141.4	193.62.193.165:1
34.94	6	1	1	141.4	193.62.193.165:1
35.15	5	0	0	30.7	-
35.35	5	0	0	106.7	-
35.56	5	0	0	134.4	-
35.76	5	1	1	135.9	193.62.193.80:1
35.97	5	0	0	136.3	-
36.17	6	1	1	141.5	193.62.193.165:1
36.38	6	1	1	141.5	193.62.193.165:1
36.59	6	1	1	141.5	193.62.193.165:1
36.79	6	1	1	141.5	193.62.193.165:1
37.00	6	1	1	141.5	193.62.193.165:1
37.21	6	2	1	141.5	193.62.193.165:1
37.41	6	2	1	141.5	193.62.193.165:1
37.62	5	0	0	136.4	-
37.82	5	0	0	53.4	-
38.03	5	0	0	121.5	-
38.23	5	1	1	134.2	193.62.193.80:1
38.44	5	1	1	135.7	193.62.193.80:1
38.64	6	0	0	141.1	-
38.85	6	1	1	141.1	193.62.193.165:1
39.06	6	1	1	141.1	193.62.193.165:1
39.26	6	1	1	141.1	193.62.193.165:1
39.47	6	1	1	141.1	193.62.193.165:1
39.67	6	1	1	141.1	193.62.193.165:1
39.88	6	1	1	141.1	193.62.193.165:1
40.09	6	2	1	141.1	193.62.193.165:1
40.30	5	0	0	136.2	-
40.50	5	0	0	40.5	-
40.70	5	0	0	106.7	-
40.91	5	0	0	133.9	-
41.11	5	1	1	135.7	193.62.193.80:1
41.32	5	0	0	136.0	-
41.52	6	1	1	141.2	193.62.193.165:1
41.73	6	1	1	141.2	193.62.193.165:1
41.93	6	1	1	141.2	193.62.193.165:1
42.14	6	1	1	141.2	193.62.193.165:1
42.35	6	1	1	141.2	193.62.193.165:1
42.56	6	2	1	141.2	193.62.193.165:1
42.76	6	1	1	141.2	193.62.193.165:1
42.97	5	0	0	34.8	-
43.18	5	0	0	106.1	-
43.38	5	0	0	134.0	-
43.59	5	1	1	135.5	193.62.193.80:1
43.79	5	1	1	135.5	193.62.193.80:1
44.00	6	2	2	143.2	16.15.252.38:1,34.107.134.59:1
44.21	6	2	2	143.2	16.15.252.38:1,34.107.134.59:1
44.41	6	3	3	144.5	16.15.252.38:1,130.14.29.113:1,34.107.134.59:1
44.62	6	10	10	145.0	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
44.83	6	10	10	148.9	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
45.03	6	10	10	148.9	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
45.24	6	10	10	153.0	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
45.45	6	10	10	154.9	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
45.66	6	10	10	177.3	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
45.87	6	10	10	289.8	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
46.08	6	10	10	231.9	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
46.29	6	10	10	268.7	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
46.50	6	9	9	319.3	16.15.207.70:3,52.216.42.209:1,16.15.252.38:1
