t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.4	-
0.21	7	0	0	24.1	-
0.41	7	1	1	24.6	193.62.193.80:1
0.62	7	1	1	24.6	193.62.193.80:1
0.83	10	1	1	27.0	193.62.193.165:1
1.04	10	1	1	27.0	193.62.193.165:1
1.24	10	1	1	27.0	193.62.193.165:1
1.45	10	1	1	27.0	193.62.193.165:1
1.66	10	1	1	27.0	193.62.193.165:1
1.87	10	2	1	27.0	193.62.193.165:1
2.08	10	1	1	27.0	193.62.193.165:1
2.29	10	1	1	27.0	193.62.193.165:1
2.50	7	1	1	18.8	193.62.193.165:1
2.70	7	1	1	18.8	193.62.193.165:1
2.91	7	1	1	18.8	193.62.193.165:1
3.12	7	1	1	18.8	193.62.193.165:1
3.33	7	1	1	18.8	193.62.193.165:1
3.53	7	2	1	18.8	193.62.193.165:1
3.74	7	0	0	23.4	-
3.95	7	1	1	24.1	193.62.193.80:1
4.16	7	1	1	24.5	193.62.193.80:1
4.36	10	0	0	26.9	-
4.57	10	1	1	26.9	193.62.193.165:1
4.78	10	1	1	26.9	193.62.193.165:1
4.99	10	1	1	26.9	193.62.193.165:1
5.19	10	1	1	26.9	193.62.193.165:1
5.40	10	2	1	26.9	193.62.193.165:1
5.61	10	1	1	26.9	193.62.193.165:1
5.81	10	1	1	26.9	193.62.193.165:1
6.02	7	0	0	18.6	-
6.23	7	1	1	18.6	193.62.193.165:1
6.44	7	1	1	18.6	193.62.193.165:1
6.64	7	1	1	18.6	193.62.193.165:1
6.85	7	1	1	18.6	193.62.193.165:1
7.06	7	9	8	18.6	193.62.193.165:8
7.27	7	9	8	18.7	193.62.193.165:8
7.47	7	9	8	18.7	193.62.193.165:8
7.68	7	14	8	18.7	193.62.193.165:8
7.89	7	16	8	18.8	193.62.193.165:8
8.09	7	16	8	18.9	193.62.193.165:8
8.30	7	16	8	18.9	193.62.193.165:8
8.51	7	16	8	18.9	193.62.193.165:8
8.72	7	16	8	18.9	193.62.193.165:8
8.93	7	16	8	18.9	193.62.193.165:8
9.13	7	16	8	18.9	193.62.193.165:8
9.34	7	15	8	18.9	193.62.193.165:8
9.55	7	13	7	18.9	193.62.193.165:7
9.76	7	8	6	18.9	193.62.193.165:6
9.97	7	7	6	18.9	193.62.193.165:6
10.18	7	9	8	18.9	193.62.193.165:8
10.39	7	12	8	18.9	193.62.193.165:8
10.59	7	14	8	18.9	193.62.193.165:8
10.80	7	16	8	18.9	193.62.193.165:8
11.01	7	14	7	18.9	193.62.193.165:7
11.22	7	15	8	18.9	193.62.193.165:8
11.43	7	8	5	18.9	193.62.193.165:5
11.63	7	9	8	18.9	193.62.193.165:8
11.84	7	10	8	18.9	193.62.193.165:8
12.05	7	9	7	18.9	193.62.193.165:7
12.26	7	14	8	18.9	193.62.193.165:8
12.46	7	15	8	18.9	193.62.193.165:8
12.67	7	14	8	18.9	193.62.193.165:8
12.88	7	6	4	18.9	193.62.193.165:4
13.08	7	9	8	19.0	193.62.193.165:8
13.29	7	8	7	19.0	193.62.193.165:7
13.50	7	9	8	19.0	193.62.193.165:8
13.70	7	15	8	19.0	193.62.193.165:8
13.91	7	13	7	19.0	193.62.193.165:7
14.12	7	7	4	19.0	193.62.193.165:4
14.33	7	4	3	19.0	193.62.193.165:3
14.54	7	2	2	19.0	193.62.193.165:2
14.74	7	3	2	19.0	193.62.193.165:2
14.95	7	4	2	19.0	193.62.193.165:2
15.16	7	2	1	19.0	193.62.193.165:1
15.37	9	0	0	21.3	-
15.57	9	0	0	21.3	-
15.77	9	0	0	21.6	-
15.98	9	0	0	21.6	-
16.18	9	0	0	21.4	-
16.39	9	0	0	21.4	-
16.59	7	1	1	24.5	193.62.193.80:1
16.80	7	1	1	24.9	193.62.193.80:1
17.00	7	1	1	24.9	193.62.193.80:1
17.21	10	1	1	27.1	193.62.193.165:1
17.42	10	1	1	27.1	193.62.193.165:1
17.63	10	1	1	27.1	193.62.193.165:1
17.84	10	1	1	27.1	193.62.193.165:1
18.04	10	1	1	27.1	193.62.193.165:1
18.25	10	2	1	27.1	193.62.193.165:1
18.46	10	1	1	27.1	193.62.193.165:1
18.67	10	1	1	27.1	193.62.193.165:1
18.87	7	1	1	19.0	193.62.193.165:1
19.08	7	1	1	19.0	193.62.193.165:1
19.29	7	1	1	19.0	193.62.193.165:1
19.50	7	1	1	19.0	193.62.193.165:1
19.70	7	1	1	19.0	193.62.193.165:1
19.91	7	2	1	19.0	193.62.193.165:1
20.12	7	0	0	23.8	-
20.33	7	1	1	24.4	193.62.193.80:1
20.53	7	1	1	24.8	193.62.193.80:1
20.74	10	0	0	27.1	-
20.95	10	1	1	27.1	193.62.193.165:1
21.16	10	1	1	27.1	193.62.193.165:1
21.37	10	1	1	27.1	193.62.193.165:1
21.58	10	1	1	27.1	193.62.193.165:1
