t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.5	-
0.20	7	0	0	24.0	-
0.41	7	1	1	24.6	193.62.193.80:1
0.62	7	1	1	25.1	193.62.193.80:1
0.83	6	0	0	14.4	-
1.04	10	1	1	27.4	193.62.193.165:1
1.24	10	1	1	27.4	193.62.193.165:1
1.45	10	1	1	27.4	193.62.193.165:1
1.66	10	1	1	27.4	193.62.193.165:1
1.87	10	1	1	27.4	193.62.193.165:1
2.08	10	2	1	27.4	193.62.193.165:1
2.28	10	2	1	27.4	193.62.193.165:1
2.49	7	0	0	19.6	-
2.70	7	1	1	19.6	193.62.193.165:1
2.91	7	1	1	19.6	193.62.193.165:1
3.11	7	1	1	19.6	193.62.193.165:1
3.32	7	1	1	19.6	193.62.193.165:1
3.53	7	1	1	19.6	193.62.193.165:1
3.74	7	2	1	19.6	193.62.193.165:1
3.94	7	0	0	23.1	-
4.15	7	1	1	24.5	193.62.193.80:1
4.36	7	1	1	25.0	193.62.193.80:1
4.57	10	0	0	27.2	-
4.77	10	1	1	27.2	193.62.193.165:1
4.98	10	1	1	27.2	193.62.193.165:1
5.19	10	1	1	27.2	193.62.193.165:1
5.40	10	1	1	27.2	193.62.193.165:1
5.61	10	1	1	27.2	193.62.193.165:1
5.82	10	2	1	27.2	193.62.193.165:1
6.02	10	2	1	27.2	193.62.193.165:1
6.23	7	0	0	19.5	-
6.44	7	1	1	19.5	193.62.193.165:1
6.65	7	1	1	19.5	193.62.193.165:1
6.86	7	1	1	19.5	193.62.193.165:1
7.07	7	1	1	19.5	193.62.193.165:1
7.27	7	2	1	19.5	193.62.193.165:1
7.48	7	2	1	19.5	193.62.193.165:1
7.69	7	2	1	19.5	193.62.193.165:1
7.90	7	2	1	19.5	193.62.193.165:1
8.10	7	2	1	19.5	193.62.193.165:1
8.31	7	2	1	19.5	193.62.193.165:1
8.52	7	2	1	19.5	193.62.193.165:1
8.73	7	2	1	19.5	193.62.193.165:1
8.93	7	2	1	19.5	193.62.193.165:1
9.14	7	2	1	19.5	193.62.193.165:1
9.35	7	2	1	19.5	193.62.193.165:1
9.56	7	2	1	19.5	193.62.193.165:1
9.76	7	2	1	19.5	193.62.193.165:1
9.97	7	2	1	19.5	193.62.193.165:1
10.18	7	2	1	19.5	193.62.193.165:1
10.39	7	2	1	19.5	193.62.193.165:1
10.59	7	2	1	19.5	193.62.193.165:1
10.80	7	2	1	19.5	193.62.193.165:1
11.01	7	2	1	19.5	193.62.193.165:1
11.22	7	2	1	19.5	193.62.193.165:1
11.43	7	2	1	19.5	193.62.193.165:1
11.64	7	2	1	19.5	193.62.193.165:1
11.84	7	2	1	19.5	193.62.193.165:1
12.05	7	2	1	19.5	193.62.193.165:1
12.26	7	2	1	19.5	193.62.193.165:1
12.47	7	2	1	19.5	193.62.193.165:1
12.68	7	2	1	19.5	193.62.193.165:1
12.89	7	2	1	19.5	193.62.193.165:1
13.09	7	2	1	19.5	193.62.193.165:1
13.30	7	2	1	19.5	193.62.193.165:1
13.51	9	0	0	21.9	-
13.71	9	0	0	21.9	-
13.92	9	0	0	22.0	-
14.12	9	0	0	22.0	-
14.33	9	0	0	21.9	-
14.53	9	0	0	21.9	-
14.74	7	1	1	24.6	193.62.193.80:1
14.94	7	1	1	25.0	193.62.193.80:1
15.15	7	1	1	25.0	193.62.193.80:1
15.36	10	1	1	27.3	193.62.193.165:1
15.57	10	1	1	27.3	193.62.193.165:1
15.78	10	1	1	27.3	193.62.193.165:1
15.99	10	1	1	27.3	193.62.193.165:1
16.19	10	1	1	27.3	193.62.193.165:1
16.40	10	2	1	27.3	193.62.193.165:1
16.61	10	2	1	27.3	193.62.193.165:1
16.82	7	0	0	19.6	-
17.03	7	1	1	19.6	193.62.193.165:1
17.24	7	1	1	19.6	193.62.193.165:1
17.44	7	1	1	19.6	193.62.193.165:1
17.65	7	1	1	19.6	193.62.193.165:1
17.86	7	1	1	19.6	193.62.193.165:1
18.07	7	2	1	19.6	193.62.193.165:1
18.27	7	1	1	19.6	193.62.193.165:1
18.48	7	1	1	24.5	193.62.193.80:1
18.69	7	1	1	24.9	193.62.193.80:1
18.90	6	0	0	14.3	-
19.10	10	1	1	27.3	193.62.193.165:1
19.31	10	1	1	27.3	193.62.193.165:1
19.52	10	1	1	27.3	193.62.193.165:1
19.73	10	1	1	27.3	193.62.193.165:1
19.93	10	1	1	27.3	193.62.193.165:1
20.14	10	2	1	27.3	193.62.193.165:1
20.35	10	2	1	27.3	193.62.193.165:1
20.56	7	0	0	19.6	-
20.77	7	1	1	19.6	193.62.193.165:1
20.97	7	1	1	19.6	193.62.193.165:1
21.18	7	1	1	19.6	193.62.193.165:1
21.39	7	1	1	19.6	193.62.193.165:1
21.60	7	1	1	19.6	193.62.193.165:1
21.81	7	2	1	19.6	193.62.193.165:1
22.02	7	1	1	19.6	193.62.193.165:1
22.23	7	1	1	24.6	193.62.193.80:1
22.44	7	1	1	25.1	193.62.193.80:1
22.64	6	0	0	14.4	-
22.85	10	1	1	27.3	193.62.193.165:1
23.06	10	1	1	27.3	193.62.193.165:1
23.26	10	1	1	27.3	193.62.193.165:1
23.47	10	1	1	27.3	193.62.193.165:1
23.68	10	1	1	27.3	193.62.193.165:1
23.89	10	2	1	27.3	193.62.193.165:1
24.10	10	2	1	27.3	193.62.193.165:1
24.31	10	2	1	27.3	193.62.193.165:1
24.51	10	1	1	27.3	193.62.193.165:1
24.72	7	0	0	19.6	-
24.93	7	1	1	19.6	193.62.193.165:1
25.14	7	1	1	19.6	193.62.193.165:1
25.35	7	1	1	19.6	193.62.193.165:1
25.56	7	1	1	19.6	193.62.193.165:1
25.77	7	2	1	19.6	193.62.193.165:1
25.97	7	1	1	19.6	193.62.193.165:1
26.18	7	0	0	23.9	-
26.39	7	1	1	24.6	193.62.193.80:1
26.60	7	1	1	25.0	193.62.193.80:1
26.80	10	0	0	27.1	-
27.01	10	1	1	27.1	193.62.193.165:1
27.22	10	1	1	27.1	193.62.193.165:1
27.43	10	1	1	27.1	193.62.193.165:1
27.64	10	1	1	27.1	193.62.193.165:1
27.85	10	2	1	27.1	193.62.193.165:1
28.05	10	1	1	27.1	193.62.193.165:1
28.26	10	1	1	27.1	193.62.193.165:1
28.47	7	1	1	19.5	193.62.193.165:1
28.68	7	1	1	19.5	193.62.193.165:1
28.89	7	1	1	19.5	193.62.193.165:1
29.10	7	1	1	19.5	193.62.193.165:1
29.30	7	1	1	19.5	193.62.193.165:1
29.51	7	2	1	19.5	193.62.193.165:1
29.72	7	1	1	19.5	193.62.193.165:1
29.93	7	0	0	23.9	-
30.13	7	1	1	24.6	193.62.193.80:1
30.34	7	1	1	25.0	193.62.193.80:1
30.55	10	1	1	27.3	193.62.193.165:1
30.76	10	1	1	27.3	193.62.193.165:1
30.97	10	1	1	27.3	193.62.193.165:1
31.17	10	1	1	27.3	193.62.193.165:1
31.38	10	1	1	27.3	193.62.193.165:1
31.59	10	2	1	27.3	193.62.193.165:1
31.80	10	1	1	27.3	193.62.193.165:1
32.01	10	1	1	27.3	193.62.193.165:1
32.21	7	1	1	19.6	193.62.193.165:1
32.42	7	1	1	19.6	193.62.193.165:1
32.63	7	1	1	19.6	193.62.193.165:1
32.84	7	1	1	19.6	193.62.193.165:1
33.05	7	1	1	19.6	193.62.193.165:1
33.26	7	2	1	19.6	193.62.193.165:1
33.46	7	1	1	19.6	193.62.193.165:1
33.67	7	0	0	23.9	-
33.88	7	1	1	24.6	193.62.193.80:1
34.09	7	1	1	25.1	193.62.193.80:1
34.29	10	1	1	27.3	193.62.193.165:1
34.50	10	1	1	27.3	193.62.193.165:1
34.71	10	1	1	27.3	193.62.193.165:1
34.92	10	1	1	27.3	193.62.193.165:1
35.13	10	1	1	27.3	193.62.193.165:1
