t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	21.0	-
0.20	4	0	0	98.4	-
0.41	5	0	0	132.9	-
0.62	5	0	0	133.0	-
0.82	5	1	1	136.9	193.62.193.80:1
1.03	6	0	0	141.0	-
1.24	6	1	1	141.0	193.62.193.165:1
1.45	6	1	1	141.0	193.62.193.165:1
1.65	6	1	1	141.0	193.62.193.165:1
1.86	6	1	1	141.0	193.62.193.165:1
2.07	6	1	1	141.0	193.62.193.165:1
2.27	6	1	1	141.0	193.62.193.165:1
2.48	6	1	1	141.0	193.62.193.165:1
2.69	6	2	1	141.0	193.62.193.165:1
2.90	6	2	1	141.0	193.62.193.165:1
3.10	5	0	0	135.1	-
3.31	5	1	1	139.1	193.62.193.80:1
3.52	6	0	0	141.2	-
3.73	6	1	1	141.2	193.62.193.165:1
3.93	6	1	1	141.2	193.62.193.165:1
4.14	6	1	1	141.2	193.62.193.165:1
4.35	6	1	1	141.2	193.62.193.165:1
4.55	6	1	1	141.2	193.62.193.165:1
4.76	6	1	1	141.2	193.62.193.165:1
4.97	6	1	1	141.2	193.62.193.165:1
5.18	6	6	5	141.2	193.62.193.165:5
5.38	6	6	5	141.2	193.62.193.165:5
5.59	6	6	5	141.2	193.62.193.165:5
5.80	6	6	5	141.2	193.62.193.165:5
6.00	6	6	5	141.2	193.62.193.165:5
6.21	6	6	5	141.2	193.62.193.165:5
6.42	6	6	5	141.2	193.62.193.165:5
6.62	6	10	5	141.8	193.62.193.165:5
6.83	6	10	5	142.1	193.62.193.165:5
7.04	6	10	5	142.4	193.62.193.165:5
7.24	6	10	5	142.4	193.62.193.165:5
7.45	6	10	5	143.1	193.62.193.165:5
7.66	6	10	5	143.6	193.62.193.165:5
7.87	6	10	5	144.1	193.62.193.165:5
8.07	6	10	5	143.2	193.62.193.165:5
8.28	6	8	4	144.9	193.62.193.165:4
8.49	6	7	4	144.9	193.62.193.165:4
8.69	6	8	5	143.2	193.62.193.165:5
8.90	6	8	5	143.5	193.62.193.165:5
9.11	6	7	4	144.0	193.62.193.165:4
9.32	6	4	2	144.1	193.62.193.165:2
9.52	6	4	2	143.7	193.62.193.165:2
9.73	6	3	2	143.7	193.62.193.165:2
9.94	6	3	2	143.7	193.62.193.165:2
10.14	6	1	1	143.7	193.62.193.165:1
10.35	6	1	1	143.7	193.62.193.165:1
10.56	4	0	0	124.4	-
10.76	4	0	0	124.4	-
10.96	5	0	0	125.9	-
11.17	5	0	0	125.9	-
11.37	5	0	0	125.9	-
11.57	5	0	0	125.9	-
11.78	5	0	0	125.9	-
11.98	5	0	0	125.9	-
12.18	5	0	0	125.9	-
12.39	5	0	0	125.9	-
12.59	5	0	0	125.9	-
12.79	5	0	0	125.9	-
13.00	5	0	0	125.9	-
13.20	5	0	0	125.9	-
13.40	5	0	0	125.9	-
13.61	5	0	0	125.9	-
13.81	5	0	0	125.9	-
14.01	5	0	0	125.9	-
14.22	5	1	1	139.1	193.62.193.80:1
14.42	5	1	1	139.4	193.62.193.80:1
14.63	6	1	1	141.3	193.62.193.165:1
14.84	6	1	1	141.3	193.62.193.165:1
15.04	6	1	1	141.3	193.62.193.165:1
15.25	6	1	1	141.3	193.62.193.165:1
15.46	6	1	1	141.3	193.62.193.165:1
15.67	6	1	1	141.3	193.62.193.165:1
15.87	6	1	1	141.3	193.62.193.165:1
16.08	6	2	1	141.3	193.62.193.165:1
16.29	6	2	1	141.3	193.62.193.165:1
16.49	6	1	1	141.3	193.62.193.165:1
16.70	5	1	1	138.9	193.62.193.80:1
16.91	5	1	1	139.3	193.62.193.80:1
17.11	6	1	1	141.2	193.62.193.165:1
17.32	6	1	1	141.2	193.62.193.165:1
17.53	6	1	1	141.2	193.62.193.165:1
17.74	6	1	1	141.2	193.62.193.165:1
17.94	6	1	1	141.2	193.62.193.165:1
18.15	6	1	1	141.2	193.62.193.165:1
18.36	6	1	1	141.2	193.62.193.165:1
18.57	6	2	1	141.2	193.62.193.165:1
18.78	6	2	1	141.2	193.62.193.165:1
18.98	6	1	1	141.2	193.62.193.165:1
19.19	5	1	1	139.0	193.62.193.80:1
19.40	5	1	1	139.4	193.62.193.80:1
19.60	6	0	0	141.2	-
19.81	6	1	1	141.2	193.62.193.165:1
20.02	6	1	1	141.2	193.62.193.165:1
20.22	6	1	1	141.2	193.62.193.165:1
20.43	6	1	1	141.2	193.62.193.165:1
20.64	6	1	1	141.2	193.62.193.165:1
20.84	6	1	1	141.2	193.62.193.165:1
21.05	6	1	1	141.2	193.62.193.165:1
21.26	6	2	1	141.2	193.62.193.165:1
21.47	6	1	1	141.2	193.62.193.165:1
21.68	5	0	0	135.1	-
21.88	5	1	1	139.0	193.62.193.80:1
22.09	6	0	0	141.3	-
22.30	6	1	1	141.3	193.62.193.165:1
22.50	6	1	1	141.3	193.62.193.165:1
22.71	6	1	1	141.3	193.62.193.165:1
22.92	6	1	1	141.3	193.62.193.165:1
23.12	6	1	1	141.3	193.62.193.165:1
23.33	6	1	1	141.3	193.62.193.165:1
23.54	6	1	1	141.3	193.62.193.165:1
23.75	6	2	1	141.3	193.62.193.165:1
23.96	6	2	1	141.3	193.62.193.165:1
24.16	5	0	0	135.2	-
24.37	5	1	1	138.8	193.62.193.80:1
24.58	6	0	0	141.3	-
24.78	6	1	1	141.3	193.62.193.165:1
24.99	6	1	1	141.3	193.62.193.165:1
25.20	6	1	1	141.3	193.62.193.165:1
25.41	6	1	1	141.3	193.62.193.165:1
25.62	6	1	1	141.3	193.62.193.165:1
25.82	6	1	1	141.3	193.62.193.165:1
26.03	6	1	1	141.3	193.62.193.165:1
26.24	6	2	1	141.3	193.62.193.165:1
26.45	6	2	1	141.3	193.62.193.165:1
26.65	5	0	0	135.0	-
26.86	5	1	1	138.9	193.62.193.80:1
27.07	5	1	1	139.3	193.62.193.80:1
27.27	6	1	1	141.2	193.62.193.165:1
27.48	6	1	1	141.2	193.62.193.165:1
27.69	6	1	1	141.2	193.62.193.165:1
27.90	6	1	1	141.2	193.62.193.165:1
28.10	6	1	1	141.2	193.62.193.165:1
28.31	6	1	1	141.2	193.62.193.165:1
28.52	6	1	1	141.2	193.62.193.165:1
28.73	6	2	1	141.2	193.62.193.165:1
28.93	6	2	1	141.2	193.62.193.165:1
29.14	6	2	1	141.2	193.62.193.165:1
29.35	6	2	1	141.2	193.62.193.165:1
29.55	6	2	1	141.8	193.62.193.165:1
29.76	6	2	1	142.4	193.62.193.165:1
29.97	5	0	0	125.9	-
30.17	5	0	0	135.2	-
30.38	5	1	1	138.9	193.62.193.80:1
30.59	5	1	1	139.3	193.62.193.80:1
30.80	6	1	1	141.3	193.62.193.165:1
31.00	6	1	1	141.3	193.62.193.165:1
31.21	6	1	1	141.3	193.62.193.165:1
31.42	6	1	1	141.3	193.62.193.165:1
31.63	6	1	1	141.3	193.62.193.165:1
31.83	6	1	1	141.3	193.62.193.165:1
32.04	6	1	1	141.3	193.62.193.165:1
32.25	6	2	1	141.3	193.62.193.165:1
32.46	6	2	1	141.3	193.62.193.165:1
32.66	6	1	1	141.3	193.62.193.165:1
32.87	5	1	1	139.0	193.62.193.80:1
33.08	5	1	1	139.3	193.62.193.80:1
33.28	6	1	1	141.2	193.62.193.165:1
33.49	6	1	1	141.2	193.62.193.165:1
33.70	6	1	1	141.2	193.62.193.165:1
33.91	6	1	1	141.2	193.62.193.165:1
34.11	6	1	1	141.2	193.62.193.165:1
34.32	6	1	1	141.2	193.62.193.165:1
34.53	6	1	1	141.2	193.62.193.165:1
34.73	6	2	1	141.2	193.62.193.165:1
34.94	6	2	1	141.2	193.62.193.165:1
35.15	6	1	1	141.2	193.62.193.165:1
35.35	5	1	1	139.2	193.62.193.80:1
35.56	5	1	1	139.4	193.62.193.80:1
35.77	6	0	0	141.2	-
35.98	6	1	1	141.2	193.62.193.165:1
36.18	6	1	1	141.2	193.62.193.165:1
36.39	6	1	1	141.2	193.62.193.165:1
36.60	6	1	1	141.2	193.62.193.165:1
36.80	6	1	1	141.2	193.62.193.165:1
37.01	6	1	1	141.2	193.62.193.165:1
37.22	6	1	1	141.2	193.62.193.165:1
37.42	6	2	1	141.2	193.62.193.165:1
37.63	6	1	1	141.2	193.62.193.165:1
37.84	5	0	0	135.2	-
38.05	5	1	1	139.0	193.62.193.80:1
38.26	6	0	0	141.1	-
38.46	6	1	1	141.1	193.62.193.165:1
38.67	6	1	1	141.1	193.62.193.165:1
38.88	6	1	1	141.1	193.62.193.165:1
39.08	6	1	1	141.1	193.62.193.165:1
39.29	6	1	1	141.1	193.62.193.165:1
39.50	6	1	1	141.1	193.62.193.165:1
39.70	6	1	1	141.1	193.62.193.165:1
39.91	6	2	1	141.1	193.62.193.165:1
40.12	6	2	1	141.1	193.62.193.165:1
40.32	5	0	0	135.1	-
40.53	5	1	1	139.1	193.62.193.80:1
40.74	5	1	1	139.4	193.62.193.80:1
