t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	26.3	-
0.20	5	0	0	86.5	-
0.41	5	0	0	134.0	-
0.62	5	1	1	134.0	193.62.193.80:1
0.83	5	1	1	135.5	193.62.193.80:1
1.03	6	1	1	141.1	193.62.193.165:1
1.24	6	1	1	141.1	193.62.193.165:1
1.45	6	1	1	141.1	193.62.193.165:1
1.66	6	1	1	141.1	193.62.193.165:1
1.87	6	1	1	141.1	193.62.193.165:1
2.08	6	1	1	141.1	193.62.193.165:1
2.29	5	0	0	21.2	-
2.49	5	0	0	86.6	-
2.70	5	0	0	134.3	-
2.91	5	1	1	134.3	193.62.193.80:1
3.12	5	1	1	135.7	193.62.193.80:1
3.32	6	1	1	141.2	193.62.193.165:1
3.53	6	1	1	141.2	193.62.193.165:1
3.74	6	1	1	141.2	193.62.193.165:1
3.95	6	1	1	141.2	193.62.193.165:1
4.15	6	1	1	141.2	193.62.193.165:1
4.36	6	2	1	141.2	193.62.193.165:1
4.57	6	0	0	136.0	-
4.78	5	0	0	40.6	-
4.98	5	0	0	107.2	-
5.19	5	0	0	134.8	-
5.39	5	1	1	136.3	193.62.193.80:1
5.60	5	0	0	136.9	-
5.80	6	1	1	142.1	193.62.193.165:1
6.01	6	1	1	142.1	193.62.193.165:1
6.22	6	1	1	142.1	193.62.193.165:1
6.43	6	1	1	142.1	193.62.193.165:1
6.64	6	1	1	142.1	193.62.193.165:1
6.84	6	2	1	142.1	193.62.193.165:1
7.05	5	0	0	137.1	-
