t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.21	7	1	1	23.4	193.62.193.80:1
0.41	7	1	1	24.2	193.62.193.80:1
0.62	7	1	1	24.2	193.62.193.80:1
0.83	10	1	1	27.1	193.62.193.165:1
1.04	10	1	1	27.1	193.62.193.165:1
1.25	10	1	1	27.1	193.62.193.165:1
1.45	10	1	1	27.1	193.62.193.165:1
1.66	10	1	1	27.1	193.62.193.165:1
1.87	10	2	1	27.1	193.62.193.165:1
2.08	10	2	1	27.1	193.62.193.165:1
2.29	10	2	1	27.1	193.62.193.165:1
2.50	10	1	1	27.1	193.62.193.165:1
2.71	7	0	0	18.6	-
2.92	7	1	1	18.6	193.62.193.165:1
3.12	7	1	1	18.6	193.62.193.165:1
3.33	7	1	1	18.6	193.62.193.165:1
3.54	7	1	1	18.6	193.62.193.165:1
3.75	7	2	1	18.6	193.62.193.165:1
3.96	7	0	0	23.6	-
4.16	7	1	1	24.2	193.62.193.80:1
4.37	7	1	1	24.2	193.62.193.80:1
4.58	10	0	0	27.1	-
4.79	10	1	1	27.1	193.62.193.165:1
4.99	10	1	1	27.1	193.62.193.165:1
5.20	10	1	1	27.1	193.62.193.165:1
5.41	10	1	1	27.1	193.62.193.165:1
5.61	10	2	1	27.1	193.62.193.165:1
5.82	10	1	1	27.1	193.62.193.165:1
6.03	10	2	1	27.1	193.62.193.165:1
6.24	10	2	1	27.1	193.62.193.165:1
6.44	7	0	0	18.4	-
6.65	7	1	1	18.6	193.62.193.165:1
6.86	7	1	1	18.6	193.62.193.165:1
7.07	7	1	1	18.6	193.62.193.165:1
7.27	7	1	1	18.6	193.62.193.165:1
7.48	7	1	1	18.6	193.62.193.165:1
7.69	7	2	1	18.7	193.62.193.165:1
7.90	7	0	0	23.5	-
8.10	7	1	1	24.4	193.62.193.80:1
8.31	7	1	1	24.4	193.62.193.80:1
8.52	10	1	1	26.9	193.62.193.165:1
8.72	10	1	1	26.9	193.62.193.165:1
8.93	10	1	1	26.9	193.62.193.165:1
9.14	10	1	1	26.9	193.62.193.165:1
9.35	10	1	1	26.9	193.62.193.165:1
9.55	10	2	1	26.9	193.62.193.165:1
9.76	10	2	1	26.9	193.62.193.165:1
9.97	6	0	0	14.1	-
10.17	7	1	1	18.7	193.62.193.165:1
10.38	7	1	1	18.7	193.62.193.165:1
10.59	7	1	1	18.7	193.62.193.165:1
10.80	7	1	1	18.7	193.62.193.165:1
11.00	7	1	1	18.7	193.62.193.165:1
11.21	7	2	1	18.7	193.62.193.165:1
