t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	9.2	-
0.20	7	0	0	23.3	-
0.41	7	1	1	24.0	193.62.193.80:1
0.62	7	1	1	24.6	193.62.193.80:1
0.83	10	1	1	26.7	193.62.193.165:1
1.03	10	1	1	26.7	193.62.193.165:1
1.24	10	1	1	26.7	193.62.193.165:1
1.45	10	1	1	26.7	193.62.193.165:1
1.66	10	1	1	26.7	193.62.193.165:1
1.86	10	2	1	26.7	193.62.193.165:1
2.07	10	1	1	26.7	193.62.193.165:1
2.28	10	2	1	26.7	193.62.193.165:1
2.48	10	2	1	26.7	193.62.193.165:1
2.69	7	0	0	19.2	-
2.90	7	1	1	19.2	193.62.193.165:1
3.11	7	1	1	19.2	193.62.193.165:1
3.32	7	1	1	19.2	193.62.193.165:1
3.52	7	1	1	19.2	193.62.193.165:1
3.73	7	2	1	19.2	193.62.193.165:1
3.94	6	0	0	14.6	-
4.15	7	1	1	24.3	193.62.193.80:1
4.35	7	1	1	24.3	193.62.193.80:1
4.56	10	0	0	26.9	-
4.77	10	1	1	26.9	193.62.193.165:1
4.98	10	1	1	26.9	193.62.193.165:1
5.19	10	1	1	26.9	193.62.193.165:1
5.40	10	1	1	26.9	193.62.193.165:1
5.60	10	1	1	26.9	193.62.193.165:1
5.81	10	2	1	26.9	193.62.193.165:1
6.02	10	2	1	26.9	193.62.193.165:1
6.23	7	0	0	19.1	-
6.44	7	1	1	19.1	193.62.193.165:1
6.65	7	1	1	19.1	193.62.193.165:1
6.86	7	1	1	19.1	193.62.193.165:1
7.07	7	1	1	19.1	193.62.193.165:1
7.27	7	1	1	19.1	193.62.193.165:1
7.48	7	2	1	19.1	193.62.193.165:1
7.69	7	1	1	19.1	193.62.193.165:1
7.90	7	0	0	23.6	-
8.11	7	1	1	24.2	193.62.193.80:1
8.32	7	1	1	24.7	193.62.193.80:1
8.52	10	0	0	26.9	-
8.73	10	1	1	26.9	193.62.193.165:1
8.94	10	1	1	26.9	193.62.193.165:1
9.15	10	1	1	26.9	193.62.193.165:1
9.36	10	1	1	26.9	193.62.193.165:1
9.56	10	2	1	26.9	193.62.193.165:1
9.77	10	1	1	26.9	193.62.193.165:1
9.98	10	1	1	26.9	193.62.193.165:1
10.19	7	1	1	19.3	193.62.193.165:1
10.40	7	1	1	19.3	193.62.193.165:1
10.60	7	1	1	19.3	193.62.193.165:1
10.81	7	1	1	19.3	193.62.193.165:1
11.02	7	1	1	19.3	193.62.193.165:1
11.22	7	2	1	19.3	193.62.193.165:1
11.43	8	0	0	20.4	-
