t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	22.1	-
0.20	4	0	0	95.5	-
0.41	5	0	0	133.5	-
0.62	5	1	1	137.2	193.62.193.80:1
0.82	5	1	1	137.7	193.62.193.80:1
1.03	6	1	1	141.5	193.62.193.165:1
1.24	6	1	1	141.5	193.62.193.165:1
1.44	6	1	1	141.5	193.62.193.165:1
1.65	6	1	1	141.5	193.62.193.165:1
1.86	6	1	1	141.5	193.62.193.165:1
2.07	6	1	1	141.5	193.62.193.165:1
2.28	6	1	1	141.5	193.62.193.165:1
2.48	6	2	1	141.5	193.62.193.165:1
2.69	6	1	1	141.5	193.62.193.165:1
2.90	5	1	1	139.3	193.62.193.80:1
3.11	5	1	1	139.7	193.62.193.80:1
3.32	6	1	1	141.4	193.62.193.165:1
3.52	6	1	1	141.4	193.62.193.165:1
3.73	6	1	1	141.4	193.62.193.165:1
3.94	6	1	1	141.4	193.62.193.165:1
4.15	6	1	1	141.4	193.62.193.165:1
4.35	6	1	1	141.4	193.62.193.165:1
4.56	6	1	1	141.4	193.62.193.165:1
4.77	6	2	1	141.4	193.62.193.165:1
4.98	6	2	1	141.4	193.62.193.165:1
5.18	5	0	0	135.4	-
5.39	5	1	1	139.6	193.62.193.80:1
5.60	5	1	1	139.8	193.62.193.80:1
5.80	6	1	1	141.5	193.62.193.165:1
6.01	6	1	1	141.5	193.62.193.165:1
6.22	6	1	1	141.5	193.62.193.165:1
6.43	6	1	1	141.5	193.62.193.165:1
6.63	6	1	1	141.5	193.62.193.165:1
6.84	6	1	1	141.5	193.62.193.165:1
7.05	6	1	1	141.5	193.62.193.165:1
7.26	6	2	1	141.5	193.62.193.165:1
7.46	6	2	1	141.5	193.62.193.165:1
7.67	4	0	0	124.7	-
