arm	rep	line
adaptiseq-adaptive-j20	rep1	22:14:47.641 adaptiseq.batch: adaptive probe: workers=1 throughput=224.0Mbps score=-222
adaptiseq-adaptive-j20	rep1	22:14:52.643 adaptiseq.batch: adaptive probe: workers=2 throughput=252.2Mbps score=-247
adaptiseq-adaptive-j20	rep1	22:14:57.644 adaptiseq.batch: adaptive probe: workers=3 throughput=225.8Mbps score=-219
adaptiseq-adaptive-j20	rep1	22:15:02.645 adaptiseq.batch: adaptive probe: workers=2 throughput=187.8Mbps score=-184
adaptiseq-adaptive-j20	rep1	22:15:07.647 adaptiseq.batch: adaptive probe: workers=3 throughput=128.6Mbps score=-125
adaptiseq-adaptive-j20	rep1	22:15:12.649 adaptiseq.batch: adaptive probe: workers=2 throughput=128.6Mbps score=-126
adaptiseq-adaptive-j20	rep1	22:15:17.650 adaptiseq.batch: adaptive probe: workers=1 throughput=101.8Mbps score=-101
adaptiseq-adaptive-j20	rep1	22:15:22.651 adaptiseq.batch: adaptive probe: workers=2 throughput=68.3Mbps score=-67
adaptiseq-adaptive-j20	rep1	22:15:27.653 adaptiseq.batch: adaptive probe: workers=1 throughput=52.5Mbps score=-52
adaptiseq-adaptive-j20	rep1	22:15:32.654 adaptiseq.batch: adaptive probe: workers=2 throughput=46.2Mbps score=-45
adaptiseq-adaptive-j20	rep1	22:15:37.656 adaptiseq.batch: adaptive probe: workers=1 throughput=59.1Mbps score=-59
adaptiseq-adaptive-j20	rep1	22:15:42.658 adaptiseq.batch: adaptive probe: workers=1 throughput=58.6Mbps score=-58
adaptiseq-adaptive-j20	rep1	22:15:47.659 adaptiseq.batch: adaptive probe: workers=1 throughput=53.0Mbps score=-53
adaptiseq-adaptive-j20	rep1	22:15:52.660 adaptiseq.batch: adaptive probe: workers=1 throughput=66.7Mbps score=-66
adaptiseq-adaptive-j20	rep1	22:15:57.662 adaptiseq.batch: adaptive probe: workers=2 throughput=71.8Mbps score=-70
adaptiseq-adaptive-j20	rep1	22:16:02.664 adaptiseq.batch: adaptive probe: workers=3 throughput=51.9Mbps score=-50
adaptiseq-adaptive-j20	rep1	22:16:07.666 adaptiseq.batch: adaptive probe: workers=2 throughput=51.2Mbps score=-50
adaptiseq-adaptive-j20	rep1	22:16:12.667 adaptiseq.batch: adaptive probe: workers=2 throughput=63.7Mbps score=-62
adaptiseq-adaptive-j20	rep1	22:16:17.668 adaptiseq.batch: adaptive probe: workers=3 throughput=65.3Mbps score=-63
adaptiseq-adaptive-j20	rep1	22:16:22.669 adaptiseq.batch: adaptive probe: workers=4 throughput=151.8Mbps score=-146
adaptiseq-adaptive-j20	rep1	22:16:27.670 adaptiseq.batch: adaptive probe: workers=4 throughput=166.9Mbps score=-160
adaptiseq-adaptive-j20	rep1	22:16:32.672 adaptiseq.batch: adaptive probe: workers=5 throughput=161.4Mbps score=-154
adaptiseq-adaptive-j20	rep1	22:16:37.675 adaptiseq.batch: adaptive probe: workers=4 throughput=142.9Mbps score=-137
adaptiseq-adaptive-j20	rep1	22:16:42.676 adaptiseq.batch: adaptive probe: workers=5 throughput=125.3Mbps score=-119
adaptiseq-adaptive-j20	rep1	22:16:47.677 adaptiseq.batch: adaptive probe: workers=4 throughput=146.8Mbps score=-141
adaptiseq-adaptive-j20	rep1	22:16:52.678 adaptiseq.batch: adaptive probe: workers=3 throughput=126.6Mbps score=-123
adaptiseq-adaptive-j20	rep1	22:16:57.680 adaptiseq.batch: adaptive probe: workers=4 throughput=128.6Mbps score=-124
adaptiseq-adaptive-j20	rep1	22:17:02.681 adaptiseq.batch: adaptive probe: workers=5 throughput=86.4Mbps score=-82
adaptiseq-adaptive-j20	rep1	22:17:07.683 adaptiseq.batch: adaptive probe: workers=3 throughput=79.9Mbps score=-78
adaptiseq-adaptive-j20	rep1	22:17:12.686 adaptiseq.batch: adaptive probe: workers=4 throughput=131.4Mbps score=-126
adaptiseq-adaptive-j20	rep1	22:17:17.688 adaptiseq.batch: adaptive probe: workers=4 throughput=116.3Mbps score=-112
adaptiseq-adaptive-j20	rep1	22:17:22.689 adaptiseq.batch: adaptive probe: workers=3 throughput=100.5Mbps score=-98
adaptiseq-adaptive-j20	rep1	22:17:27.690 adaptiseq.batch: adaptive probe: workers=4 throughput=77.2Mbps score=-74
adaptiseq-adaptive-j20	rep1	22:17:32.693 adaptiseq.batch: adaptive probe: workers=3 throughput=66.9Mbps score=-65
adaptiseq-adaptive-j20	rep1	22:17:37.695 adaptiseq.batch: adaptive probe: workers=4 throughput=83.6Mbps score=-80
adaptiseq-adaptive-j20	rep1	22:17:42.697 adaptiseq.batch: adaptive probe: workers=5 throughput=142.9Mbps score=-136
adaptiseq-adaptive-j20	rep1	22:17:47.697 adaptiseq.batch: adaptive probe: workers=9 throughput=454.1Mbps score=-415
adaptiseq-adaptive-j20	rep1	22:17:52.698 adaptiseq.batch: adaptive probe: workers=14 throughput=488.3Mbps score=-425
adaptiseq-adaptive-j20	rep1	22:17:57.701 adaptiseq.batch: adaptive probe: workers=8 throughput=684.6Mbps score=-632
adaptiseq-adaptive-j20	rep1	22:18:02.702 adaptiseq.batch: adaptive probe: workers=5 throughput=253.7Mbps score=-241
adaptiseq-adaptive-j20	rep1	22:18:07.704 adaptiseq.batch: adaptive probe: workers=4 throughput=133.2Mbps score=-128
adaptiseq-adaptive-j20	rep1	22:18:12.706 adaptiseq.batch: adaptive probe: workers=4 throughput=83.7Mbps score=-80
adaptiseq-adaptive-j20	rep1	22:18:17.707 adaptiseq.batch: adaptive probe: workers=4 throughput=76.0Mbps score=-73
adaptiseq-adaptive-j20	rep1	22:18:22.709 adaptiseq.batch: adaptive probe: workers=3 throughput=58.2Mbps score=-56
adaptiseq-adaptive-j20	rep1	22:18:27.710 adaptiseq.batch: adaptive probe: workers=3 throughput=46.6Mbps score=-45
adaptiseq-adaptive-j20	rep1	22:18:32.711 adaptiseq.batch: adaptive probe: workers=3 throughput=40.0Mbps score=-39
adaptiseq-adaptive-j20	rep1	22:18:37.713 adaptiseq.batch: adaptive probe: workers=3 throughput=39.3Mbps score=-38
adaptiseq-adaptive-j20	rep1	22:18:42.714 adaptiseq.batch: adaptive probe: workers=3 throughput=30.9Mbps score=-30
adaptiseq-adaptive-j20	rep1	22:18:47.715 adaptiseq.batch: adaptive probe: workers=3 throughput=47.4Mbps score=-46
adaptiseq-adaptive-j20	rep1	22:18:52.718 adaptiseq.batch: adaptive probe: workers=3 throughput=78.9Mbps score=-77
adaptiseq-adaptive-j20	rep1	22:18:57.719 adaptiseq.batch: adaptive probe: workers=3 throughput=65.6Mbps score=-64
adaptiseq-adaptive-j20	rep1	22:19:02.721 adaptiseq.batch: adaptive probe: workers=3 throughput=46.5Mbps score=-45
adaptiseq-adaptive-j20	rep1	22:19:07.723 adaptiseq.batch: adaptive probe: workers=3 throughput=51.0Mbps score=-50
adaptiseq-adaptive-j20	rep1	22:19:12.725 adaptiseq.batch: adaptive probe: workers=3 throughput=77.1Mbps score=-75
adaptiseq-adaptive-j20	rep1	22:19:17.726 adaptiseq.batch: adaptive probe: workers=1 throughput=80.4Mbps score=-80
adaptiseq-adaptive-j20	rep1	22:19:22.727 adaptiseq.batch: adaptive probe: workers=1 throughput=47.6Mbps score=-47
adaptiseq-adaptive-j20	rep1	22:19:27.728 adaptiseq.batch: adaptive probe: workers=1 throughput=7.3Mbps score=-7
adaptiseq-adaptive-j20	rep1	22:19:32.729 adaptiseq.batch: adaptive probe: workers=1 throughput=8.1Mbps score=-8
adaptiseq-adaptive-j20	rep1	22:19:37.730 adaptiseq.batch: adaptive probe: workers=1 throughput=6.8Mbps score=-7
adaptiseq-adaptive-j20	rep1	22:19:42.731 adaptiseq.batch: adaptive probe: workers=1 throughput=9.7Mbps score=-10
adaptiseq-adaptive-j20	rep1	22:19:47.732 adaptiseq.batch: adaptive probe: workers=1 throughput=9.3Mbps score=-9
adaptiseq-adaptive-j20	rep1	22:19:52.735 adaptiseq.batch: adaptive probe: workers=1 throughput=11.0Mbps score=-11
adaptiseq-adaptive-j20	rep1	22:19:57.738 adaptiseq.batch: adaptive probe: workers=1 throughput=11.5Mbps score=-11
adaptiseq-adaptive-j20	rep1	22:20:02.740 adaptiseq.batch: adaptive probe: workers=1 throughput=13.1Mbps score=-13
adaptiseq-adaptive-j20	rep1	[32mNote[0m: adaptive worker summary: 64 probe(s); best 685 Mbps at 8 worker(s); last 13 Mbps at 1 worker(s); recent: 3w@51Mbps, 3w@77Mbps, 1w@80Mbps, 1w@48Mbps, 1w@7Mbps, 1w@8Mbps, 1w@7Mbps, 1w@10Mbps, 1w@9Mbps, 1w@11Mbps, 1w@11Mbps, 1w@13Mbps
adaptiseq-adaptive-j40	rep1	22:20:56.636 adaptiseq.batch: adaptive probe: workers=1 throughput=279.2Mbps score=-276
adaptiseq-adaptive-j40	rep1	22:21:01.637 adaptiseq.batch: adaptive probe: workers=2 throughput=238.7Mbps score=-234
adaptiseq-adaptive-j40	rep1	22:21:06.638 adaptiseq.batch: adaptive probe: workers=1 throughput=147.5Mbps score=-146
adaptiseq-adaptive-j40	rep1	22:21:11.640 adaptiseq.batch: adaptive probe: workers=2 throughput=48.2Mbps score=-47
adaptiseq-adaptive-j40	rep1	22:21:16.642 adaptiseq.batch: adaptive probe: workers=1 throughput=37.0Mbps score=-37
adaptiseq-adaptive-j40	rep1	22:21:21.643 adaptiseq.batch: adaptive probe: workers=2 throughput=40.4Mbps score=-40
adaptiseq-adaptive-j40	rep1	22:21:26.644 adaptiseq.batch: adaptive probe: workers=3 throughput=235.4Mbps score=-229
adaptiseq-adaptive-j40	rep1	22:21:31.645 adaptiseq.batch: adaptive probe: workers=8 throughput=755.4Mbps score=-698
adaptiseq-adaptive-j40	rep1	22:21:36.646 adaptiseq.batch: adaptive probe: workers=11 throughput=956.9Mbps score=-858
adaptiseq-adaptive-j40	rep1	22:21:41.647 adaptiseq.batch: adaptive probe: workers=12 throughput=859.1Mbps score=-762
adaptiseq-adaptive-j40	rep1	22:21:46.649 adaptiseq.batch: adaptive probe: workers=11 throughput=539.5Mbps score=-484
adaptiseq-adaptive-j40	rep1	22:21:51.650 adaptiseq.batch: adaptive probe: workers=15 throughput=219.3Mbps score=-189
adaptiseq-adaptive-j40	rep1	22:21:56.651 adaptiseq.batch: adaptive probe: workers=13 throughput=473.9Mbps score=-416
adaptiseq-adaptive-j40	rep1	22:22:01.652 adaptiseq.batch: adaptive probe: workers=8 throughput=331.1Mbps score=-306
adaptiseq-adaptive-j40	rep1	22:22:06.653 adaptiseq.batch: adaptive probe: workers=9 throughput=231.7Mbps score=-212
adaptiseq-adaptive-j40	rep1	22:22:11.654 adaptiseq.batch: adaptive probe: workers=6 throughput=130.1Mbps score=-123
adaptiseq-adaptive-j40	rep1	22:22:16.656 adaptiseq.batch: adaptive probe: workers=7 throughput=132.1Mbps score=-123
adaptiseq-adaptive-j40	rep1	22:22:21.657 adaptiseq.batch: adaptive probe: workers=7 throughput=128.7Mbps score=-120
adaptiseq-adaptive-j40	rep1	22:22:26.658 adaptiseq.batch: adaptive probe: workers=6 throughput=120.2Mbps score=-113
adaptiseq-adaptive-j40	rep1	22:22:31.659 adaptiseq.batch: adaptive probe: workers=7 throughput=135.0Mbps score=-126
adaptiseq-adaptive-j40	rep1	22:22:36.660 adaptiseq.batch: adaptive probe: workers=8 throughput=89.6Mbps score=-83
adaptiseq-adaptive-j40	rep1	22:22:41.661 adaptiseq.batch: adaptive probe: workers=5 throughput=79.9Mbps score=-76
adaptiseq-adaptive-j40	rep1	22:22:46.662 adaptiseq.batch: adaptive probe: workers=6 throughput=90.9Mbps score=-86
adaptiseq-adaptive-j40	rep1	22:22:51.663 adaptiseq.batch: adaptive probe: workers=5 throughput=152.6Mbps score=-145
adaptiseq-adaptive-j40	rep1	22:22:56.665 adaptiseq.batch: adaptive probe: workers=5 throughput=151.5Mbps score=-144
adaptiseq-adaptive-j40	rep1	22:23:01.667 adaptiseq.batch: adaptive probe: workers=3 throughput=197.2Mbps score=-191
adaptiseq-adaptive-j40	rep1	22:23:06.668 adaptiseq.batch: adaptive probe: workers=3 throughput=115.8Mbps score=-112
adaptiseq-adaptive-j40	rep1	22:23:11.669 adaptiseq.batch: adaptive probe: workers=3 throughput=83.6Mbps score=-81
adaptiseq-adaptive-j40	rep1	22:23:16.671 adaptiseq.batch: adaptive probe: workers=1 throughput=52.2Mbps score=-52
adaptiseq-adaptive-j40	rep1	[32mNote[0m: adaptive worker summary: 29 probe(s); best 957 Mbps at 11 worker(s); last 52 Mbps at 1 worker(s); recent: 7w@129Mbps, 6w@120Mbps, 7w@135Mbps, 8w@90Mbps, 5w@80Mbps, 6w@91Mbps, 5w@153Mbps, 5w@151Mbps, 3w@197Mbps, 3w@116Mbps, 3w@84Mbps, 1w@52Mbps
adaptiseq-adaptive-j20	rep2	00:03:21.960 adaptiseq.batch: adaptive probe: workers=1 throughput=281.4Mbps score=-279
adaptiseq-adaptive-j20	rep2	00:03:26.963 adaptiseq.batch: adaptive probe: workers=2 throughput=161.0Mbps score=-158
adaptiseq-adaptive-j20	rep2	00:03:31.964 adaptiseq.batch: adaptive probe: workers=1 throughput=140.0Mbps score=-139
adaptiseq-adaptive-j20	rep2	00:03:36.967 adaptiseq.batch: adaptive probe: workers=2 throughput=63.8Mbps score=-63
adaptiseq-adaptive-j20	rep2	00:03:41.969 adaptiseq.batch: adaptive probe: workers=1 throughput=40.9Mbps score=-41
adaptiseq-adaptive-j20	rep2	00:03:46.970 adaptiseq.batch: adaptive probe: workers=2 throughput=29.9Mbps score=-29
adaptiseq-adaptive-j20	rep2	00:03:51.973 adaptiseq.batch: adaptive probe: workers=1 throughput=25.0Mbps score=-25
adaptiseq-adaptive-j20	rep2	00:03:56.975 adaptiseq.batch: adaptive probe: workers=2 throughput=26.7Mbps score=-26
adaptiseq-adaptive-j20	rep2	00:04:01.976 adaptiseq.batch: adaptive probe: workers=3 throughput=83.0Mbps score=-81
adaptiseq-adaptive-j20	rep2	00:04:06.979 adaptiseq.batch: adaptive probe: workers=8 throughput=501.4Mbps score=-463
adaptiseq-adaptive-j20	rep2	00:04:11.979 adaptiseq.batch: adaptive probe: workers=8 throughput=556.3Mbps score=-514
adaptiseq-adaptive-j20	rep2	00:04:16.981 adaptiseq.batch: adaptive probe: workers=9 throughput=403.9Mbps score=-369
adaptiseq-adaptive-j20	rep2	00:04:21.982 adaptiseq.batch: adaptive probe: workers=6 throughput=353.2Mbps score=-333
adaptiseq-adaptive-j20	rep2	00:04:26.982 adaptiseq.batch: adaptive probe: workers=7 throughput=278.6Mbps score=-260
adaptiseq-adaptive-j20	rep2	00:04:31.984 adaptiseq.batch: adaptive probe: workers=5 throughput=154.6Mbps score=-147
adaptiseq-adaptive-j20	rep2	00:04:36.985 adaptiseq.batch: adaptive probe: workers=6 throughput=96.8Mbps score=-91
adaptiseq-adaptive-j20	rep2	00:04:41.987 adaptiseq.batch: adaptive probe: workers=4 throughput=85.8Mbps score=-82
adaptiseq-adaptive-j20	rep2	00:04:46.988 adaptiseq.batch: adaptive probe: workers=5 throughput=76.1Mbps score=-72
adaptiseq-adaptive-j20	rep2	00:04:51.990 adaptiseq.batch: adaptive probe: workers=4 throughput=85.3Mbps score=-82
adaptiseq-adaptive-j20	rep2	00:04:56.992 adaptiseq.batch: adaptive probe: workers=3 throughput=104.0Mbps score=-101
adaptiseq-adaptive-j20	rep2	00:05:01.993 adaptiseq.batch: adaptive probe: workers=2 throughput=72.4Mbps score=-71
adaptiseq-adaptive-j20	rep2	00:05:06.994 adaptiseq.batch: adaptive probe: workers=3 throughput=64.1Mbps score=-62
adaptiseq-adaptive-j20	rep2	00:05:11.995 adaptiseq.batch: adaptive probe: workers=2 throughput=65.1Mbps score=-64
adaptiseq-adaptive-j20	rep2	00:05:16.998 adaptiseq.batch: adaptive probe: workers=1 throughput=56.6Mbps score=-56
adaptiseq-adaptive-j20	rep2	00:05:21.999 adaptiseq.batch: adaptive probe: workers=2 throughput=60.8Mbps score=-60
adaptiseq-adaptive-j20	rep2	00:05:27.001 adaptiseq.batch: adaptive probe: workers=3 throughput=156.0Mbps score=-151
adaptiseq-adaptive-j20	rep2	00:05:32.003 adaptiseq.batch: adaptive probe: workers=8 throughput=407.8Mbps score=-377
adaptiseq-adaptive-j20	rep2	00:05:37.005 adaptiseq.batch: adaptive probe: workers=10 throughput=179.0Mbps score=-162
adaptiseq-adaptive-j20	rep2	00:05:42.006 adaptiseq.batch: adaptive probe: workers=7 throughput=157.0Mbps score=-146
adaptiseq-adaptive-j20	rep2	00:05:47.009 adaptiseq.batch: adaptive probe: workers=8 throughput=135.4Mbps score=-125
adaptiseq-adaptive-j20	rep2	00:05:52.010 adaptiseq.batch: adaptive probe: workers=7 throughput=110.7Mbps score=-103
adaptiseq-adaptive-j20	rep2	00:05:57.011 adaptiseq.batch: adaptive probe: workers=8 throughput=311.5Mbps score=-288
adaptiseq-adaptive-j20	rep2	00:06:02.012 adaptiseq.batch: adaptive probe: workers=9 throughput=281.9Mbps score=-258
adaptiseq-adaptive-j20	rep2	00:06:07.014 adaptiseq.batch: adaptive probe: workers=8 throughput=194.4Mbps score=-180
adaptiseq-adaptive-j20	rep2	00:06:12.015 adaptiseq.batch: adaptive probe: workers=8 throughput=147.6Mbps score=-136
adaptiseq-adaptive-j20	rep2	00:06:17.016 adaptiseq.batch: adaptive probe: workers=7 throughput=160.7Mbps score=-150
adaptiseq-adaptive-j20	rep2	00:06:22.017 adaptiseq.batch: adaptive probe: workers=6 throughput=108.5Mbps score=-102
adaptiseq-adaptive-j20	rep2	00:06:27.019 adaptiseq.batch: adaptive probe: workers=6 throughput=53.6Mbps score=-50
adaptiseq-adaptive-j20	rep2	00:06:32.020 adaptiseq.batch: adaptive probe: workers=6 throughput=48.5Mbps score=-46
adaptiseq-adaptive-j20	rep2	00:06:37.022 adaptiseq.batch: adaptive probe: workers=6 throughput=41.6Mbps score=-39
adaptiseq-adaptive-j20	rep2	00:06:42.024 adaptiseq.batch: adaptive probe: workers=6 throughput=39.0Mbps score=-37
adaptiseq-adaptive-j20	rep2	00:06:47.025 adaptiseq.batch: adaptive probe: workers=6 throughput=73.3Mbps score=-69
adaptiseq-adaptive-j20	rep2	00:06:52.026 adaptiseq.batch: adaptive probe: workers=5 throughput=48.7Mbps score=-46
adaptiseq-adaptive-j20	rep2	00:06:57.028 adaptiseq.batch: adaptive probe: workers=5 throughput=39.7Mbps score=-38
adaptiseq-adaptive-j20	rep2	00:07:02.032 adaptiseq.batch: adaptive probe: workers=4 throughput=48.9Mbps score=-47
adaptiseq-adaptive-j20	rep2	00:07:07.034 adaptiseq.batch: adaptive probe: workers=4 throughput=72.3Mbps score=-69
adaptiseq-adaptive-j20	rep2	00:07:12.036 adaptiseq.batch: adaptive probe: workers=4 throughput=63.7Mbps score=-61
adaptiseq-adaptive-j20	rep2	00:07:17.037 adaptiseq.batch: adaptive probe: workers=4 throughput=38.3Mbps score=-37
adaptiseq-adaptive-j20	rep2	00:07:22.039 adaptiseq.batch: adaptive probe: workers=4 throughput=78.7Mbps score=-76
adaptiseq-adaptive-j20	rep2	00:07:27.041 adaptiseq.batch: adaptive probe: workers=3 throughput=56.8Mbps score=-55
adaptiseq-adaptive-j20	rep2	00:07:32.042 adaptiseq.batch: adaptive probe: workers=2 throughput=58.7Mbps score=-58
adaptiseq-adaptive-j20	rep2	00:07:37.043 adaptiseq.batch: adaptive probe: workers=2 throughput=15.8Mbps score=-15
adaptiseq-adaptive-j20	rep2	00:07:42.045 adaptiseq.batch: adaptive probe: workers=2 throughput=17.4Mbps score=-17
adaptiseq-adaptive-j20	rep2	00:07:47.047 adaptiseq.batch: adaptive probe: workers=2 throughput=18.4Mbps score=-18
adaptiseq-adaptive-j20	rep2	00:07:52.049 adaptiseq.batch: adaptive probe: workers=1 throughput=43.3Mbps score=-43
adaptiseq-adaptive-j20	rep2	00:07:57.050 adaptiseq.batch: adaptive probe: workers=1 throughput=7.5Mbps score=-7
adaptiseq-adaptive-j20	rep2	00:08:02.051 adaptiseq.batch: adaptive probe: workers=1 throughput=24.2Mbps score=-24
adaptiseq-adaptive-j20	rep2	00:08:07.053 adaptiseq.batch: adaptive probe: workers=1 throughput=28.4Mbps score=-28
adaptiseq-adaptive-j20	rep2	00:08:12.055 adaptiseq.batch: adaptive probe: workers=1 throughput=17.1Mbps score=-17
adaptiseq-adaptive-j20	rep2	[32mNote[0m: adaptive worker summary: 59 probe(s); best 556 Mbps at 8 worker(s); last 17 Mbps at 1 worker(s); recent: 4w@38Mbps, 4w@79Mbps, 3w@57Mbps, 2w@59Mbps, 2w@16Mbps, 2w@17Mbps, 2w@18Mbps, 1w@43Mbps, 1w@8Mbps, 1w@24Mbps, 1w@28Mbps, 1w@17Mbps
adaptiseq-adaptive-j40	rep2	00:39:50.067 adaptiseq.batch: adaptive probe: workers=1 throughput=162.4Mbps score=-161
adaptiseq-adaptive-j40	rep2	00:39:55.069 adaptiseq.batch: adaptive probe: workers=2 throughput=64.9Mbps score=-64
adaptiseq-adaptive-j40	rep2	00:40:00.071 adaptiseq.batch: adaptive probe: workers=1 throughput=46.6Mbps score=-46
adaptiseq-adaptive-j40	rep2	00:40:05.072 adaptiseq.batch: adaptive probe: workers=2 throughput=19.1Mbps score=-19
adaptiseq-adaptive-j40	rep2	00:40:10.073 adaptiseq.batch: adaptive probe: workers=1 throughput=19.8Mbps score=-20
adaptiseq-adaptive-j40	rep2	00:40:15.075 adaptiseq.batch: adaptive probe: workers=1 throughput=23.8Mbps score=-24
adaptiseq-adaptive-j40	rep2	00:40:20.077 adaptiseq.batch: adaptive probe: workers=2 throughput=44.8Mbps score=-44
adaptiseq-adaptive-j40	rep2	00:40:25.078 adaptiseq.batch: adaptive probe: workers=4 throughput=104.9Mbps score=-101
adaptiseq-adaptive-j40	rep2	00:40:30.079 adaptiseq.batch: adaptive probe: workers=7 throughput=267.6Mbps score=-250
adaptiseq-adaptive-j40	rep2	00:40:35.081 adaptiseq.batch: adaptive probe: workers=10 throughput=536.1Mbps score=-485
adaptiseq-adaptive-j40	rep2	00:40:40.083 adaptiseq.batch: adaptive probe: workers=10 throughput=459.8Mbps score=-416
