t_rel_s	workers	mbps
25.73	2	0.00
26.13	2	0.00
26.53	2	0.00
26.93	2	0.83
27.33	2	0.83
27.74	2	1.58
28.14	2	1.58
28.54	2	1.58
28.94	2	2.39
29.34	2	2.39
29.74	2	14.65
30.14	2	14.65
30.54	2	14.65
30.94	1	91.82
31.34	1	91.82
31.74	1	87.02
32.14	1	87.02
32.54	1	87.02
32.94	1	76.85
33.34	1	76.85
33.74	1	68.17
34.15	1	68.17
34.55	1	68.17
34.95	1	72.50
35.35	1	72.50
35.75	2	70.39
36.15	2	70.39
36.55	2	70.39
36.95	2	78.49
37.35	2	78.49
37.75	2	78.46
38.15	2	78.46
38.55	2	78.46
38.95	2	75.38
39.35	2	75.38
39.75	2	75.13
40.15	2	75.13
40.55	2	75.13
40.95	2	62.73
41.36	2	62.73
41.76	2	56.49
42.16	2	56.49
42.56	2	56.49
42.96	2	60.64
43.36	2	60.64
43.76	2	62.68
44.16	2	62.68
44.56	2	62.68
44.96	2	62.22
45.36	2	62.22
45.76	1	51.49
46.16	1	51.49
46.57	1	51.49
46.97	1	37.23
47.37	1	37.23
47.77	1	39.14
48.17	1	39.14
48.57	1	39.14
48.97	1	29.42
49.37	1	29.42
49.77	1	22.96
50.17	1	22.96
50.57	1	22.96
50.97	2	25.07
51.37	2	25.07
51.77	2	25.79
52.17	2	25.79
52.57	2	25.79
52.98	2	24.04
53.38	2	24.04
53.78	2	22.01
54.18	2	22.01
54.58	2	22.01
54.98	2	21.94
55.38	2	21.94
55.78	1	21.30
56.18	1	21.30
56.58	1	21.30
56.98	1	21.10
57.38	1	21.10
57.78	1	18.04
58.18	1	18.04
58.58	1	18.04
58.98	1	18.10
59.38	1	18.10
59.78	1	18.61
60.18	1	18.61
60.58	1	18.61
60.99	2	18.03
61.39	2	18.03
61.79	2	18.42
62.19	2	18.42
62.59	2	18.42
62.99	2	18.74
63.39	2	18.74
63.79	2	19.76
64.19	2	19.76
64.59	2	19.76
64.99	2	19.63
65.39	2	19.63
65.80	2	22.01
66.20	2	22.01
66.60	2	22.01
67.00	2	24.89
67.40	2	24.89
67.80	2	29.68
68.20	2	29.68
68.60	2	29.68
69.00	2	31.68
69.40	2	31.68
69.80	2	31.61
70.20	2	31.61
70.60	2	31.61
71.00	3	34.94
71.40	3	34.94
71.80	3	30.70
72.20	3	30.70
72.60	3	30.70
73.00	3	43.29
73.41	3	43.29
73.81	3	206.15
74.21	3	206.15
74.61	3	206.15
75.01	3	186.09
75.41	3	186.09
75.81	8	162.22
76.21	8	162.22
76.61	8	162.22
77.01	8	127.55
77.41	8	127.55
77.81	8	130.99
78.22	8	130.99
78.62	8	130.99
79.02	8	493.52
79.42	8	493.52
79.82	8	1057.13
80.22	8	1057.13
80.62	8	1057.13
81.02	8	873.14
81.42	8	873.14
81.82	8	875.69
82.22	8	875.69
82.62	8	875.69
83.02	8	871.07
83.42	8	871.07
83.82	8	786.12
84.22	8	786.12
84.62	8	786.12
85.02	8	831.57
85.42	8	831.57
85.82	13	926.75
86.22	13	926.75
86.62	13	926.75
87.02	13	759.70
87.42	13	759.70
87.82	13	795.03
88.23	13	795.03
88.63	13	795.03
89.03	13	1608.39
89.43	13	1608.39
89.83	13	1111.35
90.23	13	1111.35
90.63	13	1111.35
91.03	14	779.89
91.43	14	779.89
91.83	14	546.08
92.23	14	546.08
92.63	14	546.08
93.03	14	514.71
93.43	14	514.71
93.83	14	504.54
94.23	14	504.54
94.63	14	504.54
95.03	14	346.50
95.43	14	346.50
95.83	9	336.73
96.23	9	336.73
96.63	9	336.73
97.03	9	273.55
97.43	9	273.55
97.83	9	320.05
98.23	9	320.05
98.63	9	320.05
99.03	9	302.94
99.43	9	302.94
99.83	9	297.31
100.23	9	297.31
100.63	9	297.31
101.04	10	275.63
101.44	10	275.63
101.84	10	240.83
102.24	10	240.83
102.64	10	240.83
103.04	10	189.23
103.44	10	189.23
103.84	10	200.42
104.24	10	200.42
104.64	10	200.42
105.04	10	163.86
105.44	10	163.86
105.84	7	345.33
106.24	7	345.33
106.64	7	345.33
107.04	7	397.94
107.44	7	397.94
107.84	7	340.38
108.24	7	340.38
108.64	7	340.38
109.04	7	286.10
109.44	7	286.10
109.84	7	254.26
110.24	7	254.26
110.64	7	254.26
111.04	5	242.32
111.44	5	242.32
111.84	5	231.65
112.24	5	231.65
112.64	5	231.65
113.04	5	224.60
113.44	5	224.60
113.84	5	216.62
114.25	5	216.62
114.65	5	216.62
115.05	5	198.84
115.45	5	198.84
115.85	6	189.93
116.25	6	189.93
116.65	6	189.93
117.05	6	179.18
117.45	6	179.18
117.85	6	184.02
118.25	6	184.02
118.65	6	184.02
119.05	6	177.42
119.45	6	177.42
119.85	6	149.75
120.25	6	149.75
120.65	6	149.75
121.05	5	149.33
121.45	5	149.33
121.85	5	142.13
122.25	5	142.13
122.66	5	142.13
123.06	5	126.28
123.46	5	126.28
123.86	5	133.02
124.26	5	133.02
124.66	5	133.02
125.06	5	139.13
125.46	5	139.13
125.86	6	145.45
126.26	6	145.45
126.66	6	145.45
127.06	6	154.49
127.46	6	154.49
127.86	6	159.10
128.26	6	159.10
128.66	6	159.10
129.06	6	169.60
129.46	6	169.60
129.86	6	183.47
130.26	6	183.47
130.66	6	183.47
131.06	7	168.64
131.46	7	168.64
131.86	7	155.54
132.26	7	155.54
132.66	7	155.54
133.06	7	166.85
