t_rel_s	workers	mbps
25.76	20	0.00
26.16	20	0.00
26.56	20	0.00
26.96	20	5.81
27.36	20	5.81
27.76	20	512.80
28.17	20	512.80
28.57	20	512.80
28.97	20	2314.14
29.37	20	2314.14
29.77	20	2576.48
30.17	20	2576.48
30.57	20	2576.48
30.97	20	2242.22
31.37	20	2242.22
31.77	20	1981.31
32.17	20	1981.31
32.57	20	1981.31
32.97	20	1652.33
33.37	20	1652.33
33.77	20	1363.29
34.17	20	1363.29
34.57	20	1363.29
34.97	20	1098.37
35.38	20	1098.37
35.78	20	1551.55
36.18	20	1551.55
36.58	20	1551.55
36.98	20	1385.19
37.38	20	1385.19
37.78	20	1208.42
38.18	15	1208.42
38.58	14	1208.42
38.98	14	820.24
39.38	14	820.24
39.78	14	704.66
40.18	14	704.66
40.58	14	704.66
40.98	13	829.59
41.38	13	829.59
41.78	11	615.61
42.18	11	615.61
42.58	11	615.61
42.98	11	469.86
43.38	11	469.86
43.78	11	395.38
44.18	10	395.38
44.58	10	395.38
44.99	10	286.47
45.39	10	286.47
45.79	10	255.45
46.19	10	255.45
46.59	10	255.45
46.99	10	232.05
47.39	10	232.05
47.79	10	226.36
48.19	10	226.36
48.59	10	226.36
48.99	10	209.18
49.39	10	209.18
49.79	10	210.84
50.19	10	210.84
50.59	10	210.84
50.99	10	201.16
51.39	10	201.16
51.79	10	205.23
52.19	10	205.23
52.59	10	205.23
52.99	10	186.87
53.39	10	186.87
53.79	10	153.14
54.19	10	153.14
54.60	10	153.14
55.00	10	141.74
55.40	10	141.74
55.80	10	136.17
56.20	10	136.17
56.60	10	136.17
57.00	10	129.29
57.40	10	129.29
57.80	10	123.12
58.20	10	123.12
58.60	10	123.12
59.00	10	127.60
59.40	10	127.60
59.80	10	127.70
60.20	10	127.70
60.60	10	127.70
61.00	10	129.00
61.40	10	129.00
61.80	10	136.09
62.20	10	136.09
62.60	10	136.09
63.00	10	189.81
63.40	10	189.81
63.80	10	197.10
64.21	10	197.10
64.61	10	197.10
65.01	10	198.51
65.41	9	198.51
65.81	9	183.72
66.21	9	183.72
66.61	9	183.72
67.01	9	183.36
67.41	9	183.36
67.81	9	160.28
68.21	9	160.28
68.61	9	160.28
69.01	9	173.38
69.41	9	173.38
69.81	9	148.65
70.21	8	148.65
70.61	8	148.65
71.01	8	109.71
71.41	8	109.71
71.81	8	106.43
72.21	8	106.43
72.61	8	106.43
73.01	7	107.30
73.41	7	107.30
73.81	7	95.82
74.21	7	95.82
74.62	7	95.82
75.02	7	94.73
75.42	6	94.73
75.82	6	87.43
76.22	6	87.43
76.62	6	87.43
77.02	6	91.10
77.42	6	91.10
77.82	6	95.42
78.22	6	95.42
78.62	6	95.42
79.02	6	94.56
79.42	6	94.56
79.82	6	102.54
80.22	6	102.54
80.62	6	102.54
81.02	6	105.53
81.42	6	105.53
81.83	6	101.54
82.23	6	101.54
82.63	6	101.54
83.03	6	102.62
83.43	6	102.62
83.83	6	101.37
84.23	6	101.37
84.63	6	101.37
85.03	6	85.37
85.43	6	85.37
85.83	6	76.39
86.23	6	76.39
86.63	6	76.39
87.03	6	80.03
87.43	6	80.03
87.83	6	84.54
88.23	6	84.54
88.63	6	84.54
89.03	6	91.71
89.44	6	91.71
89.84	6	101.38
90.24	6	101.38
90.64	6	101.38
91.04	6	97.27
91.44	6	97.27
91.84	6	104.88
92.24	6	104.88
92.64	6	104.88
93.04	6	113.17
93.44	6	113.17
93.84	6	117.71
94.24	6	117.71
94.64	6	117.71
95.04	6	131.63
95.44	6	131.63
95.84	6	144.03
96.24	6	144.03
96.64	6	144.03
97.04	6	155.13
97.44	6	155.13
97.84	6	184.48
98.24	6	184.48
98.65	5	184.48
99.05	5	197.32
99.45	5	197.32
99.85	5	192.27
100.25	5	192.27
100.65	5	192.27
101.05	5	175.34
101.45	5	175.34
101.85	5	164.21
102.25	5	164.21
102.65	5	164.21
103.05	5	173.87
103.45	5	173.87
103.85	5	186.70
104.25	5	186.70
104.65	5	186.70
105.05	5	190.65
105.45	5	190.65
105.85	5	181.53
106.25	5	181.53
106.66	5	181.53
107.06	5	144.00
107.46	5	144.00
107.86	5	113.08
108.26	5	113.08
108.66	5	113.08
109.06	5	94.72
109.46	5	94.72
109.86	5	87.13
110.26	5	87.13
110.66	5	87.13
111.06	5	88.03
111.46	5	88.03
111.86	5	95.54
112.26	5	95.54
112.66	5	95.54
113.06	5	98.23
113.46	4	98.23
113.87	4	91.78
114.27	4	91.78
114.67	4	91.78
115.07	4	75.44
115.47	4	75.44
115.87	4	75.01
116.27	4	75.01
116.67	4	75.01
117.07	4	70.78
117.47	4	70.78
117.87	4	67.13
118.27	4	67.13
118.67	4	67.13
119.07	4	51.93
119.47	4	51.93
119.87	4	48.23
120.27	4	48.23
120.67	4	48.23
121.07	4	53.75
121.48	4	53.75
121.88	4	56.50
122.28	4	56.50
122.68	4	56.50
123.08	4	57.71
123.48	4	57.71
123.88	4	48.75
124.28	3	48.75
124.68	3	48.75
125.08	3	42.13
125.48	3	42.13
125.88	3	44.45
126.28	3	44.45
126.68	3	44.45
127.08	3	53.33
127.48	3	53.33
127.88	3	62.81
128.28	3	62.81
128.68	3	62.81
129.09	3	69.45
129.49	3	69.45
129.89	3	85.09
130.29	3	85.09
130.69	3	85.09
131.09	3	84.58
131.49	3	84.58
131.89	3	81.71
132.29	3	81.71
132.69	3	81.71
133.09	3	89.12
133.49	3	89.12
133.89	3	88.57
134.29	3	88.57
134.69	3	88.57
135.09	3	91.20
135.49	3	91.20
135.89	3	94.71
136.29	3	94.71
136.69	3	94.71
137.09	3	83.83
137.49	3	83.83
137.89	3	72.30
138.29	3	72.30
138.70	3	72.30
139.10	3	55.91
139.50	3	55.91
139.90	3	47.03
140.30	3	47.03
140.70	3	47.03
141.10	3	50.03
141.50	3	50.03
141.90	3	51.51
142.30	3	51.51
142.70	3	51.51
143.10	3	52.67
143.50	3	52.67
143.90	3	53.49
144.30	3	53.49
144.70	3	53.49
145.10	3	54.18
145.50	3	54.18
145.90	3	56.78
146.30	3	56.78
146.71	3	56.78
147.11	3	61.63
147.51	3	61.63
147.91	3	62.82
148.31	3	62.82
148.71	3	62.82
149.11	3	55.80
149.51	3	55.80
149.91	3	48.24
150.31	3	48.24
150.71	3	48.24
151.11	3	43.90
151.51	3	43.90
151.91	3	40.49
152.31	3	40.49
152.71	3	40.49
153.11	3	40.92
153.51	3	40.92
153.91	3	35.05
154.31	3	35.05
154.71	3	35.05
155.11	3	35.51
155.51	3	35.51
155.91	3	35.82
156.32	3	35.82
156.72	3	35.82
157.12	3	33.97
157.52	3	33.97
157.92	3	29.95
158.32	3	29.95
158.72	3	29.95
159.12	3	31.08
159.52	3	31.08
159.92	2	29.34
160.32	2	29.34
160.72	2	29.34
161.12	2	21.82
161.52	2	21.82
161.92	2	23.27
162.33	2	23.27
162.73	2	23.27
163.13	2	23.28
163.53	2	23.28
163.93	2	29.18
164.33	2	29.18
164.73	2	29.18
165.13	2	36.66
165.53	2	36.66
165.94	2	44.12
166.34	2	44.12
166.74	2	44.12
167.14	2	53.87
167.54	2	53.87
167.94	2	68.53
168.34	2	68.53
168.74	2	68.53
169.14	2	70.00
169.54	1	70.00
169.94	1	40.90
170.34	1	40.90
170.74	1	40.90
171.14	1	17.58
171.54	1	17.58
171.94	1	15.35
172.35	1	15.35
172.75	1	15.35
173.15	1	16.64
173.55	1	16.64
173.95	1	17.79
174.35	1	17.79
174.75	1	17.79
175.15	1	18.69
175.55	1	18.69
175.95	1	19.10
176.35	1	19.10
176.75	1	19.10
177.15	1	15.79
177.55	1	15.79
177.95	1	16.06
178.36	1	16.06
178.76	1	16.06
179.16	1	17.84
179.56	1	17.84
179.96	1	18.54
180.36	1	18.54
180.76	1	18.54
181.16	1	15.41
181.56	1	15.41
181.96	1	16.44
182.36	1	16.44
182.76	1	16.44
183.16	1	17.78
183.56	1	17.78
