t_rel_s	workers	mbps
1.62	2	0.00
2.02	2	0.00
2.42	2	0.00
2.82	2	0.77
3.22	2	0.77
3.62	2	205.72
4.02	2	205.72
4.42	2	205.72
4.82	2	850.86
5.22	2	850.86
5.62	2	668.86
6.02	2	668.86
6.42	2	668.86
6.82	1	730.08
7.23	1	730.08
7.63	1	757.44
8.03	1	757.44
8.43	1	757.44
8.83	1	300.53
9.23	1	300.53
9.63	1	279.91
10.03	1	279.91
10.43	1	279.91
10.83	1	259.02
11.23	1	259.02
11.63	2	278.92
12.03	2	278.92
12.43	2	278.92
12.83	2	279.29
13.23	2	279.29
13.63	2	263.58
14.04	2	263.58
14.44	2	263.58
14.84	2	263.38
15.24	2	263.38
15.64	2	323.70
16.04	2	323.70
16.44	2	323.70
16.84	1	353.75
17.24	1	353.75
17.64	1	325.24
18.04	1	325.24
18.44	1	325.24
18.84	1	307.58
19.24	1	307.58
19.65	1	338.32
20.05	1	338.32
20.45	1	338.32
20.85	1	315.50
21.25	1	315.50
21.65	1	328.05
22.05	1	328.05
22.45	1	328.05
22.85	1	342.86
23.25	1	342.86
23.65	1	306.51
24.05	1	306.51
24.45	1	306.51
24.86	1	314.79
25.26	1	314.79
25.66	1	334.10
26.06	1	334.10
26.46	1	334.10
26.86	2	314.26
27.26	2	314.26
27.66	2	335.29
28.06	2	335.29
28.46	2	335.29
28.86	2	334.21
29.26	2	334.21
29.66	2	327.78
30.06	2	327.78
30.46	2	327.78
30.86	2	346.21
31.27	2	346.21
31.67	3	336.42
32.07	3	336.42
32.47	3	336.42
32.87	3	316.07
33.27	3	316.07
33.67	3	408.55
34.07	3	408.55
34.47	3	408.55
34.87	3	767.71
35.27	3	767.71
35.67	3	788.47
36.07	3	788.47
36.47	3	788.47
36.87	5	786.94
37.27	5	786.94
37.67	5	820.68
38.07	5	820.68
38.47	5	820.68
38.88	5	963.20
39.28	5	963.20
39.68	5	1701.35
40.08	5	1701.35
40.48	5	1701.35
40.88	5	1837.03
41.28	5	1837.03
41.68	8	1650.97
42.08	8	1650.97
42.48	8	1650.97
42.88	8	1588.15
43.28	8	1588.15
43.68	8	1862.44
44.08	8	1862.44
44.48	8	1862.44
44.88	8	2728.81
45.28	8	2728.81
45.69	8	3236.52
46.09	8	3236.52
46.49	8	3236.52
46.89	10	3292.82
47.29	10	3292.82
47.70	10	3270.56
48.10	10	3270.56
48.50	10	3270.56
48.90	10	3443.83
49.31	10	3443.83
49.71	10	3685.01
50.11	10	3685.01
50.52	10	3685.01
50.92	10	3400.15
51.32	10	3400.15
51.72	12	2848.26
52.13	12	2848.26
52.53	12	2848.26
52.94	12	2703.60
53.34	12	2703.60
53.74	12	2579.34
54.15	12	2579.34
54.55	12	2579.34
54.95	12	3127.56
55.35	12	3127.56
55.75	12	3216.08
56.16	12	3216.08
56.56	12	3216.08
56.96	10	3214.85
57.37	10	3214.85
57.92	10	2173.61
58.33	10	2173.61
58.73	10	2173.61
59.13	10	3389.58
59.53	10	3389.58
59.93	10	2532.26
60.34	10	2532.26
60.83	10	2532.26
61.23	10	2449.93
61.63	10	2449.93
62.03	11	2394.81
62.43	11	2394.81
62.95	11	2394.81
63.36	11	1367.37
63.76	11	1367.37
64.16	11	3142.90
64.56	11	3142.90
64.97	11	2187.89
65.37	11	2187.89
65.77	11	2187.89
66.17	11	2220.08
66.57	11	2220.08
66.97	9	1850.79
67.37	9	1850.79
67.77	9	1850.79
68.17	9	1397.58
68.57	9	1397.58
68.97	9	1334.55
69.37	9	1334.55
69.77	9	1334.55
70.17	9	1295.93
70.57	9	1295.93
70.97	9	1344.21
71.37	9	1344.21
71.77	9	1344.21
72.17	11	1403.55
72.57	11	1403.55
72.98	11	1332.98
73.38	11	1332.98
73.78	11	1332.98
74.18	11	1226.20
74.58	11	1226.20
74.98	11	1252.26
75.38	11	1252.26
75.78	11	1252.26
76.18	11	1497.23
76.58	11	1497.23
76.98	10	1460.06
77.38	10	1460.06
77.78	10	1460.06
78.18	10	1583.22
78.58	10	1583.22
78.98	10	1492.56
79.38	10	1492.56
79.78	10	1492.56
80.19	10	1449.10
80.59	10	1449.10
80.99	10	1330.11
81.39	10	1330.11
81.79	10	1330.11
82.19	9	1188.81
82.59	9	1188.81
82.99	9	1159.89
83.39	9	1159.89
83.79	9	1159.89
84.19	9	947.42
84.59	9	947.42
84.99	9	943.78
85.39	9	943.78
85.79	9	943.78
86.19	9	895.45
86.59	9	895.45
86.99	12	1032.75
87.40	12	1032.75
87.80	12	1032.75
88.20	12	1089.74
88.60	12	1089.74
89.00	12	999.20
89.40	12	999.20
89.80	12	999.20
90.20	12	1183.60
90.60	12	1183.60
91.00	12	1340.33
91.40	12	1340.33
91.80	12	1340.33
92.20	13	1454.23
92.60	13	1454.23
93.00	13	1507.66
93.40	13	1507.66
93.80	13	1507.66
94.20	13	1484.44
94.60	13	1484.44
95.00	13	1847.67
95.40	13	1847.67
95.80	13	1847.67
96.20	13	1803.66
96.60	13	1803.66
97.01	13	1912.78
97.41	13	1912.78
97.92	13	1912.78
98.32	13	1276.92
98.72	13	1276.92
99.12	13	2472.43
99.52	13	2472.43
99.92	12	2472.43
100.32	12	1914.60
100.72	12	1914.60
101.13	11	1780.05
101.53	11	1780.05
101.93	11	1780.05
102.33	11	1655.81
102.73	11	1655.81
103.13	11	1551.20
103.54	11	1551.20
103.94	11	1551.20
104.34	11	1519.88
104.74	11	1519.88
105.15	11	1534.05
105.55	11	1534.05
105.95	11	1534.05
