t_rel_s	workers	mbps
1.62	8	0.00
2.02	8	0.00
2.42	8	0.00
2.82	8	0.06
3.22	8	0.06
3.62	8	225.20
4.03	8	225.20
4.43	8	225.20
4.84	8	2581.06
5.24	8	2581.06
5.64	8	3568.56
6.04	8	3568.56
6.44	8	3568.56
6.84	8	3459.80
7.24	8	3459.80
7.64	8	3573.45
8.05	8	3573.45
8.45	8	3573.45
8.85	8	3634.78
9.25	8	3634.78
9.65	8	3621.26
10.05	8	3621.26
10.45	8	3621.26
10.86	8	3581.11
11.26	8	3581.11
11.66	8	3628.13
12.06	8	3628.13
12.46	8	3628.13
12.87	8	3662.61
13.27	8	3662.61
13.67	8	3671.43
14.07	8	3671.43
14.47	8	3671.43
14.96	8	3626.95
15.36	8	3626.95
15.76	8	3138.48
16.16	8	3138.48
16.56	8	3138.48
16.96	8	3063.63
17.36	8	3063.63
17.76	8	3212.70
18.17	8	3212.70
18.57	8	3212.70
19.14	8	3280.44
19.54	8	3280.44
19.94	8	2600.78
20.34	8	2600.78
20.74	8	2373.46
21.14	8	2373.46
21.54	8	2373.46
21.94	8	2290.00
22.34	8	2290.00
22.74	8	2376.92
23.15	8	2376.92
23.55	8	2376.92
23.95	8	2319.35
24.35	8	2319.35
24.75	8	2277.82
25.15	8	2277.82
25.55	8	2277.82
25.95	8	2001.20
26.35	8	2001.20
26.75	8	1581.48
27.15	8	1581.48
27.55	8	1581.48
27.95	8	1100.69
28.35	8	1100.69
28.75	8	918.30
29.15	8	918.30
29.55	8	918.30
29.95	8	1018.19
30.35	8	1018.19
30.75	8	952.25
31.15	8	952.25
31.55	8	952.25
31.95	8	687.88
32.36	8	687.88
32.76	8	591.46
33.16	8	591.46
33.56	8	591.46
33.96	8	525.20
34.36	8	525.20
34.76	8	481.25
35.16	8	481.25
35.56	8	481.25
35.96	8	501.21
36.36	8	501.21
36.76	8	502.00
37.16	8	502.00
37.56	8	502.00
37.96	8	508.56
38.36	8	508.56
38.76	8	532.97
39.16	8	532.97
39.56	8	532.97
39.96	8	469.66
40.36	8	469.66
40.76	8	648.34
41.16	8	648.34
41.56	8	648.34
41.96	8	702.46
42.36	8	702.46
42.76	8	667.86
43.16	8	667.86
43.56	8	667.86
43.96	8	714.82
44.36	8	714.82
44.76	8	778.86
45.16	8	778.86
45.56	8	778.86
45.96	8	830.05
46.36	8	830.05
46.76	8	898.36
47.17	8	898.36
47.57	8	898.36
47.97	8	908.93
48.37	8	908.93
48.77	8	894.88
49.17	8	894.88
49.57	8	894.88
49.97	8	969.06
50.37	8	969.06
50.77	8	973.91
51.17	8	973.91
51.57	8	973.91
51.97	8	1003.19
52.37	8	1003.19
52.77	8	1012.91
53.17	8	1012.91
53.57	8	1012.91
53.97	8	1149.99
54.37	8	1149.99
54.77	8	1048.17
55.17	8	1048.17
55.57	8	1048.17
55.97	8	1103.12
56.37	8	1103.12
56.77	8	977.95
57.17	8	977.95
57.57	8	977.95
57.97	8	874.48
58.37	8	874.48
58.77	8	878.23
59.18	8	878.23
59.58	8	878.23
59.98	8	812.96
60.38	8	812.96
60.78	8	845.78
61.18	8	845.78
61.58	8	845.78
61.98	8	873.51
62.38	8	873.51
62.78	8	961.17
63.18	8	961.17
63.58	8	961.17
63.98	8	1135.32
64.38	8	1135.32
64.78	8	1114.55
65.18	8	1114.55
65.58	8	1114.55
65.98	8	1128.25
66.38	8	1128.25
66.78	8	1062.45
67.18	8	1062.45
67.58	8	1062.45
67.98	8	1000.42
68.38	8	1000.42
68.78	8	930.70
69.18	8	930.70
69.58	8	930.70
69.98	8	959.06
70.38	8	959.06
70.78	8	905.49
71.18	8	905.49
71.59	8	905.49
71.99	8	907.87
72.39	8	907.87
72.79	8	904.27
73.19	8	904.27
73.59	8	904.27
73.99	8	876.29
74.39	8	876.29
74.79	8	1004.59
75.19	8	1004.59
75.59	8	1004.59
75.99	8	1228.05
76.39	8	1228.05
76.79	8	1221.08
77.19	8	1221.08
77.59	8	1221.08
77.99	8	1321.70
78.39	8	1321.70
78.80	8	1499.92
79.20	8	1499.92
79.60	8	1499.92
80.00	8	1745.92
80.40	8	1745.92
80.80	8	1771.40
81.21	8	1771.40
81.61	8	1771.40
82.01	8	1827.76
82.41	8	1827.76
82.81	8	1897.16
83.21	8	1897.16
83.61	8	1897.16
84.02	8	2004.19
84.42	8	2004.19
84.82	8	2140.38
85.22	8	2140.38
85.62	8	2140.38
86.03	8	2141.99
86.43	8	2141.99
86.83	8	2118.00
87.23	8	2118.00
87.63	8	2118.00
88.04	8	2221.25
88.44	8	2221.25
88.84	8	2204.99
89.30	8	2204.99
89.70	8	2031.20
90.11	8	2031.20
90.51	8	2031.20
90.91	8	2380.20
91.31	8	2380.20
91.71	8	2458.87
92.12	8	2458.87
92.52	8	2458.87
92.92	8	2117.98
93.32	8	2117.98
93.72	8	1954.86
94.12	8	1954.86
94.52	8	1954.86
94.92	8	1765.33
95.32	8	1765.33
95.73	8	1685.50
96.13	8	1685.50
96.53	8	1685.50
96.93	8	1533.06
97.33	8	1533.06
97.73	8	1549.92
98.13	8	1549.92
98.53	8	1549.92
98.94	8	1522.38
99.34	8	1522.38
99.74	8	1503.85
100.14	8	1503.85
100.54	8	1503.85
100.94	8	1328.20
101.34	8	1328.20
101.74	8	1238.92
102.14	8	1238.92
102.54	8	1238.92
102.94	8	1195.43
103.34	8	1195.43
103.74	8	1117.66
104.14	8	1117.66
104.54	8	1117.66
104.94	8	1136.61
105.34	8	1136.61
105.74	8	1134.87
106.14	8	1134.87
106.54	8	1134.87
106.94	8	1032.43
107.34	8	1032.43
107.74	8	918.18
108.14	8	918.18
108.55	8	918.18
109.20	8	831.88
109.60	8	831.88
110.00	8	697.87
110.40	8	697.87
110.80	8	783.22
111.20	8	783.22
111.60	8	783.22
112.00	8	767.27
112.40	8	767.27
112.80	8	693.38
113.20	8	693.38
