t_rel_s	workers	mbps
5.44	2	0.00
5.85	2	0.00
6.25	2	0.00
6.65	2	0.63
7.05	2	0.63
7.45	2	10.93
7.85	2	10.93
8.25	2	10.93
8.65	2	226.81
9.05	2	226.81
9.45	2	262.29
9.86	2	262.29
10.26	2	262.29
10.66	1	603.04
11.06	1	603.04
11.46	1	514.50
11.86	1	514.50
12.26	1	514.50
12.66	1	592.18
13.06	1	592.18
13.46	1	581.25
13.86	1	581.25
14.26	1	581.25
14.66	1	545.33
15.06	1	545.33
15.46	2	574.06
15.86	2	574.06
16.26	2	574.06
16.66	2	522.33
17.06	2	522.33
17.46	2	533.30
17.86	2	533.30
18.26	2	533.30
18.67	2	533.70
19.07	2	533.70
19.47	2	807.33
19.87	2	807.33
20.27	2	807.33
20.67	3	869.56
21.07	3	869.56
21.47	3	1033.48
21.87	3	1033.48
22.27	3	1033.48
22.67	3	1076.58
23.07	3	1076.58
23.47	3	1021.04
23.87	3	1021.04
24.27	3	1021.04
24.67	3	1155.36
25.07	3	1155.36
25.47	4	1220.30
25.87	4	1220.30
26.27	4	1220.30
26.67	3	1461.12
27.07	3	1461.12
27.47	3	1286.68
27.87	3	1286.68
28.27	3	1286.68
28.67	3	1064.28
29.07	3	1064.28
29.47	3	1197.21
29.88	3	1197.21
30.28	3	1197.21
30.68	3	1079.71
31.08	3	1079.71
31.48	3	1077.96
31.88	3	1077.96
32.28	2	1077.96
32.68	2	1038.44
33.08	2	1038.44
33.48	2	714.61
33.88	2	714.61
34.28	2	714.61
34.63	0	767.15
