t_rel_s	workers	mbps
5.14	8	0.00
5.54	8	0.00
5.95	8	0.00
6.35	8	0.00
6.75	8	0.00
7.15	8	42.39
7.55	7	42.39
7.95	7	42.39
8.35	7	1927.20
8.75	7	1927.20
9.15	7	2120.27
9.55	7	2120.27
9.95	7	2120.27
10.35	7	2082.61
10.76	7	2082.61
11.16	6	2045.13
11.56	6	2045.13
11.96	5	2045.13
12.36	5	1553.68
12.76	5	1553.68
13.16	5	1360.88
13.56	5	1360.88
13.96	5	1360.88
14.36	5	1366.13
14.76	5	1366.13
15.16	5	1301.64
15.56	5	1301.64
15.96	5	1301.64
16.36	5	1275.58
16.76	5	1275.58
17.16	5	1283.68
17.56	5	1283.68
17.96	5	1283.68
18.36	5	1301.90
18.76	4	1301.90
19.16	3	1248.37
19.56	3	1248.37
19.96	3	1248.37
20.36	2	850.62
20.76	2	850.62
21.17	2	578.77
21.57	2	578.77
21.97	2	578.77
22.37	1	637.70
22.77	1	637.70
23.17	1	360.77
23.57	1	360.77
23.97	1	360.77
24.37	1	285.93
24.77	1	285.93
25.17	1	317.80
25.57	1	317.80
25.97	1	317.80
26.37	1	335.47
26.69	0	335.47
