panel	arm	rep	wall_s	exit_code	status	runs_complete	runs_expected	bytes_verified	bytes_expected	MBps_verified	settle_workers	settle_efficiency	host	stamp
5a	adaptive	1	214.48	0	ok	8	8	2640116197	2640116197	12.31	1	1.000	Node-FIU	2026-07-21T05:50:50+00:00
5a	adaptive	2	149.55	0	ok	8	8	2640116197	2640116197	17.65	2	1.952	Node-FIU	2026-07-21T05:53:22+00:00
5b	fixed-j1	1	259.24	0	ok	8	8	2640116197	2640116197	10.18	NA	NA	Node-FIU	2026-07-21T05:57:43+00:00
5b	fixed-j2	1	199.20	0	ok	8	8	2640116197	2640116197	13.25	NA	NA	Node-FIU	2026-07-21T06:01:05+00:00
5b	fixed-j4	1	84.93	0	ok	8	8	2640116197	2640116197	31.09	NA	NA	Node-FIU	2026-07-21T06:02:32+00:00
5b	fixed-j8	1	85.28	0	ok	8	8	2640116197	2640116197	30.96	NA	NA	Node-FIU	2026-07-21T06:03:59+00:00
5b	adaptive	1	146.77	0	ok	8	8	2640116197	2640116197	17.99	3	0.727	Node-FIU	2026-07-21T06:06:28+00:00
5b	fixed-j1	2	336.53	0	ok	8	8	2640116197	2640116197	7.85	NA	NA	Node-FIU	2026-07-21T06:12:07+00:00
5b	fixed-j2	2	166.57	0	ok	8	8	2640116197	2640116197	15.85	NA	NA	Node-FIU	2026-07-21T06:14:55+00:00
5b	fixed-j4	2	74.13	0	ok	8	8	2640116197	2640116197	35.61	NA	NA	Node-FIU	2026-07-21T06:16:12+00:00
5b	fixed-j8	2	71.68	0	ok	8	8	2640116197	2640116197	36.83	NA	NA	Node-FIU	2026-07-21T06:17:26+00:00
5b	adaptive	2	275.71	0	ok	8	8	2640116197	2640116197	9.58	1	1.000	Node-FIU	2026-07-21T06:22:04+00:00
5c	eff-0.5	1	96.50	0	ok	8	8	2640116197	2640116197	27.36	NA	NA	Node-FIU	2026-07-21T06:23:43+00:00
5c	eff-0.7	1	105.71	0	ok	8	8	2640116197	2640116197	24.98	3	1.390	Node-FIU	2026-07-21T06:25:31+00:00
5c	eff-0.9	1	183.29	0	ok	8	8	2640116197	2640116197	14.40	1	1.000	Node-FIU	2026-07-21T06:28:36+00:00
5c	eff-0.5	2	284.68	0	ok	8	8	2640116197	2640116197	9.27	2	1.000	Node-FIU	2026-07-21T06:33:23+00:00
5c	eff-0.7	2	230.77	0	ok	8	8	2640116197	2640116197	11.44	1	1.000	Node-FIU	2026-07-21T06:37:16+00:00
5c	eff-0.9	2	266.12	0	ok	8	8	2640116197	2640116197	9.92	1	1.000	Node-FIU	2026-07-21T06:41:45+00:00
