panel	dataset	arm	tool	rep	wall_s	exit_code	status	peak_rss_mb	mean_rss_mb	mean_cpu_pct	peak_cpu_pct	cpu_core_s	read_total_mb	write_total_mb	mean_write_mbps	phase_setup_s	phase_data_s	phase_verify_s	bytes_verified	bytes_on_disk	files_on_disk	format	md5_ok	host	stamp
8-ENA	D2_subset	adaptiseq	adaptiseq	1	1800.14	-9	TIMEOUT	63.4	59.8	2.5	2892.6	44.89	4.8	2492.6	1.38	3.13	1796.98	0.03	0	2555996366	2	-	0	exp-9-52	2026-07-21T09:00:29
8-ENA	D2_subset	iseq	iseq	1	1800.52	-9	TIMEOUT	21.3	14.4	0.1	3.8	2.26	4.7	656.7	0.36	10.45	1790.05	0.02	0	655310824	1	gz	0	exp-9-52	2026-07-21T09:30:32
8-ENA	D2_subset	kingfisher	kingfisher	1	979.44	0	ok	153.1	150.8	7.1	2926.0	69.66	7.3	2653.0	2.71	4.19	590.43	384.82	2652616379	2652616379	2	gz	1	exp-9-52	2026-07-21T09:46:53
8-ENA	D2_subset	adaptiseq	adaptiseq	2	1394.33	0	ok	63.4	60.4	3.5	2904.4	49.46	0.4	2654.7	1.90	2.61	1332.82	58.9	2652616379	2652616379	2	gz	1	exp-9-52	2026-07-21T10:10:10
8-ENA	D2_subset	iseq	iseq	2	1800.40	-9	TIMEOUT	21.3	14.4	0.1	1.9	2.52	0.0	766.9	0.43	9.41	1790.96	0.02	0	765455992	1	gz	0	exp-9-52	2026-07-21T10:40:12
8-ENA	D2_subset	kingfisher	kingfisher	2	1327.72	0	ok	153.3	151.8	5.2	2932.1	69.45	0.1	2653.1	2.00	4.18	1008.62	314.92	2652616379	2652616379	2	gz	1	exp-9-52	2026-07-21T11:02:22
8-ENA	D2_subset	adaptiseq	adaptiseq	3	1800.53	-9	TIMEOUT	63.4	60.2	2.6	2903.7	47.16	0.4	2592.1	1.44	2.62	1797.89	0.03	1328295383	2617719560	2	gz	0	exp-9-52	2026-07-21T11:32:25
8-ENA	D2_subset	iseq	iseq	3	1800.12	-9	TIMEOUT	21.3	14.4	0.1	1.9	1.75	0.0	495.0	0.27	5.24	1794.86	0.02	0	493725704	1	gz	0	exp-9-52	2026-07-21T12:02:27
8-ENA	D2_subset	kingfisher	kingfisher	3	1334.87	0	ok	153.4	151.9	5.2	2927.9	69.83	0.4	2653.1	1.99	4.18	699.97	630.73	2652616379	2652616379	2	gz	1	exp-9-52	2026-07-21T12:24:44
8-ENA	D2_subset	adaptiseq	adaptiseq	4	1786.13	0	ok	63.4	61.3	2.8	2910.1	50.84	0.4	2657.2	1.49	6.78	1775.15	4.2	2652616379	2652616379	2	gz	1	exp-9-52	2026-07-21T12:54:33
8-ENA	D2_subset	iseq	iseq	4	1800.14	-9	TIMEOUT	21.3	14.4	0.1	3.8	2.37	0.0	712.5	0.40	5.76	1794.36	0.02	0	711064440	1	gz	0	exp-9-52	2026-07-21T13:24:35
8-ENA	D2_subset	kingfisher	kingfisher	4	1288.95	0	ok	153.2	151.9	5.4	2934.9	69.23	0.1	2653.1	2.06	4.17	686.99	597.78	2652616379	2652616379	2	gz	1	exp-9-52	2026-07-21T13:46:06
8-ENA	D2_subset	adaptiseq	adaptiseq	5	1800.49	-9	TIMEOUT	63.4	60.8	2.6	2928.5	46.41	0.4	2614.5	1.45	3.13	1797.33	0.03	0	2610595547	2	-	0	exp-9-52	2026-07-21T14:16:07
