t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	11.3	0.0	0.00	0.00	1
0.52	22.5	7.6	0.38	0.00	1
1.05	63.4	2928.5	0.35	0.00	2
1.57	63.4	0.0	0.00	0.00	2
2.09	54.5	1.9	0.02	0.01	1
2.61	54.5	0.0	0.00	0.00	1
3.13	54.5	0.0	0.00	0.09	1
3.65	55.6	1.9	0.00	1.40	1
4.17	56.9	3.8	0.00	6.40	1
4.69	57.2	1.9	0.00	6.80	1
5.21	57.2	1.9	0.00	9.73	1
5.73	57.2	3.8	0.00	8.39	1
6.25	57.2	3.8	0.00	8.48	1
6.77	57.2	3.8	0.00	8.38	1
7.30	57.5	1.9	0.00	8.58	1
7.82	57.5	3.8	0.00	7.22	1
8.34	58.0	1.9	0.00	8.84	1
8.86	58.0	3.8	0.00	8.86	1
9.38	58.0	3.8	0.00	9.06	1
9.90	58.0	3.8	0.00	8.52	1
10.42	58.0	3.8	0.00	7.79	1
10.94	58.0	1.9	0.00	7.14	1
11.46	58.0	3.8	0.00	8.28	1
11.98	58.0	3.8	0.00	8.32	1
12.50	58.0	1.9	0.00	7.94	1
13.03	58.0	3.8	0.00	6.64	1
13.55	58.0	1.9	0.00	6.50	1
14.07	58.0	3.8	0.00	6.22	1
14.59	58.0	3.8	0.00	6.44	1
15.11	58.0	1.9	0.00	6.32	1
15.63	58.0	1.9	0.00	5.16	1
16.15	58.0	1.9	0.00	5.20	1
16.67	58.0	5.8	0.00	6.44	1
17.19	58.0	1.9	0.00	5.53	1
17.71	58.0	1.9	0.00	4.49	1
18.23	58.0	5.8	0.00	5.83	1
18.75	58.0	1.9	0.00	5.73	1
19.27	58.0	3.8	0.00	4.39	1
19.80	58.0	1.9	0.00	4.44	1
20.32	58.0	3.8	0.00	4.89	1
20.84	58.0	3.8	0.00	4.20	1
21.36	58.0	1.9	0.00	4.11	1
21.88	58.0	1.9	0.00	3.85	1
22.40	58.0	1.9	0.00	3.65	1
22.92	58.0	1.9	0.00	3.08	1
23.44	58.0	1.9	0.00	3.14	1
23.96	58.0	3.8	0.00	3.36	1
24.48	58.0	1.9	0.00	3.29	1
25.00	58.0	1.9	0.00	3.11	1
25.52	58.0	3.8	0.00	3.40	1
26.04	58.0	1.9	0.00	2.73	1
26.56	58.0	3.8	0.00	2.49	1
27.09	58.0	1.9	0.00	2.59	1
27.61	58.0	1.9	0.00	2.43	1
28.13	58.0	3.8	0.00	2.16	1
28.65	58.0	1.9	0.00	2.68	1
29.17	58.0	5.8	0.00	2.61	1
29.69	58.0	1.9	0.00	2.29	1
30.21	58.0	1.9	0.00	1.83	1
30.73	58.0	1.9	0.00	2.23	1
31.25	58.0	1.9	0.00	2.14	1
31.77	58.0	1.9	0.00	1.97	1
32.29	58.0	3.8	0.00	2.03	1
32.81	58.0	1.9	0.00	1.79	1
33.33	58.0	1.9	0.00	1.56	1
33.86	58.0	1.9	0.00	1.64	1
34.38	58.0	1.9	0.00	1.79	1
34.90	58.0	1.9	0.00	1.70	1
35.42	58.0	1.9	0.00	1.67	1
35.94	58.0	1.9	0.00	1.79	1
36.46	58.0	3.8	0.00	1.91	1
36.98	58.0	0.0	0.00	1.78	1
37.51	58.0	3.8	0.00	1.68	1
38.03	58.0	1.9	0.00	1.70	1
38.55	58.0	1.9	0.00	1.75	1
39.07	58.0	1.9	0.00	1.64	1
39.59	58.0	1.9	0.00	1.88	1
40.11	58.0	3.8	0.00	2.13	1
40.63	58.0	3.8	0.00	2.09	1
41.15	58.0	1.9	0.00	1.92	1
41.67	58.0	0.0	0.00	1.97	1
42.19	58.0	3.8	0.00	1.72	1
42.71	58.0	0.0	0.00	1.54	1
43.24	58.0	1.9	0.00	1.53	1
43.76	58.0	1.9	0.00	1.38	1
