t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	3.2	0.0	0.00	0.00	1
0.52	18.9	0.0	8.91	0.01	4
1.05	21.3	0.0	0.10	0.01	7
1.57	21.3	0.0	0.00	0.00	7
2.09	21.3	0.0	0.00	0.00	7
2.62	21.3	0.0	0.00	0.00	7
3.14	21.3	0.0	0.00	0.01	7
3.66	14.4	0.0	0.00	0.00	4
4.18	14.4	0.0	0.00	0.00	4
4.71	14.4	0.0	0.00	0.00	4
5.23	14.4	0.0	0.00	0.00	4
5.75	14.4	0.0	0.00	0.00	4
6.27	14.4	0.0	0.00	0.00	4
6.79	14.4	0.0	0.00	0.00	4
7.32	14.4	0.0	0.00	0.00	4
7.84	14.4	0.0	0.00	0.00	4
8.36	14.4	0.0	0.00	0.00	4
8.88	14.4	0.0	0.00	0.00	4
9.40	14.4	0.0	0.00	0.00	4
9.92	14.4	0.0	0.00	0.00	4
10.45	14.4	0.0	0.00	0.05	4
10.97	14.4	0.0	0.00	0.09	4
11.49	14.4	0.0	0.00	0.10	4
12.01	14.4	0.0	0.00	0.11	4
12.53	14.4	0.0	0.00	0.13	4
13.05	14.4	0.0	0.00	0.13	4
13.57	14.4	0.0	0.00	0.17	4
14.10	14.4	0.0	0.00	0.17	4
14.62	14.4	0.0	0.00	0.22	4
15.14	14.4	0.0	0.00	0.24	4
15.66	14.4	0.0	0.00	0.24	4
16.18	14.4	0.0	0.00	0.21	4
16.71	14.4	0.0	0.00	0.29	4
17.23	14.4	0.0	0.00	0.27	4
17.75	14.4	0.0	0.00	0.29	4
18.27	14.4	0.0	0.00	0.34	4
18.79	14.4	0.0	0.00	0.26	4
19.31	14.4	0.0	0.00	0.30	4
19.84	14.4	0.0	0.00	0.29	4
20.36	14.4	0.0	0.00	0.28	4
20.88	14.4	0.0	0.00	0.22	4
21.40	14.4	0.0	0.00	0.25	4
21.92	14.4	0.0	0.00	0.19	4
22.44	14.4	0.0	0.00	0.24	4
22.96	14.4	1.9	0.00	0.25	4
23.49	14.4	0.0	0.00	0.27	4
24.01	14.4	0.0	0.00	0.20	4
24.53	14.4	0.0	0.00	0.24	4
25.05	14.4	0.0	0.00	0.22	4
25.57	14.4	0.0	0.00	0.23	4
26.10	14.4	0.0	0.00	0.22	4
26.62	14.4	0.0	0.00	0.22	4
27.14	14.4	0.0	0.00	0.27	4
27.66	14.4	0.0	0.00	0.22	4
28.18	14.4	0.0	0.00	0.22	4
28.70	14.4	0.0	0.00	0.22	4
29.23	14.4	0.0	0.00	0.27	4
29.75	14.4	0.0	0.00	0.27	4
30.27	14.4	0.0	0.00	0.25	4
30.79	14.4	0.0	0.00	0.21	4
31.31	14.4	0.0	0.00	0.24	4
31.84	14.4	0.0	0.00	0.19	4
32.36	14.4	0.0	0.00	0.16	4
32.88	14.4	0.0	0.00	0.15	4
33.40	14.4	0.0	0.00	0.16	4
33.92	14.4	0.0	0.00	0.18	4
34.45	14.4	0.0	0.00	0.20	4
34.97	14.4	0.0	0.00	0.21	4
35.49	14.4	0.0	0.00	0.25	4
36.01	14.4	1.9	0.00	0.28	4
36.53	14.4	0.0	0.00	0.20	4
37.06	14.4	0.0	0.00	0.15	4
37.58	14.4	0.0	0.00	0.17	4
38.10	14.4	0.0	0.00	0.13	4
38.62	14.4	0.0	0.00	0.13	4
39.14	14.4	0.0	0.00	0.09	4
39.67	14.4	0.0	0.00	0.13	4
40.19	14.4	0.0	0.00	0.15	4
40.71	14.4	0.0	0.00	0.14	4
41.23	14.4	0.0	0.00	0.15	4
41.75	14.4	0.0	0.00	0.18	4
42.27	14.4	0.0	0.00	0.19	4
42.80	14.4	0.0	0.00	0.20	4
43.32	14.4	0.0	0.00	0.19	4
43.84	14.4	0.0	0.00	0.20	4
44.36	14.4	0.0	0.00	0.21	4
44.88	14.4	0.0	0.00	0.25	4
45.41	14.4	0.0	0.00	0.22	4
45.93	14.4	0.0	0.00	0.25	4
46.45	14.4	0.0	0.00	0.27	4
46.97	14.4	0.0	0.00	0.15	4
47.49	14.4	0.0	0.00	0.18	4
48.01	14.4	0.0	0.00	0.17	4
48.54	14.4	0.0	0.00	0.16	4
49.06	14.4	0.0	0.00	0.19	4
49.58	14.4	0.0	0.00	0.21	4
50.10	14.4	0.0	0.00	0.25	4
50.62	14.4	0.0	0.00	0.22	4
51.14	14.4	0.0	0.00	0.28	4
51.67	14.4	0.0	0.00	0.23	4
52.19	14.4	0.0	0.00	0.20	4
52.71	14.4	0.0	0.00	0.27	4
53.23	14.4	1.9	0.00	0.30	4
53.75	14.4	0.0	0.00	0.23	4
54.28	14.4	0.0	0.00	0.24	4
54.80	14.4	0.0	0.00	0.24	4
55.32	14.4	0.0	0.00	0.28	4
55.84	14.4	0.0	0.00	0.28	4
56.36	14.4	0.0	0.00	0.29	4
56.89	14.4	0.0	0.00	0.19	4
57.41	14.4	0.0	0.00	0.28	4
57.93	14.4	0.0	0.00	0.25	4
58.45	14.4	0.0	0.00	0.27	4
58.97	14.4	0.0	0.00	0.31	4
59.49	14.4	0.0	0.00	0.29	4
60.02	14.4	0.0	0.00	0.28	4
60.54	14.4	0.0	0.00	0.33	4
61.06	14.4	0.0	0.00	0.36	4
61.58	14.4	0.0	0.00	0.32	4
62.10	14.4	0.0	0.00	0.27	4
62.62	14.4	0.0	0.00	0.33	4
63.14	14.4	0.0	0.00	0.35	4
63.67	14.4	0.0	0.00	0.35	4
64.19	14.4	1.9	0.00	0.33	4
64.71	14.4	0.0	0.00	0.27	4
65.23	14.4	0.0	0.00	0.34	4
65.75	14.4	0.0	0.00	0.37	4
66.28	14.4	0.0	0.00	0.36	4
66.80	14.4	0.0	0.00	0.35	4
67.32	14.4	0.0	0.00	0.36	4
67.84	14.4	0.0	0.00	0.37	4
68.36	14.4	0.0	0.00	0.41	4
68.88	14.4	0.0	0.00	0.42	4
69.41	14.4	0.0	0.00	0.43	4
69.93	14.4	0.0	0.00	0.46	4
70.45	14.4	0.0	0.00	0.47	4
70.97	14.4	0.0	0.00	0.54	4
71.49	14.4	0.0	0.00	0.64	4
72.01	14.4	1.9	0.00	0.78	4
72.54	14.4	0.0	0.00	0.92	4
73.06	14.4	0.0	0.00	1.01	4
73.58	14.4	0.0	0.00	1.34	4
74.10	14.4	0.0	0.00	1.66	4
74.62	14.4	3.8	0.00	1.84	4
75.14	14.4	0.0	0.00	2.25	4
75.67	14.4	0.0	0.00	2.64	4
76.19	14.4	1.9	0.00	2.91	4
76.71	14.4	0.0	0.00	2.48	4
77.23	14.4	0.0	0.00	2.05	4
77.75	14.4	0.0	0.00	1.73	4
78.28	14.4	0.0	0.00	1.22	4
78.80	14.4	0.0	0.00	0.95	4
79.32	14.4	1.9	0.00	0.60	4
79.84	14.4	0.0	0.00	0.49	4
80.36	14.4	0.0	0.00	0.55	4
