t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	12.1	0.0	0.00	0.00	1
0.53	137.5	2927.9	0.00	0.00	2
1.05	137.5	0.0	0.00	0.00	2
1.57	141.1	1.9	0.00	0.00	2
2.09	147.4	0.0	0.00	0.00	2
2.62	147.7	1.9	0.00	0.00	2
3.14	147.7	0.0	0.00	0.00	2
3.66	147.7	0.0	0.00	0.00	2
4.18	147.7	0.0	0.09	0.01	2
4.70	147.7	0.0	0.00	0.00	2
5.22	147.7	0.0	0.00	0.00	2
5.74	148.6	0.0	0.00	0.00	2
6.26	148.5	0.0	0.00	2.01	2
6.78	148.8	1.9	0.00	2.01	2
7.31	149.3	0.0	0.00	2.01	2
7.83	150.1	0.0	0.00	4.02	2
8.35	150.5	1.9	0.00	6.03	2
8.87	150.7	1.9	0.00	6.04	2
9.39	151.2	1.9	0.00	10.06	2
9.91	151.3	1.9	0.00	10.06	2
10.43	151.4	1.9	0.00	10.06	2
10.95	151.7	1.9	0.00	10.07	2
11.48	151.9	0.0	0.00	8.05	2
12.00	151.9	3.8	0.00	6.04	2
12.52	151.9	1.9	0.00	10.07	2
13.04	151.7	1.9	0.00	6.04	2
13.56	151.7	0.0	0.00	6.45	2
14.08	151.7	1.9	0.00	3.61	2
14.60	151.8	0.0	0.00	8.05	2
15.12	151.8	1.9	0.00	2.01	2
15.64	151.6	1.9	0.00	6.04	2
16.16	151.6	0.0	0.00	2.01	2
16.69	151.9	0.0	0.00	2.01	2
17.21	152.2	1.9	0.00	8.05	2
17.73	152.2	0.0	0.00	2.01	2
18.25	152.2	1.9	0.00	2.01	2
18.77	152.2	1.9	0.00	4.02	2
19.29	152.2	0.0	0.00	2.01	2
19.81	152.2	0.0	0.00	2.01	2
20.33	152.2	3.8	0.00	6.04	2
20.86	152.2	0.0	0.00	0.00	2
21.38	152.2	0.0	0.00	4.03	2
21.90	152.2	0.0	0.00	0.00	2
22.42	152.2	0.0	0.00	2.01	2
22.94	152.2	1.9	0.00	6.04	2
23.46	152.2	0.0	0.00	2.01	2
23.98	152.2	0.0	0.00	0.00	2
24.50	152.2	1.9	0.00	0.00	2
25.02	152.4	0.0	0.00	0.00	2
25.55	152.7	0.0	0.00	6.04	2
26.07	152.7	0.0	0.00	2.01	2
26.59	152.7	3.8	0.00	2.01	2
27.11	152.7	0.0	0.00	0.00	2
27.63	152.7	0.0	0.00	0.00	2
28.15	152.7	0.0	0.00	2.01	2
28.67	152.7	0.0	0.00	2.01	2
29.20	152.7	1.9	0.00	2.01	2
29.72	152.7	0.0	0.00	2.01	2
30.24	152.7	0.0	0.00	2.01	2
30.76	152.7	0.0	0.00	2.01	2
31.28	152.7	0.0	0.00	0.00	2
31.80	152.7	0.0	0.00	0.00	2
32.32	152.7	1.9	0.00	2.01	2
32.84	152.7	0.0	0.00	2.01	2
