t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	11.8	0.0	0.00	0.00	1
0.53	63.5	2894.0	0.00	0.00	2
1.05	63.5	1.9	0.00	0.00	2
1.57	60.6	5.7	0.00	0.01	2
2.09	60.6	0.0	0.00	0.00	2
2.61	53.8	1.9	0.00	0.00	1
3.13	54.8	0.0	0.00	0.72	1
3.65	55.9	7.7	0.00	31.45	1
4.17	55.9	9.6	0.00	38.23	1
4.70	55.9	9.6	0.00	38.23	1
5.22	55.9	7.7	0.00	36.29	1
5.74	55.9	9.6	0.00	38.21	1
6.26	55.9	7.7	0.00	42.33	1
6.78	55.9	11.5	0.00	38.24	1
7.30	55.9	7.7	0.00	38.22	1
7.82	55.9	9.6	0.00	36.27	1
8.34	55.9	9.6	0.00	38.22	1
8.86	63.1	5.8	0.00	6.74	2
9.39	63.1	0.0	0.00	0.00	2
9.91	73.6	1.9	0.00	0.00	5
10.43	63.1	9.6	0.00	0.00	2
10.95	63.1	0.0	0.00	0.00	2
11.47	63.1	0.0	0.00	0.00	2
11.99	59.1	0.0	0.00	0.00	2
12.52	63.1	5.7	0.00	0.00	2
13.04	63.1	0.0	0.00	0.00	2
13.56	55.9	0.0	0.00	0.00	1
14.08	55.9	1.9	0.00	0.00	1
14.60	64.0	1.9	0.00	0.01	2
15.12	64.0	0.0	0.00	0.00	2
15.64	645.9	564.2	0.00	0.00	3
16.16	1143.3	751.9	0.00	378.45	3
16.69	1144.8	800.9	0.00	1081.40	3
17.21	1145.1	801.1	0.00	1080.32	3
17.73	794.4	394.8	0.00	843.52	3
18.26	762.3	259.8	0.00	2248.47	3
18.78	64.9	738.3	0.00	38.61	2
19.31	64.9	814.1	0.00	42.92	2
19.83	65.2	816.8	0.00	42.13	2
20.35	65.2	818.5	0.00	44.18	2
20.87	65.2	819.2	0.00	43.35	2
21.39	64.9	97.8	0.00	36.59	2
21.91	64.9	816.9	0.00	43.79	2
22.43	65.3	817.1	0.00	42.96	2
22.96	65.3	820.0	0.00	43.23	2
23.48	65.3	815.8	0.00	44.29	2
24.00	65.3	819.6	0.00	44.13	2
24.53	0.0	0.0	0.00	0.00	0
