t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	3.2	0.0	0.00	0.00	1
0.53	18.9	0.0	0.00	0.01	4
1.05	16.1	5.7	0.00	0.01	4
1.57	16.1	0.0	0.00	0.00	4
2.10	16.1	0.0	0.00	0.00	4
2.62	19.0	0.0	0.00	0.00	4
3.14	19.0	1.9	0.00	1.50	4
3.66	19.0	7.7	0.00	34.72	4
4.19	19.0	9.6	0.00	39.78	4
4.71	19.0	5.7	0.00	36.39	4
5.23	19.0	7.7	0.00	38.03	4
5.75	19.0	5.7	0.00	32.23	4
6.27	19.0	7.7	0.00	37.88	4
6.80	19.0	5.7	0.00	36.50	4
7.32	19.0	7.7	0.00	32.16	4
7.84	19.0	7.7	0.00	38.14	4
8.36	19.0	7.7	0.00	37.88	4
8.88	16.7	5.8	0.00	17.11	4
9.41	16.7	0.0	0.00	0.00	4
9.93	16.7	0.0	0.00	0.00	4
10.45	19.6	0.0	0.00	0.00	4
10.97	16.8	5.7	0.00	0.00	4
11.49	16.8	0.0	0.00	0.00	4
12.02	9.5	0.0	0.00	0.00	3
12.54	19.6	1.9	0.00	0.00	4
13.06	17.6	1.9	0.00	0.01	4
13.58	17.6	0.0	0.00	0.00	4
14.10	482.8	427.4	0.00	0.00	5
14.63	1097.1	731.5	0.00	99.83	5
15.15	1098.9	799.9	0.00	1080.09	5
15.67	1098.9	802.0	0.00	1079.86	5
16.19	764.9	553.1	0.00	749.98	5
16.72	771.9	275.9	0.00	2081.04	5
17.24	21.2	248.9	0.00	571.79	5
17.76	21.2	815.1	0.00	43.11	5
18.28	21.6	817.4	0.00	42.14	5
18.81	21.6	815.5	0.00	42.93	5
19.33	21.6	817.9	0.00	44.09	5
19.85	21.6	817.4	0.00	43.53	5
20.37	21.2	404.2	0.00	35.56	5
20.89	21.2	815.3	0.00	43.70	5
21.42	21.5	819.7	0.00	42.88	5
21.94	21.5	816.3	0.00	43.58	5
22.46	21.5	819.7	0.00	44.57	5
22.98	21.5	819.1	0.00	44.64	5
23.51	0.0	0.0	0.00	0.00	0
