t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	11.6	0.0	0.00	0.00	1
0.53	131.9	2931.3	0.00	0.00	2
1.05	133.7	0.0	0.00	0.00	2
1.57	133.7	0.0	0.00	0.00	2
2.10	133.7	1.9	0.00	0.00	2
2.62	133.7	0.0	0.00	0.27	2
3.14	133.7	17.3	0.00	23.11	2
3.66	133.7	26.8	0.00	37.40	2
4.18	133.7	26.9	0.00	36.01	2
4.70	133.7	28.8	0.00	40.92	2
5.22	133.7	24.9	0.00	36.27	2
5.75	133.7	23.0	0.00	35.17	2
6.27	133.7	23.0	0.00	32.19	2
6.79	133.7	21.1	0.00	30.68	2
7.31	133.7	24.9	0.00	35.88	2
7.83	133.7	21.1	0.00	30.63	2
8.35	133.7	26.8	0.00	39.56	2
8.87	133.8	1.9	0.00	4.70	2
9.40	133.8	0.0	0.00	0.00	2
9.92	247.5	11.5	0.00	0.00	3
10.44	808.1	665.1	0.00	0.00	3
10.96	1193.2	766.5	0.00	587.69	3
11.48	1195.6	798.4	0.00	1120.59	3
12.01	1195.9	800.9	0.00	1128.18	3
12.53	874.8	350.6	0.00	2131.89	3
13.05	0.0	0.0	0.00	0.00	0
