t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	7.1	0.0	0.00	0.00	2
0.53	10.9	3.8	0.00	0.00	2
1.05	10.9	0.0	0.00	0.00	2
1.57	10.9	1.9	0.00	0.00	2
2.09	10.9	0.0	0.00	0.27	2
2.61	10.9	11.5	0.00	17.25	2
3.13	10.9	26.9	0.00	36.68	2
3.65	10.9	25.0	0.00	35.66	2
4.17	10.9	28.8	0.00	38.45	2
4.70	10.9	23.0	0.00	36.08	2
5.22	10.9	25.0	0.00	33.74	2
5.74	10.9	23.0	0.00	35.17	2
6.26	10.9	24.9	0.00	32.92	2
6.78	10.9	23.0	0.00	31.65	2
7.30	10.9	24.9	0.00	37.18	2
7.82	10.9	26.9	0.00	35.47	2
8.34	84.1	80.6	0.00	12.50	2
8.86	0.0	0.0	0.00	0.00	0
