panel	dataset	arm	tool	rep	wall_s	exit_code	status	peak_rss_mb	mean_rss_mb	mean_cpu_pct	peak_cpu_pct	cpu_core_s	read_total_mb	write_total_mb	mean_write_mbps	phase_setup_s	phase_data_s	phase_verify_s	bytes_verified	bytes_on_disk	files_on_disk	format	md5_ok	host	stamp
8-ENA	D2_subset	adaptiseq	adaptiseq	1	278.06	0	ok	52.2	49.8	12.5	179.8	34.86	0.0	2652.8	9.54	2.02	263.45	12.59	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-20T23:30:25
8-ENA	D2_subset	iseq	iseq	1	924.64	0	ok	22.4	14.6	2.8	101.2	26.20	0.0	2652.8	2.87	4.04	906.49	14.12	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-20T23:45:52
8-ENA	D2_subset	kingfisher	kingfisher	1	142.12	0	ok	136.6	127.0	54.7	228.1	77.97	0.1	2652.6	18.67	5.04	57.44	79.64	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-20T23:48:17
8-ENA	D2_subset	adaptiseq	adaptiseq	2	248.90	0	ok	52.3	49.9	14.8	188.2	36.97	0.0	2652.7	10.66	2.02	242.35	4.53	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-20T23:52:29
8-ENA	D2_subset	iseq	iseq	2	588.37	0	ok	22.3	14.6	4.0	103.2	23.49	0.0	2652.7	4.51	4.04	569.71	14.62	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-21T00:02:20
8-ENA	D2_subset	kingfisher	kingfisher	2	116.97	0	ok	136.5	126.1	64.7	230.0	75.98	0.0	2652.6	22.68	2.52	34.81	79.64	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-21T00:04:20
8-ENA	D2_subset	adaptiseq	adaptiseq	3	235.75	0	ok	53.7	49.3	12.7	190.4	30.01	0.0	2652.7	11.25	3.53	227.69	4.53	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-21T00:08:19
8-ENA	D2_subset	iseq	iseq	3	734.94	0	ok	22.1	14.5	3.2	103.2	23.54	0.0	2652.7	3.61	4.04	716.78	14.12	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-21T00:20:37
8-ENA	D2_subset	kingfisher	kingfisher	3	119.95	0	ok	136.3	126.0	62.3	227.7	74.99	0.0	2652.6	22.11	2.52	55.94	61.49	2652616379	2652616379	2	gz	1	Node-FIU	2026-07-21T00:22:39
8-SRA	SRR1031066	adaptiseq	adaptiseq	1	39.33	1	rc=1	1133.7	202.7	365.7	801.0	145.64	0.0	7795.7	198.21	2.52	20.69	16.12	1222886331	1222886331	3	sra	-	Node-FIU	2026-07-21T00:30:58
8-SRA	SRR1031066	iseq	iseq	1	38.82	1	rc=1	1094.3	177.0	369.1	801.2	145.20	0.0	7795.7	200.80	3.03	27.73	8.06	1222886331	1222886331	3	sra	-	Node-FIU	2026-07-21T00:31:37
8-SRA	SRR1031066	kingfisher	kingfisher	1	20.16	0	ok	1178.2	395.1	193.0	800.5	39.93	0.0	6956.4	345.03	12.09	7.57	0.5	3502250868	3502250868	2	sra	-	Node-FIU	2026-07-21T00:31:58
8-SRA	SRR1031066	prefetch	prefetch	1	13.60	0	ok	10.5	9.8	39.8	99.3	5.62	0.0	543.6	39.96	11.08	0.0	2.52	543564625	543564625	1	sra	-	Node-FIU	2026-07-21T00:32:12
8-SRA	SRR1031066	adaptiseq	adaptiseq	2	36.79	1	rc=1	1134.6	220.9	389.4	800.4	145.25	0.0	7785.6	211.61	2.02	27.22	7.55	1222886331	1222886331	3	sra	-	Node-FIU	2026-07-21T00:32:49
8-SRA	SRR1031066	iseq	iseq	2	35.81	1	rc=1	1094.2	177.7	395.9	805.7	143.75	0.0	13726.1	383.35	2.02	25.72	8.07	1222886331	1222886331	3	sra	-	Node-FIU	2026-07-21T00:33:25
8-SRA	SRR1031066	kingfisher	kingfisher	2	20.18	0	ok	1177.6	398.4	190.7	796.6	39.54	0.0	7116.2	352.63	12.09	6.57	1.51	3502250868	3502250868	2	sra	-	Node-FIU	2026-07-21T00:33:45
8-SRA	SRR1031066	prefetch	prefetch	2	13.60	0	ok	10.6	9.9	43.6	101.3	6.15	0.0	543.6	39.97	11.59	0.0	2.01	543564625	543564625	1	sra	-	Node-FIU	2026-07-21T00:34:00
8-SRA	SRR1031066	adaptiseq	adaptiseq	3	36.79	1	rc=1	1134.0	219.8	390.9	800.5	145.80	0.0	7789.9	211.75	2.02	19.66	15.11	1222886331	1222886331	3	sra	-	Node-FIU	2026-07-21T00:34:37
8-SRA	SRR1031066	iseq	iseq	3	34.81	1	rc=1	1094.3	183.1	400.5	801.8	141.46	0.0	7785.4	223.67	2.02	25.23	7.56	1222886331	1222886331	3	sra	-	Node-FIU	2026-07-21T00:35:12
8-SRA	SRR1031066	kingfisher	kingfisher	3	19.66	0	ok	1178.3	384.0	199.4	796.8	40.25	0.0	6241.0	317.47	11.59	6.56	1.51	3502250868	3502250868	2	sra	-	Node-FIU	2026-07-21T00:35:32
8-SRA	SRR1031066	prefetch	prefetch	3	14.10	0	ok	10.5	9.8	41.6	101.3	6.08	0.0	543.6	38.54	11.59	0.0	2.52	543564625	543564625	1	sra	-	Node-FIU	2026-07-21T00:35:46
