t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	6.0	0.0	0.00	0.00	1
0.50	52.7	190.4	0.00	0.00	2
1.01	53.7	0.0	0.00	0.00	2
1.51	45.9	2.0	0.00	0.02	1
2.02	45.9	0.0	0.00	0.00	1
2.52	45.9	0.0	0.00	0.00	1
3.02	45.9	0.0	0.00	0.00	1
3.53	46.1	0.0	0.00	0.10	1
4.03	46.9	4.0	0.00	2.68	1
4.53	48.9	17.9	0.00	35.41	1
5.04	49.4	33.8	0.00	84.53	1
5.54	49.1	63.6	0.00	159.30	1
6.04	49.7	63.6	0.00	153.25	1
6.55	49.7	61.6	0.00	130.79	1
7.05	49.7	63.5	0.00	121.34	1
7.55	49.7	65.5	0.00	124.65	1
8.06	49.7	67.5	0.00	128.22	1
8.56	49.7	69.5	0.00	131.01	1
9.06	49.7	69.5	0.00	131.02	1
9.57	49.7	65.5	0.00	124.68	1
10.07	49.7	63.6	0.00	129.29	1
10.58	49.7	67.5	0.00	122.15	1
11.08	49.7	57.6	0.00	114.70	1
11.58	49.7	61.4	0.00	109.43	1
12.09	49.7	55.6	0.00	98.54	1
12.59	49.7	57.6	0.00	93.02	1
13.09	49.7	57.6	0.00	92.54	1
13.60	49.7	55.6	0.00	90.13	1
14.10	49.7	61.6	0.00	89.82	1
14.61	49.7	57.6	0.00	91.57	1
15.11	49.7	59.6	0.00	89.59	1
15.61	49.7	59.5	0.00	90.06	1
16.12	49.7	55.6	0.00	90.30	1
16.62	49.7	61.6	0.00	90.50	1
17.12	49.7	47.7	0.00	82.52	1
17.63	49.9	29.8	0.00	58.41	1
18.13	49.9	25.8	0.00	32.81	1
18.63	49.9	27.8	0.00	27.70	1
19.14	49.9	23.8	0.00	25.83	1
19.64	49.9	29.8	0.00	22.13	1
20.14	49.9	25.8	0.00	22.79	1
20.65	49.9	21.8	0.00	21.86	1
21.15	49.9	21.9	0.00	17.40	1
21.65	49.9	17.9	0.00	15.61	1
22.16	49.9	19.9	0.00	13.88	1
22.66	49.9	19.9	0.00	14.66	1
23.17	49.9	19.9	0.00	15.25	1
23.67	49.9	17.9	0.00	14.02	1
24.17	49.9	19.9	0.00	13.85	1
24.68	49.9	17.9	0.00	13.96	1
25.18	49.9	19.9	0.00	14.63	1
25.68	49.9	21.8	0.00	14.19	1
26.19	49.9	19.9	0.00	14.34	1
26.69	49.9	19.9	0.00	15.03	1
27.19	49.9	17.9	0.00	14.62	1
27.70	49.9	19.9	0.00	14.73	1
28.20	49.9	21.8	0.00	14.99	1
28.70	49.9	17.9	0.00	13.80	1
29.21	49.9	17.9	0.00	13.56	1
29.71	49.9	15.9	0.00	12.82	1
30.21	49.9	13.9	0.00	12.53	1
30.72	49.9	13.9	0.00	10.52	1
31.22	49.9	13.9	0.00	10.54	1
31.72	49.9	13.9	0.00	10.87	1
32.23	49.9	17.9	0.00	10.96	1
32.73	49.9	13.9	0.00	11.47	1
33.24	49.9	15.9	0.00	11.29	1
33.74	49.9	15.9	0.00	11.69	1
34.24	49.9	15.9	0.00	11.95	1
34.75	49.9	15.9	0.00	12.04	1
35.25	49.9	15.9	0.00	12.17	1
35.75	49.9	17.9	0.00	12.46	1
36.26	49.9	11.9	0.00	11.46	1
36.76	49.9	13.9	0.00	9.62	1
37.26	49.9	13.9	0.00	10.03	1
37.77	49.9	9.9	0.00	10.19	1
38.27	49.9	7.9	0.00	5.12	1
38.77	50.0	0.0	0.00	2.61	1
39.28	49.7	9.9	0.00	14.97	1
39.78	49.7	9.9	0.00	7.71	1
40.29	49.7	9.9	0.00	8.90	1
40.79	49.7	9.9	0.00	8.96	1
41.29	49.7	9.9	0.00	8.96	1
41.80	49.7	9.9	0.00	9.18	1
42.30	49.7	11.9	0.00	8.98	1
42.80	49.7	11.9	0.00	9.05	1
43.31	49.7	11.9	0.00	8.87	1
43.81	49.7	7.9	0.00	7.94	1
44.32	49.7	9.9	0.00	8.01	1
44.82	49.7	11.9	0.00	8.16	1
45.32	49.7	7.9	0.00	7.77	1
45.83	49.7	7.9	0.00	7.65	1
46.33	49.7	11.9	0.00	7.63	1
46.83	49.7	7.9	0.00	6.70	1
47.34	49.7	7.9	0.00	6.44	1
47.84	49.7	7.9	0.00	6.30	1
48.34	49.7	9.9	0.00	6.53	1
48.85	49.7	9.9	0.00	6.49	1
49.35	49.7	7.9	0.00	6.84	1
49.86	49.7	9.9	0.00	6.37	1
50.36	49.7	7.9	0.00	6.46	1
50.86	49.7	7.9	0.00	5.87	1
51.37	49.7	9.9	0.00	6.86	1
51.87	49.7	7.9	0.00	7.04	1
52.37	49.7	9.9	0.00	6.95	1
52.88	49.7	9.9	0.00	7.19	1
53.38	49.7	7.9	0.00	6.37	1
53.89	49.4	7.9	0.00	6.08	1
54.39	49.4	9.9	0.00	5.74	1
54.89	49.4	7.9	0.00	6.05	1
55.40	49.4	7.9	0.00	5.91	1
55.90	49.4	7.9	0.00	6.09	1
56.40	49.4	9.9	0.00	6.60	1
56.91	49.4	9.9	0.00	6.89	1
57.41	49.4	7.9	0.00	7.02	1
57.91	49.4	11.9	0.00	7.58	1
