t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	3.4	0.0	0.00	0.00	1
0.50	17.2	0.0	0.00	0.01	4
1.01	22.2	0.0	0.00	0.02	7
1.51	22.2	0.0	0.00	0.00	7
2.02	22.2	0.0	0.00	0.00	7
2.52	14.5	0.0	0.00	0.01	4
3.03	14.5	0.0	0.00	0.00	4
3.53	14.5	0.0	0.00	0.00	4
4.04	14.5	0.0	0.00	0.03	4
4.54	14.5	0.0	0.00	1.64	4
5.05	14.5	2.0	0.00	11.54	4
5.55	14.5	7.9	0.00	37.81	4
6.05	14.5	9.9	0.00	28.61	4
6.56	14.5	7.9	0.00	25.12	4
7.06	14.5	5.9	0.00	20.56	4
7.57	14.5	4.0	0.00	15.75	4
8.08	14.5	5.9	0.00	14.87	4
8.58	14.5	4.0	0.00	15.43	4
9.09	14.5	5.9	0.00	16.50	4
9.59	14.5	6.0	0.00	16.86	4
10.09	14.5	4.0	0.00	17.17	4
10.60	14.5	6.0	0.00	16.77	4
11.10	14.5	4.0	0.00	16.19	4
11.61	14.5	6.0	0.00	17.01	4
12.11	14.5	5.9	0.00	17.76	4
12.62	14.5	5.9	0.00	18.03	4
13.12	14.5	2.0	0.00	13.22	4
13.63	14.5	4.0	0.00	9.24	4
14.13	14.5	4.0	0.00	8.78	4
14.64	14.5	2.0	0.00	9.38	4
15.14	14.5	4.0	0.00	9.51	4
15.64	14.5	0.0	0.00	4.85	4
16.15	14.5	0.0	0.00	0.00	4
16.65	14.5	0.0	0.00	0.19	4
17.16	14.5	2.0	0.00	5.57	4
17.66	14.5	4.0	0.00	7.84	4
18.17	14.5	2.0	0.00	6.43	4
18.67	14.5	4.0	0.00	8.23	4
19.17	14.5	2.0	0.00	8.37	4
19.68	14.5	4.0	0.00	5.99	4
20.18	14.5	2.0	0.00	8.45	4
20.69	14.5	2.0	0.00	6.33	4
21.19	14.5	2.0	0.00	5.48	4
21.70	14.5	2.0	0.00	6.03	4
22.20	14.5	2.0	0.00	4.88	4
22.71	14.5	0.0	0.00	5.12	4
23.21	14.5	2.0	0.00	5.29	4
23.71	14.5	2.0	0.00	5.43	4
24.22	14.5	2.0	0.00	5.22	4
24.72	14.5	2.0	0.00	4.06	4
25.23	14.5	4.0	0.00	5.08	4
25.73	14.5	0.0	0.00	4.23	4
26.24	14.5	2.0	0.00	4.39	4
26.74	14.5	2.0	0.00	4.50	4
27.24	14.5	0.0	0.00	4.31	4
27.75	14.5	2.0	0.00	3.21	4
28.25	14.5	2.0	0.00	3.09	4
28.76	14.5	0.0	0.00	3.55	4
29.26	14.5	2.0	0.00	3.77	4
29.77	14.5	2.0	0.00	3.83	4
30.27	14.5	2.0	0.00	3.88	4
30.77	14.5	2.0	0.00	3.88	4
31.28	14.5	2.0	0.00	3.46	4
31.78	14.5	2.0	0.00	3.84	4
32.29	14.5	2.0	0.00	3.88	4
32.79	14.5	2.0	0.00	3.89	4
33.30	14.5	0.0	0.00	3.28	4
33.80	14.5	2.0	0.00	2.89	4
34.30	14.5	4.0	0.00	3.20	4
34.81	14.5	2.0	0.00	3.05	4
35.31	14.5	0.0	0.00	2.93	4
35.82	14.5	2.0	0.00	3.18	4
36.32	14.5	0.0	0.00	2.37	4
36.83	14.5	2.0	0.00	2.04	4
37.33	14.5	0.0	0.00	1.96	4
37.83	14.5	2.0	0.00	1.43	4
38.34	14.5	0.0	0.00	1.58	4
38.84	14.5	2.0	0.00	1.71	4
39.35	14.5	0.0	0.00	1.73	4
39.85	14.5	0.0	0.00	1.83	4
40.36	14.5	2.0	0.00	1.82	4
40.86	14.5	0.0	0.00	1.82	4
41.36	14.5	2.0	0.00	1.66	4
41.87	14.5	2.0	0.00	1.74	4
42.37	14.5	0.0	0.00	1.84	4
42.88	14.5	2.0	0.00	1.79	4
43.38	14.5	0.0	0.00	1.90	4
43.88	14.5	2.0	0.00	1.95	4
44.39	14.5	0.0	0.00	2.00	4
44.89	14.5	2.0	0.00	1.95	4
45.40	14.5	0.0	0.00	2.06	4
45.90	14.5	2.0	0.00	2.30	4
46.40	14.5	4.0	0.00	2.49	4
46.91	14.5	0.0	0.00	2.68	4
47.41	14.5	2.0	0.00	3.08	4
47.92	14.5	4.0	0.00	3.43	4
48.42	14.5	2.0	0.00	3.54	4
48.93	14.5	2.0	0.00	4.13	4
49.43	14.5	2.0	0.00	4.69	4
49.93	14.5	2.0	0.00	5.30	4
50.44	14.5	2.0	0.00	5.81	4
50.94	14.5	4.0	0.00	6.77	4
51.45	14.5	2.0	0.00	7.66	4
51.95	14.5	2.0	0.00	7.16	4
52.46	14.5	2.0	0.00	4.90	4
52.96	14.5	2.0	0.00	3.96	4
53.46	14.5	2.0	0.00	4.07	4
53.97	14.5	2.0	0.00	3.49	4
54.47	14.5	2.0	0.00	3.58	4
54.98	14.5	2.0	0.00	3.65	4
55.48	14.5	4.0	0.00	3.82	4
55.99	14.5	0.0	0.00	3.89	4
56.49	14.5	2.0	0.00	3.95	4
56.99	14.5	2.0	0.00	3.86	4
57.50	14.5	2.0	0.00	3.94	4
58.00	14.5	2.0	0.00	3.95	4
58.51	14.5	0.0	0.00	3.37	4
59.01	14.5	2.0	0.00	2.91	4
59.52	14.5	2.0	0.00	3.23	4
60.02	14.5	0.0	0.00	1.29	4
60.52	14.5	0.0	0.00	0.00	4
61.03	14.5	0.0	0.00	0.00	4
61.53	14.5	0.0	0.00	0.00	4
62.04	14.5	0.0	0.00	0.44	4
62.54	14.5	2.0	0.00	3.33	4
63.04	14.5	0.0	0.00	3.00	4
63.55	14.5	2.0	0.00	3.84	4
64.05	14.5	0.0	0.00	3.94	4
64.56	14.5	2.0	0.00	3.99	4
65.06	14.5	0.0	0.00	4.03	4
65.56	14.5	2.0	0.00	4.06	4
66.07	14.5	2.0	0.00	3.25	4
66.57	14.5	0.0	0.00	4.05	4
67.08	14.5	2.0	0.00	4.04	4
67.58	14.5	0.0	0.00	4.05	4
68.08	14.5	2.0	0.00	4.06	4
68.59	14.5	4.0	0.00	4.08	4
69.09	14.5	0.0	0.00	3.89	4
69.60	14.5	2.0	0.00	3.60	4
70.10	14.5	0.0	0.00	4.24	4
70.61	14.5	2.0	0.00	4.36	4
71.11	14.5	2.0	0.00	4.48	4
71.61	14.5	2.0	0.00	4.70	4
72.12	14.5	2.0	0.00	4.92	4
72.62	14.5	0.0	0.00	4.36	4
73.13	14.5	4.0	0.00	5.35	4
73.63	14.5	2.0	0.00	5.83	4
74.13	14.5	2.0	0.00	6.33	4
74.64	14.5	2.0	0.00	6.82	4
75.14	14.5	2.0	0.00	7.43	4
75.65	14.5	4.0	0.00	7.71	4
76.15	14.5	4.0	0.00	7.78	4
76.66	14.5	4.0	0.00	9.18	4
77.16	14.5	2.0	0.00	8.91	4
77.66	14.5	2.0	0.00	5.64	4
78.17	14.5	4.0	0.00	5.45	4
78.67	14.5	2.0	0.00	5.49	4
79.18	14.5	2.0	0.00	5.30	4
79.68	14.5	2.0	0.00	5.95	4
80.19	14.5	0.0	0.00	1.79	4
80.69	14.5	0.0	0.00	0.00	4
81.19	14.5	0.0	0.00	0.00	4
81.70	14.5	0.0	0.00	0.00	4
82.20	14.5	0.0	0.00	0.00	4
82.70	14.5	0.0	0.00	0.88	4
83.21	14.5	2.0	0.00	4.55	4
83.71	14.5	2.0	0.00	6.25	4
84.22	14.5	2.0	0.00	6.29	4
84.72	14.5	2.0	0.00	6.35	4
85.23	14.5	2.0	0.00	6.28	4
85.73	14.5	2.0	0.00	6.34	4
86.24	14.5	2.0	0.00	6.33	4
86.74	14.5	2.0	0.00	5.14	4
87.24	14.5	2.0	0.00	6.31	4
87.75	14.5	2.0	0.00	6.33	4
88.25	14.5	2.0	0.00	6.39	4
88.76	14.5	2.0	0.00	6.42	4
89.26	14.5	2.0	0.00	6.50	4
89.76	14.5	2.0	0.00	6.41	4
90.27	14.5	2.0	0.00	5.85	4
90.77	14.5	2.0	0.00	6.84	4
91.28	14.5	2.0	0.00	7.11	4
91.78	14.5	2.0	0.00	6.13	4
92.29	14.5	0.0	0.00	0.00	4
92.79	14.5	0.0	0.00	0.00	4
93.29	14.5	0.0	0.00	0.00	4
93.80	14.5	0.0	0.00	0.00	4
94.30	14.5	0.0	0.00	0.00	4
94.80	14.5	0.0	0.00	0.00	4
95.31	14.5	0.0	0.00	0.03	4
95.81	14.5	0.0	0.00	0.86	4
96.32	14.5	2.0	0.00	7.11	4
96.82	14.5	2.0	0.00	8.43	4
97.33	14.5	2.0	0.00	8.92	4
97.83	14.5	2.0	0.00	9.50	4
98.33	14.5	4.0	0.00	10.09	4
98.84	14.5	2.0	0.00	9.43	4
99.34	14.5	4.0	0.00	10.68	4
99.85	14.5	0.0	0.00	5.91	4
100.35	14.5	4.0	0.00	9.20	4
100.85	14.5	2.0	0.00	6.40	4
101.36	14.5	2.0	0.00	6.71	4
101.86	14.5	2.0	0.00	5.90	4
102.37	14.5	2.0	0.00	6.81	4
102.87	14.5	0.0	0.00	6.13	4
103.38	14.5	4.0	0.00	5.08	4
103.88	14.5	2.0	0.00	3.81	4
104.38	14.5	2.0	0.00	3.93	4
104.89	14.5	2.0	0.00	3.94	4
105.39	14.5	0.0	0.00	3.76	4
105.90	14.5	4.0	0.00	4.33	4
106.40	14.5	2.0	0.00	4.42	4
106.90	14.5	2.0	0.00	4.47	4
107.41	14.5	2.0	0.00	4.47	4
107.91	14.5	2.0	0.00	3.78	4
108.42	14.5	0.0	0.00	1.98	4
108.92	14.5	2.0	0.00	1.65	4
109.42	14.5	0.0	0.00	1.77	4
109.93	14.5	2.0	0.00	1.85	4
110.43	14.5	0.0	0.00	1.91	4
110.94	14.5	2.0	0.00	1.84	4
111.44	14.5	0.0	0.00	1.91	4
111.95	14.5	0.0	0.00	1.75	4
112.45	14.5	0.0	0.00	1.93	4
112.95	14.5	2.0	0.00	1.87	4
113.46	14.5	0.0	0.00	1.60	4
113.96	14.5	0.0	0.00	0.00	4
114.47	14.5	0.0	0.00	0.00	4
114.97	14.5	0.0	0.00	0.00	4
115.47	14.5	0.0	0.00	0.00	4
115.98	14.5	0.0	0.00	0.00	4
116.48	14.5	0.0	0.00	0.00	4
116.99	14.5	0.0	0.00	0.00	4
117.49	14.5	0.0	0.00	0.00	4
117.99	14.5	0.0	0.00	0.00	4
118.50	14.5	0.0	0.00	0.00	4
119.00	14.5	0.0	0.00	0.00	4
119.50	14.5	0.0	0.00	0.00	4
120.01	14.5	0.0	0.00	0.00	4
120.51	14.5	0.0	0.00	0.00	4
121.02	14.5	0.0	0.00	0.03	4
121.52	14.5	0.0	0.00	0.10	4
122.02	14.5	0.0	0.00	0.57	4
122.53	14.5	2.0	0.00	1.96	4
123.03	14.5	0.0	0.00	1.63	4
123.54	14.5	2.0	0.00	2.07	4
124.04	14.5	0.0	0.00	2.11	4
124.54	14.5	2.0	0.00	2.23	4
125.05	14.5	0.0	0.00	2.32	4
125.55	14.5	2.0	0.00	2.53	4
126.05	14.5	0.0	0.00	2.41	4
126.56	14.5	2.0	0.00	2.82	4
127.06	14.5	2.0	0.00	3.21	4
127.57	14.5	2.0	0.00	3.63	4
128.07	14.5	2.0	0.00	4.04	4
128.57	14.5	2.0	0.00	4.52	4
129.08	14.5	2.0	0.00	5.11	4
129.58	14.5	4.0	0.00	5.10	4
130.09	14.5	0.0	0.00	6.01	4
130.59	14.5	4.0	0.00	6.92	4
131.09	14.5	4.0	0.00	8.01	4
131.60	14.5	4.0	0.00	8.95	4
132.10	14.5	4.0	0.00	9.98	4
132.61	14.5	4.0	0.00	10.62	4
133.11	14.5	4.0	0.00	11.13	4
133.61	14.5	4.0	0.00	13.48	4
134.12	14.5	4.0	0.00	14.57	4
134.62	14.5	4.0	0.00	16.70	4
135.13	14.5	5.9	0.00	18.44	4
135.63	14.5	4.0	0.00	20.32	4
136.14	14.5	2.0	0.00	5.04	4
136.64	14.5	0.0	0.00	0.00	4
137.14	14.5	0.0	0.00	0.00	4
137.65	14.5	0.0	0.00	0.00	4
138.15	14.5	0.0	0.00	0.00	4
138.66	14.5	0.0	0.00	0.00	4
139.16	14.5	0.0	0.00	0.00	4
139.66	14.5	0.0	0.00	0.09	4
140.17	14.5	0.0	0.00	3.56	4
140.67	14.5	6.0	0.00	19.34	4
141.18	14.5	4.0	0.00	24.06	4
141.68	14.5	5.9	0.00	20.01	4
142.19	14.5	5.9	0.00	21.08	4
142.69	14.5	4.0	0.00	21.98	4
143.19	14.5	4.0	0.00	21.96	4
143.70	14.5	7.9	0.00	20.92	4
144.20	14.5	5.9	0.00	23.12	4
144.71	14.5	2.0	0.00	19.84	4
145.21	14.5	5.9	0.00	17.82	4
145.72	14.5	5.9	0.00	18.27	4
146.22	14.5	6.0	0.00	18.91	4
146.73	14.5	4.0	0.00	17.69	4
147.23	14.5	5.9	0.00	18.01	4
147.74	14.5	4.0	0.00	17.91	4
148.24	14.5	4.0	0.00	12.15	4
148.75	14.5	4.0	0.00	10.32	4
149.25	14.5	2.0	0.00	10.64	4
149.75	14.5	4.0	0.00	10.24	4
150.26	14.5	4.0	0.00	10.85	4
150.76	14.5	2.0	0.00	9.43	4
151.27	14.5	4.0	0.00	8.17	4
151.77	14.5	2.0	0.00	8.46	4
152.28	14.5	2.0	0.00	7.19	4
152.78	14.5	2.0	0.00	4.35	4
153.28	14.5	2.0	0.00	3.76	4
153.79	14.5	0.0	0.00	2.75	4
154.29	14.5	2.0	0.00	2.45	4
154.80	14.5	0.0	0.00	2.64	4
155.30	14.5	2.0	0.00	2.74	4
155.80	14.5	4.0	0.00	2.80	4
156.31	14.5	0.0	0.00	2.78	4
156.81	14.5	4.0	0.00	2.73	4
157.32	14.5	2.0	0.00	2.81	4
157.82	14.5	2.0	0.00	2.83	4
158.33	14.5	0.0	0.00	2.81	4
158.83	14.5	2.0	0.00	2.89	4
159.33	14.5	2.0	0.00	2.89	4
159.84	14.5	2.0	0.00	2.90	4
160.34	14.5	2.0	0.00	2.74	4
160.85	14.5	4.0	0.00	2.88	4
161.35	14.5	2.0	0.00	3.02	4
161.85	14.5	2.0	0.00	3.03	4
162.36	14.5	0.0	0.00	3.27	4
162.86	14.5	2.0	0.00	3.38	4
163.37	14.5	2.0	0.00	3.50	4
163.87	14.5	2.0	0.00	3.72	4
164.37	14.5	2.0	0.00	4.01	4
164.88	14.5	2.0	0.00	4.41	4
165.38	14.5	2.0	0.00	4.21	4
165.89	14.5	2.0	0.00	3.64	4
166.39	14.5	2.0	0.00	3.92	4
166.89	14.5	2.0	0.00	4.06	4
167.40	14.5	2.0	0.00	4.24	4
167.90	14.5	4.0	0.00	4.36	4
168.41	14.5	2.0	0.00	4.65	4
168.91	14.5	2.0	0.00	4.64	4
169.41	14.5	4.0	0.00	4.75	4
169.92	14.5	4.0	0.00	4.85	4
170.42	14.5	2.0	0.00	4.83	4
170.93	14.5	2.0	0.00	4.70	4
171.43	14.5	2.0	0.00	4.76	4
171.93	14.5	2.0	0.00	4.00	4
172.44	14.5	2.0	0.00	3.69	4
172.94	14.5	0.0	0.00	2.23	4
173.45	14.5	2.0	0.00	2.82	4
173.95	14.5	0.0	0.00	1.63	4
174.46	14.5	2.0	0.00	1.59	4
174.96	14.5	0.0	0.00	1.69	4
175.46	14.5	2.0	0.00	1.75	4
175.97	14.5	0.0	0.00	1.77	4
176.47	14.5	2.0	0.00	1.79	4
176.98	14.5	2.0	0.00	1.77	4
177.48	14.5	0.0	0.00	1.76	4
177.98	14.5	4.0	0.00	1.82	4
178.49	14.5	0.0	0.00	1.82	4
178.99	14.5	2.0	0.00	1.85	4
179.50	14.5	2.0	0.00	1.87	4
180.00	14.5	0.0	0.00	1.50	4
180.50	14.5	0.0	0.00	1.42	4
181.01	14.5	2.0	0.00	1.63	4
181.51	14.5	2.0	0.00	1.71	4
182.02	14.5	0.0	0.00	1.82	4
182.52	14.5	2.0	0.00	1.83	4
183.02	14.5	0.0	0.00	1.87	4
183.53	14.5	2.0	0.00	1.86	4
184.03	14.5	2.0	0.00	1.85	4
184.54	14.5	0.0	0.00	1.88	4
185.04	14.5	2.0	0.00	1.89	4
185.54	14.5	0.0	0.00	1.93	4
186.05	14.5	2.0	0.00	1.91	4
186.55	14.5	0.0	0.00	1.89	4
187.06	14.5	2.0	0.00	1.97	4
187.56	14.5	2.0	0.00	1.92	4
188.06	14.5	0.0	0.00	2.12	4
188.57	14.5	2.0	0.00	1.67	4
189.07	14.5	0.0	0.00	1.75	4
189.58	14.5	2.0	0.00	1.88	4
190.08	14.5	0.0	0.00	1.95	4
190.58	14.5	2.0	0.00	2.09	4
191.09	14.5	0.0	0.00	2.05	4
