t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	6.2	0.0	0.00	0.00	1
0.50	122.5	230.0	0.00	0.00	2
1.01	126.5	7.9	0.00	0.00	2
1.51	131.6	2.0	0.00	0.00	3
2.02	131.6	0.0	0.00	0.00	3
2.52	131.6	0.0	0.00	0.01	3
3.02	131.6	0.0	0.00	0.00	3
3.53	131.9	0.0	0.00	0.00	3
4.03	132.8	0.0	0.00	2.08	3
4.54	132.7	4.0	0.00	18.72	3
5.04	132.7	2.0	0.00	16.64	3
5.55	132.7	2.0	0.00	14.55	3
6.05	132.7	2.0	0.00	10.40	3
6.55	132.7	0.0	0.00	0.00	3
7.06	132.7	0.0	0.00	0.00	3
7.56	132.7	0.0	0.00	0.00	3
8.06	132.7	0.0	0.00	0.00	3
8.57	132.7	0.0	0.00	0.00	3
9.07	132.7	0.0	0.00	0.00	3
9.58	134.7	6.0	0.00	14.57	3
10.08	135.1	13.9	0.00	124.77	3
10.59	135.7	23.8	0.00	184.88	3
11.09	135.5	25.7	0.00	177.99	3
11.60	136.2	25.7	0.00	186.74	3
12.10	136.2	21.8	0.00	170.19	3
12.61	136.2	23.8	0.00	145.44	3
13.11	136.2	23.8	0.00	138.59	3
13.62	136.2	19.8	0.00	121.11	3
14.12	136.2	19.8	0.00	99.73	3
14.63	136.3	21.8	0.00	105.81	3
15.13	136.3	19.8	0.00	105.96	3
15.64	136.3	21.8	0.00	108.06	3
16.14	136.3	17.8	0.00	105.97	3
16.65	136.3	13.9	0.00	76.89	3
17.15	136.3	9.9	0.00	54.02	3
17.65	136.3	7.9	0.00	49.87	3
18.16	136.3	11.9	0.00	47.80	3
18.66	136.3	9.9	0.00	47.79	3
19.17	136.3	9.9	0.00	31.16	3
19.67	136.3	7.9	0.00	68.58	3
20.18	136.3	9.9	0.00	62.33	3
20.68	136.3	11.9	0.00	54.02	3
21.19	136.3	9.9	0.00	27.01	3
21.69	136.3	7.9	0.00	43.65	3
22.20	136.3	9.9	0.00	74.75	3
22.70	136.3	4.0	0.00	12.47	3
23.21	136.3	4.0	0.00	8.31	3
23.71	136.3	0.0	0.00	4.16	3
24.21	136.3	4.0	0.00	8.32	3
24.72	136.3	2.0	0.00	6.24	3
25.22	136.3	2.0	0.00	4.16	3
25.73	136.3	2.0	0.00	6.24	3
26.23	136.3	2.0	0.00	2.08	3
26.73	136.3	2.0	0.00	2.08	3
27.24	136.3	2.0	0.00	4.16	3
27.74	136.3	2.0	0.00	12.48	3
28.25	136.3	2.0	0.00	16.63	3
28.75	136.3	4.0	0.00	14.57	3
29.26	136.3	4.0	0.00	8.32	3
29.76	136.3	0.0	0.00	2.08	3
30.26	136.3	2.0	0.00	4.16	3
30.77	136.3	0.0	0.00	2.08	3
31.27	136.3	4.0	0.00	4.16	3
31.78	136.3	0.0	0.00	2.08	3
32.28	136.3	2.0	0.00	2.08	3
32.78	136.3	2.0	0.00	4.16	3
33.29	136.3	31.7	0.00	2.08	3
33.79	113.8	94.9	0.00	0.00	1
34.30	113.8	100.9	0.00	0.00	1
34.80	113.8	98.9	0.00	0.00	1
35.31	113.8	100.9	0.00	0.00	1
35.81	113.8	100.9	0.00	0.00	1
36.32	131.4	5.9	0.00	0.00	3
36.82	131.4	0.0	0.00	0.00	3
37.33	131.4	0.0	0.00	0.01	3
37.83	131.4	0.0	0.00	0.00	3
38.33	131.4	0.0	0.00	0.00	3
38.84	131.4	0.0	0.00	0.00	3
39.34	132.5	2.0	0.00	6.24	3
39.85	133.8	2.0	0.00	31.21	3
40.35	134.7	9.9	0.00	70.67	3
40.86	135.3	17.8	0.00	143.23	3
41.36	136.4	21.8	0.00	155.68	3
41.87	136.3	25.8	0.00	162.08	3
42.37	136.5	21.8	0.00	145.45	3
42.88	136.5	19.8	0.00	118.26	3
43.38	136.0	19.8	0.00	109.85	3
43.89	136.3	19.8	0.00	107.90	3
