t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	6.1	0.0	0.00	0.00	1
0.50	52.4	190.1	0.00	0.00	2
1.01	50.0	4.0	0.00	0.02	2
1.51	50.0	2.0	0.00	0.00	2
2.02	46.0	4.0	0.00	0.32	1
2.52	47.0	17.9	0.00	41.40	1
3.02	47.1	17.9	0.00	48.43	1
3.53	47.1	21.8	0.00	59.73	1
4.03	47.3	23.8	0.00	49.98	1
4.53	47.3	21.9	0.00	50.01	1
5.04	47.3	23.8	0.00	55.27	1
5.54	47.3	21.9	0.00	49.23	1
6.04	47.4	25.8	0.00	58.64	1
6.55	47.4	21.8	0.00	53.48	1
7.05	47.4	21.8	0.00	50.26	1
7.55	47.4	19.9	0.00	49.72	1
8.06	47.2	25.8	0.00	57.63	1
8.56	47.5	21.8	0.00	46.00	1
9.07	47.5	25.8	0.00	51.17	1
9.57	47.5	25.8	0.00	61.64	1
10.07	47.5	23.8	0.00	50.08	1
10.58	47.8	27.8	0.00	65.05	1
11.08	47.7	19.9	0.00	44.02	1
11.58	47.7	21.8	0.00	49.21	1
12.09	48.0	21.8	0.00	57.16	1
12.59	53.6	21.9	0.00	31.17	2
13.09	64.7	0.0	0.00	0.00	5
13.60	53.6	6.0	0.00	0.00	2
14.10	64.4	2.0	0.00	0.00	5
14.61	53.7	6.0	0.00	0.00	2
15.11	53.7	0.0	0.00	0.00	2
15.61	54.2	2.0	0.00	0.01	2
16.12	522.8	77.4	0.00	0.00	3
16.62	1018.7	249.7	0.00	87.29	3
17.13	1131.8	780.4	0.00	892.74	3
17.63	1132.4	797.4	0.00	963.03	3
18.14	1133.2	793.4	0.00	970.84	3
18.64	1134.0	795.7	0.00	976.81	3
19.15	1134.0	793.3	0.00	961.32	3
19.65	1134.0	797.5	0.00	967.02	3
20.16	1094.9	746.2	0.00	904.93	3
20.66	934.6	245.4	0.00	880.12	3
21.17	934.6	269.3	0.00	1816.83	3
21.67	934.6	275.2	0.00	1815.55	3
22.18	934.6	271.2	0.00	1773.37	3
22.68	54.9	490.7	0.00	28.31	2
23.19	54.9	798.0	0.00	48.00	2
23.69	54.9	794.4	0.00	50.06	2
24.20	54.9	796.2	0.00	46.41	2
24.70	54.9	797.0	0.00	51.38	2
25.20	54.9	800.5	0.00	45.72	2
25.71	54.9	798.4	0.00	50.31	2
26.21	54.9	800.4	0.00	47.46	2
26.71	54.9	788.4	0.00	47.54	2
27.22	54.9	796.5	0.00	50.38	2
27.72	54.9	798.4	0.00	46.00	2
28.22	54.9	800.0	0.00	50.48	2
28.73	54.9	793.8	0.00	45.74	2
29.23	54.9	798.1	0.00	50.20	2
29.74	54.9	162.4	0.00	16.86	2
30.24	54.9	797.8	0.00	48.82	2
30.75	54.9	798.4	0.00	54.57	2
31.25	54.9	788.5	0.00	47.59	2
31.75	54.9	798.5	0.00	53.02	2
32.26	54.9	798.1	0.00	50.06	2
32.76	54.9	798.4	0.00	51.44	2
33.26	54.9	794.4	0.00	52.14	2
33.77	54.9	777.4	0.00	48.56	2
34.27	54.9	798.4	0.00	54.45	2
34.77	54.9	786.4	0.00	47.67	2
35.28	54.9	796.1	0.00	54.23	2
35.78	54.9	796.2	0.00	47.58	2
36.28	54.9	800.4	0.00	52.78	2
36.79	0.0	0.0	0.00	0.00	0
