t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	3.4	0.0	0.00	0.00	1
0.50	18.6	0.0	0.00	0.01	4
1.01	14.7	5.9	0.00	0.02	4
1.51	17.7	0.0	0.00	0.00	4
2.02	18.1	5.9	0.00	24.58	4
2.52	18.1	17.8	0.00	58.55	4
3.03	18.1	15.9	0.00	51.46	4
3.53	18.1	15.9	0.00	63.03	4
4.04	18.1	13.9	0.00	51.88	4
4.54	18.1	17.9	0.00	66.55	4
5.04	18.1	13.9	0.00	48.30	4
5.55	18.1	15.9	0.00	58.67	4
6.05	18.1	13.9	0.00	45.17	4
6.56	18.1	13.9	0.00	50.95	4
7.06	18.1	17.9	0.00	59.15	4
7.56	18.1	13.9	0.00	53.53	4
8.07	18.1	13.9	0.00	52.45	4
8.57	18.1	17.9	0.00	58.66	4
9.08	18.1	11.9	0.00	47.83	4
9.58	18.1	15.9	0.00	58.53	4
10.08	18.1	17.9	0.00	61.10	4
10.59	18.1	13.9	0.00	51.91	4
11.09	18.1	11.9	0.00	45.10	4
11.60	18.1	13.9	0.00	45.72	4
12.10	15.5	6.0	0.00	25.08	4
12.61	17.8	0.0	0.00	0.00	4
13.11	15.6	5.9	0.00	0.00	4
13.61	19.0	2.0	0.00	0.00	4
14.12	202.3	39.6	0.00	0.01	5
14.62	652.4	170.2	0.00	0.00	5
15.13	1091.3	322.3	0.00	107.08	5
15.64	1092.2	797.1	0.00	983.77	5
16.14	1093.0	798.5	0.00	979.47	5
16.65	1093.8	791.1	0.00	977.33	5
17.15	1094.3	797.5	0.00	983.84	5
17.66	1094.3	797.1	0.00	983.11	5
18.16	1094.3	797.1	0.00	978.96	5
18.67	913.6	727.9	0.00	902.47	5
19.18	786.3	184.0	0.00	1172.62	5
19.68	786.3	291.6	0.00	2047.18	5
20.18	786.3	293.3	0.00	1999.86	5
20.69	19.8	196.5	0.00	908.40	5
21.19	19.8	797.8	0.00	46.52	5
21.70	19.8	797.7	0.00	51.95	5
22.20	19.8	797.1	0.00	46.17	5
22.70	19.8	797.9	0.00	49.32	5
23.21	19.8	795.8	0.00	48.45	5
23.71	19.8	799.7	0.00	48.29	5
24.22	19.8	797.1	0.00	49.71	5
24.72	19.8	801.8	0.00	46.79	5
25.23	19.8	794.3	0.00	52.38	5
25.73	19.8	787.9	0.00	44.55	5
26.24	19.8	795.1	0.00	50.08	5
26.74	19.8	797.8	0.00	47.20	5
27.24	19.8	800.7	0.00	48.42	5
27.75	19.7	97.3	0.00	28.67	5
28.25	19.7	799.0	0.00	48.65	5
28.76	19.7	795.9	0.00	53.65	5
29.26	19.7	798.7	0.00	48.79	5
29.76	19.7	799.9	0.00	52.22	5
30.27	19.7	798.6	0.00	50.98	5
30.77	19.7	795.8	0.00	50.57	5
31.28	19.7	798.6	0.00	52.77	5
31.78	19.7	793.9	0.00	49.59	5
32.29	19.7	799.2	0.00	55.06	5
32.79	19.7	795.7	0.00	47.97	5
33.29	19.7	799.0	0.00	54.48	5
33.80	19.7	797.7	0.00	47.51	5
34.30	19.7	690.3	0.00	45.12	5
34.81	0.0	0.0	0.00	0.00	0
