t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	6.2	0.0	0.00	0.00	1
0.50	119.9	235.9	0.00	0.00	2
1.01	119.9	0.0	0.00	0.00	2
1.51	119.9	2.0	0.00	0.00	2
2.02	120.4	23.8	0.00	33.29	2
2.52	120.4	43.6	0.00	56.55	2
3.03	120.4	45.7	0.00	59.86	2
3.53	120.4	21.8	0.00	32.95	2
4.03	120.4	45.7	0.00	60.50	2
4.54	120.4	45.6	0.00	61.38	2
5.04	120.4	41.7	0.00	57.89	2
5.54	120.4	39.7	0.00	53.68	2
6.05	120.4	35.7	0.00	49.97	2
6.55	120.4	43.7	0.00	58.19	2
7.06	120.4	43.7	0.00	55.55	2
7.56	120.4	37.7	0.00	52.83	2
8.06	120.4	41.7	0.00	55.06	2
8.57	120.4	39.7	0.00	53.69	2
9.07	120.4	29.8	0.00	41.38	2
9.57	120.4	35.7	0.00	45.55	2
10.08	120.4	39.7	0.00	54.15	2
10.58	120.4	35.7	0.00	49.97	2
11.08	120.4	35.7	0.00	46.12	2
11.59	120.4	33.7	0.00	45.74	2
12.09	120.4	55.6	0.00	54.69	2
12.60	120.4	99.2	0.00	0.00	2
13.10	119.0	2.0	0.00	0.00	2
13.61	376.4	45.5	0.00	0.00	3
14.11	818.6	179.9	0.00	0.00	3
14.62	1175.5	429.6	0.00	302.04	3
15.13	1175.5	796.5	0.00	1014.27	3
15.63	1176.6	796.6	0.00	1014.17	3
16.14	1177.4	796.6	0.00	1006.16	3
16.64	1177.6	796.6	0.00	1022.20	3
17.15	1177.6	773.2	0.00	979.70	3
17.65	1177.6	794.5	0.00	1010.50	3
18.16	942.6	460.5	0.00	670.85	3
18.67	943.5	272.8	0.00	2114.39	3
19.17	943.5	279.5	0.00	2078.96	3
19.68	937.9	243.8	0.00	1788.02	3
20.18	0.0	0.0	0.00	0.00	0
