t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
0.00	3.5	0.0	0.00	0.00	1
0.51	10.1	5.9	0.00	0.00	2
1.01	10.1	2.0	0.00	0.00	2
1.51	10.6	23.8	0.00	33.30	2
2.02	10.6	37.7	0.00	50.95	2
2.52	10.6	47.6	0.00	63.61	2
3.02	10.6	37.7	0.00	51.91	2
3.53	10.6	37.7	0.00	51.42	2
4.03	10.6	43.7	0.00	58.37	2
4.54	10.6	29.8	0.00	40.12	2
5.04	10.6	39.7	0.00	52.39	2
5.54	10.6	47.6	0.00	64.21	2
6.05	10.6	43.7	0.00	58.54	2
6.55	10.6	45.7	0.00	58.07	2
7.05	10.6	45.7	0.00	58.74	2
7.56	10.6	35.8	0.00	43.46	2
8.06	10.6	51.6	0.00	64.38	2
8.56	10.6	37.7	0.00	46.66	2
9.07	10.6	47.6	0.00	58.04	2
9.57	10.6	49.6	0.00	61.87	2
10.07	10.6	41.7	0.00	54.03	2
10.58	10.6	37.7	0.00	45.94	2
11.08	10.6	47.7	0.00	60.62	2
11.59	10.6	101.3	0.00	2.68	2
12.09	10.6	99.3	0.00	0.00	2
12.59	10.2	83.3	0.00	0.00	2
13.10	10.2	99.3	0.00	0.00	2
13.60	0.0	0.0	0.00	0.00	0
