t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	5	0	0	61.6	-
0.23	5	0	0	130.2	-
0.46	5	1	1	141.2	193.62.193.80:1
0.69	5	1	1	141.2	193.62.193.80:1
0.92	6	0	0	148.2	-
1.15	6	1	1	148.2	193.62.193.165:1
1.38	6	1	1	148.2	193.62.193.165:1
1.60	6	1	1	148.2	193.62.193.165:1
1.83	6	1	1	148.2	193.62.193.165:1
2.06	6	1	1	148.2	193.62.193.165:1
2.28	6	1	1	148.2	193.62.193.165:1
2.51	6	1	1	148.2	193.62.193.165:1
2.74	6	1	1	148.2	193.62.193.165:1
2.96	6	1	1	148.2	193.62.193.165:1
3.19	6	1	1	148.2	193.62.193.165:1
3.42	6	1	1	148.2	193.62.193.165:1
3.64	6	1	1	148.2	193.62.193.165:1
3.87	6	1	1	148.2	193.62.193.165:1
4.10	6	1	1	148.2	193.62.193.165:1
4.32	6	1	1	148.2	193.62.193.165:1
4.55	6	1	1	148.2	193.62.193.165:1
4.78	5	0	0	142.8	-
5.01	5	0	0	142.8	-
5.23	5	0	0	142.8	-
70.29	6	1	1	148.5	193.62.193.165:1
70.52	6	1	1	148.5	193.62.193.165:1
70.75	6	1	1	148.5	193.62.193.165:1
70.98	6	1	1	148.5	193.62.193.165:1
71.20	6	1	1	148.5	193.62.193.165:1
71.43	6	1	1	148.5	193.62.193.165:1
71.66	6	1	1	148.5	193.62.193.165:1
71.88	6	1	1	148.5	193.62.193.165:1
72.11	6	1	1	148.5	193.62.193.165:1
72.34	6	1	1	148.5	193.62.193.165:1
72.57	6	1	1	148.5	193.62.193.165:1
72.79	6	1	1	148.5	193.62.193.165:1
73.02	6	1	1	148.5	193.62.193.165:1
73.25	6	1	1	148.5	193.62.193.165:1
73.47	6	2	1	148.5	193.62.193.165:1
73.70	6	2	1	148.5	193.62.193.165:1
73.92	6	1	1	148.5	193.62.193.165:1
74.15	5	0	0	30.1	-
74.37	5	0	0	102.8	-
74.60	5	0	0	141.4	-
74.82	5	1	1	141.4	193.62.193.80:1
75.05	5	1	1	141.4	193.62.193.80:1
75.27	6	0	0	148.5	-
75.50	6	1	1	148.5	193.62.193.165:1
75.72	6	1	1	148.5	193.62.193.165:1
75.95	6	1	1	148.5	193.62.193.165:1
76.18	6	1	1	148.5	193.62.193.165:1
76.41	6	1	1	148.5	193.62.193.165:1
76.63	6	2	1	148.5	193.62.193.165:1
76.86	6	2	1	148.5	193.62.193.165:1
77.09	6	1	1	148.5	193.62.193.165:1
77.31	5	0	0	40.2	-
77.53	5	0	0	113.9	-
77.76	5	0	0	141.4	-
77.98	5	1	1	141.4	193.62.193.80:1
78.21	5	1	1	141.4	193.62.193.80:1
78.44	6	1	1	148.5	193.62.193.165:1
78.66	6	1	1	148.5	193.62.193.165:1
78.89	6	1	1	148.5	193.62.193.165:1
79.12	6	1	1	148.5	193.62.193.165:1
79.34	6	1	1	148.5	193.62.193.165:1
79.57	6	1	1	148.5	193.62.193.165:1
79.80	6	1	1	148.5	193.62.193.165:1
80.03	6	1	1	148.5	193.62.193.165:1
80.25	6	1	1	148.5	193.62.193.165:1
80.48	6	1	1	148.5	193.62.193.165:1
80.71	6	1	1	148.5	193.62.193.165:1
80.93	6	1	1	148.5	193.62.193.165:1
81.16	6	1	1	148.5	193.62.193.165:1
81.39	6	1	1	148.5	193.62.193.165:1
81.61	6	1	1	148.5	193.62.193.165:1
81.84	6	1	1	148.5	193.62.193.165:1
82.07	6	1	1	148.5	193.62.193.165:1
82.30	6	1	1	148.5	193.62.193.165:1
82.52	6	1	1	148.5	193.62.193.165:1
82.75	6	1	1	148.5	193.62.193.165:1
82.98	6	1	1	148.5	193.62.193.165:1
83.20	6	1	1	148.5	193.62.193.165:1
83.43	6	1	1	148.5	193.62.193.165:1
83.65	6	1	1	148.5	193.62.193.165:1
83.88	6	2	1	148.5	193.62.193.165:1
84.11	6	2	1	148.5	193.62.193.165:1
84.34	5	0	0	143.2	-
84.56	5	0	0	53.6	-
84.79	5	0	0	125.6	-
85.01	5	0	0	141.4	-
85.24	5	1	1	141.4	193.62.193.80:1
85.46	5	0	0	141.4	-
85.69	6	1	1	148.5	193.62.193.165:1
