t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.00	4	0	0	7.5	-
0.23	5	0	0	8.9	-
0.45	5	0	0	8.9	-
0.67	5	0	0	8.9	-
0.90	5	0	0	8.9	-
1.12	5	0	0	8.9	-
1.34	5	0	0	8.9	-
1.56	5	0	0	8.9	-
1.78	5	0	0	8.9	-
2.01	7	0	0	23.2	-
2.23	7	1	1	23.2	193.62.193.80:1
2.46	7	1	1	23.2	193.62.193.80:1
2.69	7	1	1	23.2	193.62.193.80:1
2.92	10	0	0	25.6	-
3.15	10	1	1	25.6	193.62.193.165:1
3.38	10	1	1	25.6	193.62.193.165:1
3.61	10	1	1	25.6	193.62.193.165:1
3.84	10	1	1	25.6	193.62.193.165:1
4.07	10	1	1	25.6	193.62.193.165:1
4.29	10	1	1	25.6	193.62.193.165:1
4.52	10	1	1	25.6	193.62.193.165:1
4.75	10	2	1	25.6	193.62.193.165:1
4.98	10	1	1	25.6	193.62.193.165:1
5.21	10	2	1	25.6	193.62.193.165:1
5.44	10	2	1	25.6	193.62.193.165:1
5.67	10	2	1	25.6	193.62.193.165:1
5.89	10	2	1	25.6	193.62.193.165:1
6.12	10	2	1	25.6	193.62.193.165:1
6.35	10	2	1	25.6	193.62.193.165:1
6.58	10	2	1	25.6	193.62.193.165:1
6.81	10	2	1	25.6	193.62.193.165:1
7.04	10	2	1	25.6	193.62.193.165:1
7.26	10	2	1	25.6	193.62.193.165:1
7.49	10	2	1	25.6	193.62.193.165:1
7.72	10	2	1	25.6	193.62.193.165:1
7.95	10	2	1	25.6	193.62.193.165:1
8.18	10	2	1	25.6	193.62.193.165:1
8.40	10	2	1	25.6	193.62.193.165:1
8.63	10	2	1	25.6	193.62.193.165:1
8.86	10	2	1	25.6	193.62.193.165:1
9.09	10	2	1	25.6	193.62.193.165:1
9.32	10	2	1	25.6	193.62.193.165:1
9.55	10	2	1	25.6	193.62.193.165:1
9.78	6	0	0	13.2	-
10.00	7	1	1	18.7	193.62.193.165:1
10.23	7	1	1	18.7	193.62.193.165:1
10.45	7	1	1	18.7	193.62.193.165:1
10.68	7	1	1	18.7	193.62.193.165:1
10.91	7	1	1	18.7	193.62.193.165:1
11.14	7	1	1	18.7	193.62.193.165:1
11.36	7	1	1	18.7	193.62.193.165:1
11.59	7	1	1	18.7	193.62.193.165:1
11.82	7	1	1	18.7	193.62.193.165:1
12.04	7	1	1	18.7	193.62.193.165:1
12.27	7	1	1	18.7	193.62.193.165:1
12.50	7	1	1	18.7	193.62.193.165:1
12.73	7	1	1	18.7	193.62.193.165:1
12.96	7	1	1	18.7	193.62.193.165:1
13.18	7	1	1	18.7	193.62.193.165:1
13.41	7	1	1	18.7	193.62.193.165:1
13.64	7	1	1	18.7	193.62.193.165:1
13.87	7	1	1	18.7	193.62.193.165:1
14.09	7	1	1	18.7	193.62.193.165:1
14.32	7	1	1	18.7	193.62.193.165:1
14.55	7	1	1	18.7	193.62.193.165:1
14.78	7	1	1	18.7	193.62.193.165:1
15.00	7	1	1	18.7	193.62.193.165:1
15.23	7	1	1	18.7	193.62.193.165:1
15.46	7	1	1	18.7	193.62.193.165:1
15.69	7	1	1	18.7	193.62.193.165:1
15.91	7	2	1	18.7	193.62.193.165:1
16.14	7	2	1	18.7	193.62.193.165:1
16.37	7	2	1	18.7	193.62.193.165:1
16.60	7	2	1	18.7	193.62.193.165:1
16.83	7	2	1	18.7	193.62.193.165:1
17.05	7	2	1	18.7	193.62.193.165:1
17.28	7	2	1	18.7	193.62.193.165:1
17.51	7	2	1	18.7	193.62.193.165:1
17.74	7	2	1	18.7	193.62.193.165:1
17.96	7	2	1	18.7	193.62.193.165:1
18.19	7	2	1	18.7	193.62.193.165:1
18.42	7	2	1	18.7	193.62.193.165:1
18.65	7	2	1	18.7	193.62.193.165:1
18.88	7	2	1	18.7	193.62.193.165:1
19.10	7	2	1	18.7	193.62.193.165:1
19.33	7	2	1	18.7	193.62.193.165:1
19.56	7	2	1	18.7	193.62.193.165:1
19.78	7	2	1	18.7	193.62.193.165:1
20.01	7	2	1	18.7	193.62.193.165:1
20.24	7	2	1	18.7	193.62.193.165:1
20.46	7	2	1	18.7	193.62.193.165:1
20.69	7	2	1	18.7	193.62.193.165:1
20.92	7	2	1	18.7	193.62.193.165:1
21.15	7	2	1	18.7	193.62.193.165:1
21.37	7	2	1	18.7	193.62.193.165:1
21.60	7	2	1	18.7	193.62.193.165:1
21.83	7	2	1	18.7	193.62.193.165:1
22.06	7	2	1	18.7	193.62.193.165:1
22.28	7	2	1	18.7	193.62.193.165:1
22.51	7	2	1	18.7	193.62.193.165:1
22.74	7	2	1	18.7	193.62.193.165:1
22.97	7	2	1	18.7	193.62.193.165:1
23.19	7	2	1	18.7	193.62.193.165:1
23.42	5	0	0	10.5	-
23.64	7	1	1	23.2	193.62.193.80:1
23.87	7	1	1	23.2	193.62.193.80:1
24.10	7	1	1	23.2	193.62.193.80:1
24.33	10	0	0	25.6	-
24.56	10	1	1	25.6	193.62.193.165:1
24.79	10	1	1	25.6	193.62.193.165:1
25.02	10	1	1	25.6	193.62.193.165:1
25.24	10	1	1	25.6	193.62.193.165:1
25.47	10	1	1	25.6	193.62.193.165:1
