t_rel_s	workers	mbps
26.01	40	0.00
26.41	40	0.00
26.81	40	0.00
27.21	40	0.00
27.61	40	0.00
28.01	40	0.00
28.41	40	0.00
28.81	40	0.00
29.21	40	0.00
29.62	40	0.00
30.03	40	0.00
30.43	40	0.00
30.83	40	0.00
31.23	40	2.10
31.63	40	2.10
32.03	40	8.23
32.43	40	8.23
32.83	40	8.23
33.23	40	54.12
33.63	40	54.12
34.03	40	292.78
34.43	40	292.78
34.83	40	292.78
35.23	40	345.11
35.63	40	345.11
36.03	40	328.69
36.44	40	328.69
36.84	40	328.69
37.24	40	322.54
37.64	40	322.54
38.04	40	294.64
38.44	40	294.64
38.84	40	294.64
39.24	40	291.79
39.64	40	291.79
40.04	40	286.79
40.44	40	286.79
40.84	40	286.79
41.24	40	288.41
41.64	40	288.41
42.04	40	298.77
42.44	40	298.77
42.85	40	298.77
43.25	40	357.66
43.65	40	357.66
44.05	40	387.61
44.45	40	387.61
44.85	40	387.61
45.25	40	391.99
45.65	40	391.99
46.05	40	406.68
46.45	40	406.68
46.85	40	406.68
47.25	40	412.49
47.65	40	412.49
48.05	40	386.84
48.45	40	386.84
48.85	40	386.84
49.25	40	378.61
49.65	40	378.61
50.06	40	358.35
50.46	40	358.35
50.86	40	358.35
51.26	40	363.24
51.66	40	363.24
52.06	40	375.31
52.46	40	375.31
52.86	40	375.31
53.26	40	441.03
53.66	40	441.03
54.06	39	452.71
54.46	36	452.71
54.86	35	452.71
55.26	35	500.50
55.67	35	500.50
56.07	35	573.99
56.47	35	573.99
56.87	35	573.99
57.27	35	581.92
57.67	35	581.92
58.07	35	566.84
58.47	35	566.84
58.87	34	566.84
59.27	34	572.49
59.67	34	572.49
60.07	33	533.61
60.47	33	533.61
60.87	33	533.61
61.27	33	526.19
61.67	33	526.19
62.07	33	484.09
62.47	33	484.09
62.88	33	484.09
63.28	33	466.11
63.68	33	466.11
64.08	33	449.29
64.48	32	449.29
64.88	32	449.29
65.28	32	475.94
65.68	32	475.94
66.08	32	475.89
66.48	32	475.89
66.88	32	475.89
67.28	32	478.80
67.68	32	478.80
68.08	32	480.22
68.48	32	480.22
68.88	32	480.22
69.28	31	479.34
69.68	31	479.34
70.08	31	443.95
70.48	31	443.95
70.88	31	443.95
71.29	30	448.94
71.69	30	448.94
72.09	30	427.00
72.49	29	427.00
72.89	29	427.00
73.29	28	406.93
73.69	28	406.93
74.09	28	372.84
74.49	28	372.84
74.89	28	372.84
75.29	28	374.46
75.69	28	374.46
76.09	28	376.99
76.49	28	376.99
76.89	28	376.99
77.29	28	364.98
77.69	27	364.98
78.09	26	357.93
78.49	22	357.93
78.89	22	357.93
79.29	22	371.44
79.70	22	371.44
80.10	22	341.45
80.50	22	341.45
80.90	22	341.45
81.30	22	352.93
81.70	22	352.93
82.10	22	338.50
82.50	22	338.50
82.90	22	338.50
83.30	22	347.73
83.70	20	347.73
84.10	17	325.48
84.50	16	325.48
84.90	16	325.48
85.30	16	298.39
85.70	16	298.39
86.10	16	335.02
86.50	16	335.02
86.91	16	335.02
87.31	16	352.55
87.71	16	352.55
88.11	16	351.72
88.51	16	351.72
88.91	16	351.72
89.31	14	321.01
89.71	14	321.01
90.11	13	336.49
90.51	13	336.49
90.91	13	336.49
91.31	12	338.69
91.71	12	338.69
92.11	12	380.91
92.51	12	380.91
92.91	11	380.91
93.31	10	381.24
93.71	10	381.24
94.12	10	378.95
94.52	10	378.95
94.92	10	378.95
95.32	10	347.68
95.72	10	347.68
96.12	10	301.48
96.52	10	301.48
96.92	10	301.48
97.32	10	322.97
97.72	10	322.97
98.12	10	310.06
98.52	10	310.06
98.92	10	310.06
99.32	9	302.26
99.72	9	302.26
100.12	9	162.87
100.52	9	162.87
100.92	9	162.87
101.32	9	214.50
101.72	9	214.50
102.12	9	254.50
102.52	9	254.50
102.93	9	254.50
103.33	8	238.96
103.73	8	238.96
104.13	8	191.69
104.53	8	191.69
104.93	7	191.69
105.33	7	175.40
105.73	7	175.40
106.13	7	168.75
106.53	6	168.75
106.93	6	168.75
107.33	6	136.18
107.73	6	136.18
108.13	6	120.68
108.53	6	120.68
108.94	6	120.68
109.34	6	93.68
109.74	6	93.68
110.14	6	58.87
110.54	6	58.87
110.94	6	58.87
111.34	6	51.44
111.74	6	51.44
112.14	6	47.13
112.54	6	47.13
112.94	6	47.13
113.34	6	31.41
113.74	6	31.41
114.14	6	46.82
114.54	6	46.82
114.94	6	46.82
115.34	6	72.80
115.74	6	72.80
116.15	6	53.62
116.55	6	53.62
116.95	6	53.62
117.35	6	49.31
117.75	6	49.31
118.15	6	40.09
118.55	6	40.09
118.95	6	40.09
119.35	6	21.94
119.75	6	21.94
120.15	6	0.13
120.55	6	0.13
120.95	6	0.13
121.35	6	0.00
121.76	6	0.00
122.16	6	15.80
122.56	6	15.80
122.96	6	15.80
123.36	6	56.98
123.76	6	56.98
124.16	6	68.58
124.56	6	68.58
124.96	6	68.58
125.36	6	78.20
125.76	6	78.20
126.16	6	100.34
126.56	6	100.34
126.97	6	100.34
127.37	6	77.57
127.77	6	77.57
128.17	6	81.20
128.57	6	81.20
128.97	6	81.20
129.37	6	84.92
129.77	6	84.92
130.17	6	84.66
130.57	6	84.66
130.97	6	84.66
131.37	6	81.48
131.78	6	81.48
132.18	6	83.94
132.58	6	83.94
132.98	6	83.94
133.38	6	89.02
133.78	6	89.02
134.18	6	90.26
134.58	6	90.26
134.98	6	90.26
135.38	6	67.65
135.78	6	67.65
136.18	6	36.85
136.58	6	36.85
136.98	5	36.85
137.38	5	67.27
137.78	5	67.27
138.19	5	32.80
138.59	5	32.80
138.99	5	32.80
139.39	5	66.68
139.79	5	66.68
140.19	5	78.65
140.59	5	78.65
140.99	5	78.65
141.39	5	66.14
141.79	5	66.14
142.19	5	65.92
142.59	5	65.92
142.99	5	65.92
143.39	5	56.09
143.79	5	56.09
144.19	5	56.40
144.60	5	56.40
145.00	5	56.40
145.40	5	38.71
145.80	5	38.71
146.20	5	91.41
146.60	5	91.41
147.00	5	91.41
147.40	5	124.05
147.80	5	124.05
148.20	5	117.36
148.60	5	117.36
149.00	5	117.36
149.40	5	69.14
149.80	5	69.14
150.20	5	43.04
150.60	5	43.04
151.00	5	43.04
151.40	5	117.53
151.80	5	117.53
152.20	5	177.34
152.61	5	177.34
153.01	5	177.34
153.41	5	172.73
153.81	5	172.73
154.21	5	139.62
154.61	5	139.62
155.01	5	139.62
155.41	5	114.34
155.81	5	114.34
156.21	5	97.30
156.61	5	97.30
157.02	5	97.30
157.42	5	117.15
157.82	4	117.15
158.22	4	104.17
158.62	4	104.17
159.02	4	104.17
159.42	4	25.05
159.82	4	25.05
160.22	4	41.50
160.62	4	41.50
161.02	4	41.50
161.42	4	52.26
161.82	4	52.26
162.22	4	64.95
162.62	4	64.95
163.02	4	64.95
163.42	4	79.79
163.82	4	79.79
164.22	4	107.07
164.63	4	107.07
165.03	4	107.07
165.43	4	131.78
165.83	4	131.78
166.23	4	181.64
166.63	4	181.64
167.03	4	181.64
167.43	4	193.13
167.83	4	193.13
168.23	4	197.75
168.63	4	197.75
169.03	4	197.75
169.43	4	186.68
169.83	4	186.68
170.23	4	163.92
170.63	4	163.92
171.03	4	163.92
171.43	4	108.54
171.83	4	108.54
172.24	4	64.12
172.64	4	64.12
173.04	4	64.12
173.44	4	42.55
173.84	4	42.55
174.24	4	35.96
174.64	4	35.96
175.04	4	35.96
175.44	4	82.35
175.84	4	82.35
176.24	3	88.35
176.64	3	88.35
177.04	3	88.35
177.44	3	38.62
177.84	3	38.62
178.24	3	40.69
178.64	3	40.69
179.05	3	40.69
179.45	3	36.84
179.85	3	36.84
180.25	3	39.90
180.65	3	39.90
181.05	3	39.90
181.45	3	38.21
181.85	3	38.21
182.25	3	32.84
182.65	3	32.84
183.05	3	32.84
183.46	3	34.81
183.86	3	34.81
184.26	3	34.85
184.66	3	34.85
185.06	3	34.85
185.46	3	18.88
185.86	3	18.88
186.26	3	19.45
186.66	3	19.45
187.06	3	19.45
187.46	3	20.60
187.86	3	20.60
188.26	3	17.15
188.66	3	17.15
189.06	3	17.15
189.46	3	17.71
189.86	3	17.71
190.27	3	18.91
190.67	3	18.91
191.07	3	18.91
191.47	3	19.58
191.87	3	19.58
192.27	3	17.14
192.67	3	17.14
193.07	3	17.14
193.47	3	17.59
193.87	3	17.59
194.27	3	25.31
194.67	3	25.31
195.07	3	25.31
195.47	3	21.95
195.87	3	21.95
196.27	3	20.14
196.68	3	20.14
197.08	3	20.14
197.48	3	21.95
197.88	3	21.95
198.28	3	31.46
198.68	3	31.46
199.08	3	31.46
199.48	3	30.07
199.88	3	30.07
200.28	3	30.43
200.68	3	30.43
201.08	3	30.43
201.48	3	20.66
201.88	3	20.66
202.28	3	15.93
202.68	3	15.93
203.08	3	15.93
203.48	3	15.73
203.88	3	15.73
204.28	3	9.21
204.69	3	9.21
205.09	3	9.21
205.49	3	10.61
205.89	3	10.61
206.29	3	9.47
206.69	3	9.47
207.09	3	9.47
207.49	3	10.75
207.89	3	10.75
208.29	3	5.44
208.69	3	5.44
209.09	3	5.44
209.49	3	3.90
209.89	3	3.90
210.29	3	4.03
210.69	3	4.03
211.10	3	4.03
211.50	3	4.22
211.90	3	4.22
212.30	3	4.93
212.70	3	4.93
213.10	3	4.93
213.50	3	4.22
213.90	3	4.22
214.30	3	4.67
214.70	3	4.67
215.10	3	4.67
215.50	3	4.80
215.90	3	4.80
216.31	3	4.92
216.71	3	4.92
217.11	3	4.92
217.51	3	4.92
217.91	3	4.92
218.31	3	4.99
218.71	3	4.99
219.11	3	4.99
219.51	3	5.69
219.91	3	5.69
220.31	3	5.63
220.71	3	5.63
221.11	3	5.63
221.51	3	6.59
221.91	3	6.59
222.31	3	3.13
222.72	3	3.13
223.12	3	3.13
223.52	3	7.29
223.92	3	7.29
224.32	3	6.46
224.72	3	6.46
225.12	3	5.44
225.52	3	5.44
225.92	3	5.44
226.32	3	5.69
226.72	3	5.69
227.12	3	5.31
227.52	3	5.31
227.93	3	5.31
228.33	3	10.23
228.73	3	10.23
229.13	3	11.71
229.53	3	11.71
229.93	3	11.71
230.33	3	12.41
230.73	3	12.41
231.13	3	10.62
231.53	3	10.62
231.93	3	10.62
232.33	3	11.38
232.73	3	11.38
233.13	3	22.90
233.54	3	22.90
233.94	3	22.90
234.34	3	41.96
234.74	3	41.96
235.14	3	46.01
235.54	3	46.01
235.94	3	46.01
236.34	3	50.20
236.74	3	50.20
237.14	3	45.82
237.54	3	45.82
237.94	3	45.82
238.34	3	16.74
238.74	3	16.74
239.14	3	53.72
239.54	3	53.72
239.94	3	53.72
240.34	3	69.48
240.75	3	69.48
241.15	3	71.84
241.55	3	71.84
241.95	3	71.84
242.35	3	12.42
242.75	3	12.42
243.15	3	13.24
243.55	3	13.24
243.95	3	13.24
244.35	3	17.02
244.75	3	17.02
245.15	3	26.04
245.55	3	26.04
245.95	3	26.04
246.36	3	39.65
246.76	3	39.65
247.16	3	73.63
247.56	3	73.63
247.96	3	73.63
248.36	3	53.80
248.76	3	53.80
249.16	3	56.70
249.56	3	56.70
249.96	3	56.70
250.36	3	71.29
250.76	3	71.29
251.16	3	70.56
251.56	3	70.56
251.96	3	70.56
252.36	3	70.90
252.76	3	70.90
253.17	3	42.55
253.57	3	42.55
253.97	2	42.55
254.37	2	24.56
254.77	2	24.56
255.17	2	55.58
255.57	2	55.58
255.97	2	55.58
256.37	2	52.68
256.77	2	52.68
257.17	2	51.99
257.57	1	51.99
257.97	1	51.99
258.37	1	12.18
258.77	1	12.18
259.18	1	7.42
259.58	1	7.42
259.98	1	7.42
260.38	1	6.53
260.78	1	6.53
261.18	1	7.10
261.58	1	7.10
261.98	1	7.10
262.38	1	6.26
262.78	1	6.26
263.18	1	5.94
263.58	1	5.94
263.98	1	5.94
264.38	1	6.58
264.79	1	6.58
265.19	1	7.30
265.59	1	7.30
265.99	1	7.30
266.39	1	7.10
266.79	1	7.10
267.19	1	7.04
267.59	1	7.04
267.99	1	7.04
268.39	1	7.29
268.79	1	7.29
269.19	1	7.80
269.59	1	7.80
269.99	1	7.80
270.39	1	8.77
270.79	1	8.77
271.19	1	8.56
271.59	1	8.56
271.99	1	8.56
272.39	1	7.03
272.79	1	7.03
273.20	1	6.46
273.60	1	6.46
274.00	1	6.46
274.40	1	5.11
274.80	1	5.11
275.20	1	5.88
275.60	1	5.88
276.00	1	5.88
276.40	1	5.88
276.80	1	5.88
277.20	1	6.01
277.60	1	6.01
278.00	1	6.01
278.40	1	6.08
278.80	1	6.08
279.21	1	6.53
279.61	1	6.53
280.01	1	6.53
280.41	1	6.97
280.81	1	6.97
281.21	1	8.25
281.61	1	8.25
282.01	1	8.25
282.41	1	11.05
282.81	1	11.05
283.21	1	13.88
283.61	1	13.88
284.01	1	13.88
284.31	0	19.33
