t_rel_s	n_procs	conns_established	conns_archive	rss_mb	top_hosts
0.01	4	0	0	21.5	-
0.24	4	0	0	58.1	-
0.47	6	0	0	79.0	-
0.69	8	3	3	99.2	193.62.193.80:3
0.93	10	5	5	119.3	193.62.193.80:5
1.16	12	7	7	139.4	193.62.193.80:7
1.42	10	5	5	119.3	193.62.193.80:5
1.67	10	5	5	119.3	193.62.193.80:5
1.91	10	4	4	119.2	193.62.193.80:4
2.14	9	5	5	109.1	193.62.193.80:5
2.39	9	4	4	109.1	193.62.193.80:4
2.62	9	4	4	109.2	193.62.193.80:4
2.87	10	4	4	109.2	193.62.193.80:4
3.11	10	4	4	109.2	193.62.193.80:4
3.35	10	5	5	119.3	193.62.193.80:5
3.60	10	5	5	119.3	193.62.193.80:5
3.85	10	5	5	119.3	193.62.193.80:5
4.10	10	5	5	119.3	193.62.193.80:5
4.35	10	5	5	119.3	193.62.193.80:5
4.61	10	5	5	119.3	193.62.193.80:5
4.87	10	5	5	119.3	193.62.193.80:5
5.11	10	5	5	119.3	193.62.193.80:5
5.36	10	5	5	119.3	193.62.193.80:5
5.61	10	5	5	119.3	193.62.193.80:5
5.86	10	5	5	119.3	193.62.193.80:5
6.10	10	5	5	119.3	193.62.193.80:5
6.36	10	5	5	119.3	193.62.193.80:5
6.61	10	5	5	119.3	193.62.193.80:5
6.86	10	5	5	119.1	193.62.193.80:5
7.11	10	5	5	119.1	193.62.193.80:5
7.36	10	5	5	119.1	193.62.193.80:5
7.61	11	6	6	129.2	193.62.193.80:6
7.87	10	5	5	119.2	193.62.193.80:5
8.12	10	5	5	119.2	193.62.193.80:5
8.36	10	5	5	119.1	193.62.193.80:5
8.62	10	5	5	119.1	193.62.193.80:5
8.87	10	4	4	109.1	193.62.193.80:4
9.11	11	6	6	129.2	193.62.193.80:6
9.35	10	5	5	119.2	193.62.193.80:5
9.61	10	5	5	119.1	193.62.193.80:5
9.86	10	5	5	119.1	193.62.193.80:5
10.11	10	5	5	119.2	193.62.193.80:5
10.36	11	6	6	129.3	193.62.193.80:6
10.62	10	5	5	119.3	193.62.193.80:5
10.86	10	5	5	119.2	193.62.193.80:5
11.11	10	4	4	109.1	193.62.193.80:4
11.37	10	5	5	119.1	193.62.193.80:5
11.61	10	5	5	119.1	193.62.193.80:5
11.86	10	5	5	119.2	193.62.193.80:5
12.10	10	5	5	119.2	193.62.193.80:5
12.35	10	5	5	119.2	193.62.193.80:5
12.60	10	5	5	119.1	193.62.193.80:5
12.85	10	5	5	119.0	193.62.193.80:5
13.10	10	5	5	119.1	193.62.193.80:5
13.35	10	5	5	119.2	193.62.193.80:5
13.61	10	5	5	119.3	193.62.193.80:5
13.86	10	4	4	109.2	193.62.193.80:4
14.10	10	5	5	119.3	193.62.193.80:5
14.35	10	5	5	119.3	193.62.193.80:5
14.60	10	5	5	119.3	193.62.193.80:5
14.86	10	5	5	119.2	193.62.193.80:5
15.10	10	5	5	119.2	193.62.193.80:5
15.34	10	5	5	119.1	193.62.193.80:5
15.59	11	6	6	129.3	193.62.193.80:6
15.85	10	5	5	119.2	193.62.193.80:5
16.10	10	5	5	119.3	193.62.193.80:5
16.36	10	5	5	119.3	193.62.193.80:5
16.60	10	5	5	119.3	193.62.193.80:5
16.85	10	5	5	119.3	193.62.193.80:5
17.11	10	5	5	119.2	193.62.193.80:5
17.36	10	5	5	119.2	193.62.193.80:5
17.62	10	5	5	119.2	193.62.193.80:5
17.87	10	5	5	119.3	193.62.193.80:5
18.12	10	5	5	119.2	193.62.193.80:5
18.37	10	5	5	119.1	193.62.193.80:5
18.61	10	5	5	119.0	193.62.193.80:5
18.87	10	5	5	119.0	193.62.193.80:5
19.12	10	5	5	119.1	193.62.193.80:5
19.37	10	4	4	108.9	193.62.193.80:4
19.62	11	6	6	129.1	193.62.193.80:6
19.88	10	5	5	119.2	193.62.193.80:5
20.13	10	4	4	109.2	193.62.193.80:4
20.37	10	5	5	119.3	193.62.193.80:5
20.62	10	4	4	109.1	193.62.193.80:4
20.87	10	5	5	119.1	193.62.193.80:5
21.12	10	4	4	109.1	193.62.193.80:4
21.37	10	5	5	119.1	193.62.193.80:5
21.62	11	6	6	119.2	193.62.193.80:6
21.89	10	4	4	109.1	193.62.193.80:4
22.13	10	5	5	119.2	193.62.193.80:5
22.38	10	5	5	119.1	193.62.193.80:5
22.63	11	5	5	119.1	193.62.193.80:5
22.88	10	4	4	109.1	193.62.193.80:4
23.12	10	5	5	119.2	193.62.193.80:5
23.36	10	5	5	119.2	193.62.193.80:5
23.61	10	5	5	119.1	193.62.193.80:5
23.85	10	5	5	119.1	193.62.193.80:5
24.10	10	5	5	119.2	193.62.193.80:5
24.36	10	5	5	119.3	193.62.193.80:5
24.61	10	5	5	119.2	193.62.193.80:5
24.87	10	5	5	119.1	193.62.193.80:5
25.12	10	4	4	109.1	193.62.193.80:4
25.38	10	5	5	119.1	193.62.193.80:5
25.63	8	4	4	99.1	193.62.193.80:4
25.87	6	2	2	79.0	193.62.193.80:2
26.09	4	0	0	60.2	-
26.32	4	25	25	67.8	193.62.193.165:25
26.54	4	40	40	67.8	193.62.193.165:40
26.77	4	40	40	67.8	193.62.193.165:40
27.00	4	40	40	67.8	193.62.193.165:40
27.22	4	40	40	67.8	193.62.193.165:40
27.45	4	50	40	67.8	193.62.193.165:40
27.67	4	40	40	68.1	193.62.193.165:40
27.90	4	42	40	68.1	193.62.193.165:40
28.13	4	50	41	68.1	193.62.193.165:41
28.35	4	47	38	68.1	193.62.193.165:38
28.58	4	51	42	68.9	193.62.193.165:42
28.81	4	50	41	69.2	193.62.193.165:41
29.03	4	50	41	69.2	193.62.193.165:41
29.26	4	49	40	69.2	193.62.193.165:40
29.48	4	50	41	69.7	193.62.193.165:41
29.71	4	50	41	69.7	193.62.193.165:41
29.93	4	50	41	69.7	193.62.193.165:41
30.16	4	50	41	69.7	193.62.193.165:41
30.38	4	50	41	69.7	193.62.193.165:41
30.61	4	50	41	69.7	193.62.193.165:41
30.84	4	50	41	69.7	193.62.193.165:41
31.06	4	50	41	69.7	193.62.193.165:41
31.29	4	50	41	69.7	193.62.193.165:41
31.51	4	50	41	69.7	193.62.193.165:41
31.74	4	50	41	69.7	193.62.193.165:41
31.96	4	50	41	69.7	193.62.193.165:41
32.19	4	50	41	69.7	193.62.193.165:41
32.42	4	50	41	69.7	193.62.193.165:41
32.64	4	50	41	69.7	193.62.193.165:41
32.87	4	50	41	69.7	193.62.193.165:41
33.09	4	50	41	69.7	193.62.193.165:41
33.32	4	48	41	70.5	193.62.193.165:41
33.54	4	47	41	70.5	193.62.193.165:41
33.77	4	50	44	70.5	193.62.193.165:44
33.99	4	49	44	70.5	193.62.193.165:44
34.22	4	47	44	70.5	193.62.193.165:44
34.45	4	50	47	70.5	193.62.193.165:47
34.67	4	50	47	70.5	193.62.193.165:47
34.90	4	49	47	70.5	193.62.193.165:47
35.13	4	50	48	70.5	193.62.193.165:48
35.35	4	50	48	70.5	193.62.193.165:48
35.58	4	48	48	70.5	193.62.193.165:48
35.80	4	49	49	70.5	193.62.193.165:49
36.03	4	50	49	70.5	193.62.193.165:49
36.26	4	36	35	70.9	193.62.193.165:35
36.48	4	44	42	70.9	193.62.193.165:42
36.71	4	45	42	70.9	193.62.193.165:42
36.94	4	44	42	70.9	193.62.193.165:42
37.16	4	42	41	70.9	193.62.193.165:41
37.39	4	44	43	70.9	193.62.193.165:43
37.61	4	42	41	71.2	193.62.193.165:41
37.84	4	42	41	71.4	193.62.193.165:41
38.06	4	44	42	71.7	193.62.193.165:42
38.29	4	38	35	72.3	193.62.193.165:35
38.51	4	39	37	72.3	193.62.193.165:37
38.74	4	41	38	72.8	193.62.193.165:38
38.96	4	40	37	73.1	193.62.193.165:37
39.19	4	39	36	73.1	193.62.193.165:36
39.41	4	38	35	73.1	193.62.193.165:35
39.64	4	37	34	73.3	193.62.193.165:34
39.87	4	36	34	73.6	193.62.193.165:34
40.09	4	37	34	73.6	193.62.193.165:34
40.32	4	36	34	73.6	193.62.193.165:34
40.55	4	35	33	74.7	193.62.193.165:33
40.77	4	34	32	74.7	193.62.193.165:32
41.00	4	34	32	74.7	193.62.193.165:32
41.22	4	34	32	74.7	193.62.193.165:32
41.45	4	34	32	74.7	193.62.193.165:32
41.67	4	34	32	74.7	193.62.193.165:32
41.90	4	34	32	74.7	193.62.193.165:32
42.13	4	34	32	74.7	193.62.193.165:32
42.35	4	34	32	74.7	193.62.193.165:32
42.58	4	34	32	74.9	193.62.193.165:32
42.80	4	34	32	75.5	193.62.193.165:32
43.03	4	34	32	75.5	193.62.193.165:32
43.26	4	34	32	76.0	193.62.193.165:32
43.48	4	34	32	76.0	193.62.193.165:32
43.71	4	34	32	76.3	193.62.193.165:32
43.93	4	34	32	76.3	193.62.193.165:32
44.16	4	34	32	76.3	193.62.193.165:32
44.38	4	34	32	76.3	193.62.193.165:32
44.61	4	34	32	76.3	193.62.193.165:32
44.83	4	33	32	76.4	193.62.193.165:32
45.06	4	32	31	76.4	193.62.193.165:31
45.29	4	32	31	76.4	193.62.193.165:31
45.51	4	31	31	76.4	193.62.193.165:31
45.74	4	30	30	76.4	193.62.193.165:30
45.96	4	30	30	76.4	193.62.193.165:30
46.19	4	30	30	76.4	193.62.193.165:30
46.41	4	30	30	76.4	193.62.193.165:30
46.64	4	30	30	76.4	193.62.193.165:30
46.86	4	30	30	76.4	193.62.193.165:30
47.09	4	30	30	76.4	193.62.193.165:30
47.31	4	30	30	76.4	193.62.193.165:30
47.54	4	30	30	76.4	193.62.193.165:30
47.76	4	30	30	76.4	193.62.193.165:30
47.99	4	30	30	76.4	193.62.193.165:30
48.21	4	30	30	76.4	193.62.193.165:30
48.44	4	30	30	76.4	193.62.193.165:30
48.67	4	30	30	76.4	193.62.193.165:30
48.89	4	30	30	76.4	193.62.193.165:30
49.12	4	30	30	76.4	193.62.193.165:30
